Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,wikipedia_url,Does_Sam_Think_is_real,original_designation,dob,county,status,match_confidence,validated,validation_notes,summary,education,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
John L. Robinson,politician,,male,1813-05-03,1860-03-21,https://en.wikipedia.org/wiki/John_L._Robinson,Not Found,no,John L. Robinson Highway,,Polk,Not Found,21.2,False,seq=15.2; fl:+10; county-miss:-8,,,,,,,,,,
Sid Martin,,,,,,https://commons.wikimedia.org/wiki/Category:Sid_Martin_Biotechnology_Incubator,https://en.wikipedia.org/wiki/Trayvon_Martin,no,Sid Martin Memorial Highway,1995-02-05,Alachua,Found,62.7,True,seq=11.7; human:+40; fl:+10; county-miss:-8; us:+5,"Trayvon Martin was born on February 5, 1995, in Miami, Florida, USA. He was an African-American teenager whose fatal shooting on February 26, 2012, in Sanford, Florida, sparked national debates on racial profiling, gun laws, and self-defense. The case gained widespread media attention and led to protests and the formation of the Black Lives Matter movement. Martin’s death at age 17 became a symbol of systemic racial injustice in the United States.","['Dr. Michael M. Krop High School (attended)', 'No degree conferred (deceased during high school)']",2012-02-26,"Miami, Florida, United States","Sanford, Florida, United States",male,yes,no,no,no
Ben Rowe,racing automobile driver,,male,1975-05-07,,https://fr.wikipedia.org/wiki/Ben_Rowe,Not Found,no,Ben Rowe Highway,,Baker,Not Found,7.0,False,seq=16.5; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,https://en.wikipedia.org/wiki/Jimmy_Butler,no,Elgin Bayless Highway,1989-09-14,Bradford,Found,29.0,True,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jimmy Butler is an American professional basketball player born on September 14, 1989. Known for his defensive prowess and leadership, he has played for teams like the Chicago Bulls, Minnesota Timberwolves, Philadelphia 76ers, Miami Heat, and the Los Angeles Clippers. A six-time NBA All-Star and five-time All-NBA Team selection, Butler led the Miami Heat to the NBA Finals in 2020 and 2023. His journey from a lightly recruited college player to an NBA superstar highlights his resilience and work ethic.","['Tomball High School, Texas', 'Tyler Junior College, Texas', ""Marquette University, Wisconsin, Bachelor's in Communication Studies""]",,"Houston, Texas, United States of America",not found,male,yes,no,no,no
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,https://en.wikipedia.org/wiki/Jimmy_Butler,no,Elgin Bayless Bridge,1989-09-14,Gulf,Found,29.0,True,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jimmy Butler is an American professional basketball player born on September 14, 1989, in Houston, Texas. Known for his defensive prowess and leadership, he has earned multiple NBA All-Star selections and All-Defensive Team honors throughout his career. Butler played college basketball at Tyler Junior College and Marquette University before being drafted 30th overall by the Chicago Bulls in 2011. He has since become one of the NBA's elite two-way players, contributing significantly to teams like the Miami Heat and Minnesota Timberwolves.","['Tyler Junior College', ""Marquette University, Bachelor's Degree (Communications)""]",,"Houston, Texas, United States",not found,male,yes,no,no,no
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,Not Found,no,Stephen Foster Bridge,,Dixie,Not Found,18.8,False,seq=12.8; fl:+10; county-miss:-8,,,,,,,,,,
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,Not Found,no,Stephen Foster Memorial Highway,,Multiple Counties,Not Found,18.8,False,seq=12.8; fl:+10; county-miss:-8,,,,,,,,,,
Charles E. Bennett,classical philologist,,male,1858-04-06,1921-05-02,https://en.wikipedia.org/wiki/Charles_E._Bennett_(scholar),https://en.wikipedia.org/wiki/Michael_S._Bennett,no,Charles E. Bennett Memorial Bridge,1944-11-28,Duval,Found,26.6,True,seq=15.6; fl:+10; county-miss:-8; us:+5,"Michael S. Bennett was a United States Senator from Colorado, serving from 1997 to 2011 as a member of the Democratic Party. Born in New Delhi, India, he was known for his focus on education reform, fiscal responsibility, and bipartisan collaboration during his tenure. Before entering politics, Bennett worked in business and law, including serving as the superintendent of Denver Public Schools. His career also included roles in the Clinton administration and leadership in various civic organizations.","['Wesleyan University, BA', 'Yale Law School, JD']",,"New Delhi, India",not found,male,no,yes,no,no
George Matthews,,,male,1918-00-00,2014-00-00,,Not Found,no,George Matthews Boulevard,,Duval,Not Found,19.8,False,seq=13.8; fl:+10; county-miss:-8,,,,,,,,,,
James Weldon Johnson,writer,African Americans,male,1871-06-17,1938-06-26,https://en.wikipedia.org/wiki/James_Weldon_Johnson,https://en.wikipedia.org/wiki/J._Rosamond_Johnson,no,James Weldon Johnson Memorial Highway,1873-08-11,Duval,Found,64.3,True,seq=13.3; human:+40; fl:+10; county-miss:-8; us:+5,"John Rosamond Johnson was an American composer and singer born on August 11, 1873, in Jacksonville, Florida. He is best known for his collaborations with his brother James Weldon Johnson, including the composition of the song Lift Every Voice and Sing, often referred to as the Black National Anthem. Johnson was a pioneering figure in African American music, contributing to Broadway productions, spirituals, and popular songs during the early 20th century. He passed away on November 11, 1954, leaving a lasting legacy in American musical history.","['New England Conservatory of Music', 'Fisk University (attended)']",1954-11-11,"Jacksonville, Florida, United States","New York City, New York, United States",male,no,no,no,yes
James Weldon Johnson,writer,African Americans,male,1871-06-17,1938-06-26,https://en.wikipedia.org/wiki/James_Weldon_Johnson,Not Found,no,James Weldon Johnson Boulevard,,Miami‐Dade,Not Found,21.8,False,seq=17.8; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Jim Deaton,head coach,,male,,,https://en.wikipedia.org/wiki/Jim_Deaton,https://en.wikipedia.org/wiki/Dick_Slater,no,Jim Deaton Memorial Bridge,1951-05-19,Duval,Found,48.6,True,seq=7.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Dick Slater was an American professional wrestler born on May 19, 1951, known for his career in the 1970s and 1980s. He achieved prominence in organizations like the National Wrestling Alliance (NWA) and World Wrestling Federation (WWF), often teaming with his storyline brother Bob Slater. Slater was recognized for his tag team success, including winning the NWA World Tag Team Championship. He passed away on October 18, 2018, leaving a legacy in the wrestling industry.",,2018-10-18,"Tampa, Florida, United States","Tampa, Florida, United States",male,yes,no,no,no
Lawrence Callahan,military personnel,,male,1894-01-11,1977-09-17,https://en.wikipedia.org/wiki/Lawrence_Kingsley_Callahan,Not Found,no,Lawrence Callahan Highway,,Duval,Not Found,7.0,False,seq=4.1; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Moses Baker,missionary,,male,1755-00-00,1822-00-00,,Not Found,no,Moses Baker Boulevard,,Duval,Not Found,18.7,False,seq=12.7; fl:+10; county-miss:-8,,,,,,,,,,
Napoleon Bonaparte Broward,politician,,male,1857-04-19,1910-10-01,https://en.wikipedia.org/wiki/Napoleon_B._Broward,https://en.wikipedia.org/wiki/Ion_Farris,no,Napoleon Bonaparte Broward Bridge,1872-01-01,Duval,Found,47.7,True,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Ion Farris was an American lawyer and politician born in 1872, known for his significant contributions to Florida's legal and political landscape. He served in both the Florida House of Representatives and the Florida Senate, where he played a key role in shaping state legislation during the early 20th century. Farris also ran for Governor of Florida in 1916, though he was ultimately unsuccessful in his bid. His career reflected his deep involvement in Florida's political development before his death in 1945.",,1945-01-01,not found,not found,male,no,yes,no,no
Ronald W. Reagan,television actor,white people,male,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan,Not Found,no,Ronald W. Reagan Memorial Highway,,Duval,Not Found,20.2,False,seq=11.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Roy Willis,American football player,,male,,,,Not Found,no,Roy Willis Street,,Duval,Not Found,18.0,False,seq=3.9; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Tom Marshall,researcher,,male,,,,Not Found,no,Tom Marshall Bridge,,Duval,Not Found,22.0,False,seq=20.0; fl:+10; county-miss:-8,,,,,,,,,,
Hal W. Adams,,,,,,https://en.wikipedia.org/wiki/Hal_W._Adams_Bridge,https://en.wikipedia.org/wiki/Ron_Adams,no,Hal W. Adams Bridge,1947-01-01,Lafayette,Found,57.4,True,seq=11.4; human:+40; fl:+10; county-miss:-8,"Ron Adams is an American basketball coach born in 1947, best known for his long tenure as an assistant coach in the NBA. He has worked with multiple championship-winning teams, including the Boston Celtics and Golden State Warriors, contributing to their strategic success. Adams began his coaching career at the collegiate level before transitioning to the NBA in 1992. His expertise in player development and defensive strategies has earned him widespread respect in professional basketball.","[""Fresno State University, Bachelor's degree"", ""University of Fresno Pacific (now Fresno Pacific University), Master's degree""]",,"Bakersfield, California, United States",not found,male,yes,no,no,no
Bill Pearce,politician,,male,1894-11-29,1968-08-02,https://en.wikipedia.org/wiki/Bill_Pearce_(politician),https://en.wikipedia.org/wiki/Bill_Pearce_%28politician%29,yes,Bill Pearce Highway,1917-03-12,Multiple Counties,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Bill Pearce was an American politician and businessman born on March 12, 1917. He served as a U.S. Senator from Utah from 1974 to 1976 after being appointed to fill a vacancy. Pearce was known for his conservative views and contributions to Utah's political landscape during his brief tenure. He passed away on December 21, 2002, leaving behind a legacy in Utah's Republican Party.","['University of Utah, Bachelor of Science in Business Administration', 'Harvard Business School, Advanced Management Program']",2002-12-21,"Salt Lake City, Utah, United States","Salt Lake City, Utah, United States",male,no,yes,no,no
Blue Springs,,,,,,"https://en.wikipedia.org/wiki/Blue_Springs,_Missouri",https://en.wikipedia.org/wiki/Blue_Springs,no,Blue Springs Highway,,Multiple Counties,Found,27.0,True,seq=20.0; fl:+10; county-miss:-8; us:+5,"The provided content does not contain biographical information about a person but instead references 'Blue Springs,' which appears to be a geographical location or topic rather than an individual. No birth, death, profession, or notable achievements for a person are mentioned in the extracted text. The Wikipedia page navigation and language links suggest this is an article about a place, not a biography. Without relevant details, no personal summary can be generated.",,,not found,not found,not found,no,no,no,no
Pearl Harbor,,,,,,https://en.wikipedia.org/wiki/Pearl_Harbor,Not Found,no,Pearl Harbor Memorial Highway,,Multiple Counties,Not Found,4.3,False,seq=13.3; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,Not Found,no,Stephen Foster Bridge,,Dixie,Not Found,18.8,False,seq=12.8; fl:+10; county-miss:-8,,,,,,,,,,
Stephen Foster,songwriter,,male,1826-07-04,1864-01-13,https://en.wikipedia.org/wiki/Stephen_Foster,Not Found,no,Stephen Foster Memorial Highway,,Multiple Counties,Not Found,18.8,False,seq=12.8; fl:+10; county-miss:-8,,,,,,,,,,
Verna Bell,,,,,,https://ceb.wikipedia.org/wiki/Verna_Bell_Claim,https://en.wikipedia.org/wiki/Ernest_Hemingway,no,Verna Bell Way,1899-07-21,Nassau,Found,47.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Ernest Hemingway was an American novelist, short-story writer, and journalist born on July 21, 1899, in Oak Park, Illinois. He is renowned for works like The Old Man and the Sea, A Farewell to Arms, and The Sun Also Rises, which earned him the Nobel Prize in Literature in 1954. His distinctive writing style, characterized by economy and understatement, significantly influenced 20th-century fiction. Hemingway died by suicide on July 2, 1961, in Ketchum, Idaho, leaving behind a legacy as one of the most iconic literary figures in history.","['Oak Park and River Forest High School', 'No college degree']",1961-07-02,"Oak Park, Illinois, United States","Ketchum, Idaho, United States",male,yes,no,yes,no
John W. Campbell,editor,,male,1910-06-08,1971-07-11,https://en.wikipedia.org/wiki/John_W._Campbell,Not Found,no,John W. Campbell Highway,,Putnam,Not Found,23.0,False,seq=4.4; last-mismatch:-4; fl:+10; county:+8; us:+5,,,,,,,,,,
Ron Parker,American football player,,male,1987-08-17,,https://en.wikipedia.org/wiki/Ron_Parker,Not Found,no,Ron Parker Boulevard,,St. Johns,Not Found,13.1,False,seq=9.1; last-mismatch:-4; fl:+10; county-miss:-8,,,,,,,,,,
Correction Officers,,,,,,https://en.wikipedia.org/wiki/Correction_Officers%27_Benevolent_Association,Not Found,no,Correction Officers Memorial Bridge,,Union,Not Found,21.8,False,seq=9.8; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Bayou Chico,,,,,,https://ceb.wikipedia.org/wiki/Bayou_Chico_(suba),https://en.wikipedia.org/wiki/Alastair_Greene,no,Bayou Chico Bridge,,Escambia,Found,27.0,True,seq=3.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Alastair Greene is an American blues-rock guitarist, singer, and songwriter known for his work as a solo artist and with bands like The Alan Parsons Project. Born in California, he gained recognition for his powerful guitar skills and soulful vocals, blending traditional blues with modern rock influences. Greene has released multiple albums, including Trouble at Your Door (2012) and The New World Blues (2014), earning critical acclaim in the blues-rock scene. His career spans decades, marked by collaborations with notable musicians and a reputation as a dynamic live performer.",,,"Santa Barbara, California, United States of America",not found,male,no,no,no,yes
Gulf Gateway,,,,,,https://en.wikipedia.org/wiki/Gulf_Gateway_Deepwater_Port,Not Found,no,Gulf Gateway Bridge,,Escambia,Not Found,18.0,False,seq=4.0; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
R. L. Moore,mathematician,,male,1882-11-14,1974-10-04,https://en.wikipedia.org/wiki/Robert_Lee_Moore,Not Found,no,R. L. Moore Bridge,,Franklin,Not Found,16.9,False,seq=10.9; fl:+10; county-miss:-8,,,,,,,,,,
Tillie Miller,midwife,,female,1900-11-29,1967-03-19,,Not Found,no,Tillie Miller Bridge,,Franklin,Not Found,9.3,False,seq=8.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,https://en.wikipedia.org/wiki/Jimmy_Butler,no,Elgin Bayless Highway,1989-09-14,Bradford,Found,29.0,True,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jimmy Butler is an American professional basketball player born on September 14, 1989. Known for his defensive prowess and leadership, he has played for teams like the Chicago Bulls, Minnesota Timberwolves, Philadelphia 76ers, Miami Heat, and the Los Angeles Clippers. A six-time NBA All-Star and five-time All-NBA Team selection, Butler led the Miami Heat to the NBA Finals in 2020 and 2023. His journey from a lightly recruited college player to an NBA superstar highlights his resilience and work ethic.","['Tomball High School, Texas', 'Tyler Junior College, Texas', ""Marquette University, Wisconsin, Bachelor's in Communication Studies""]",,"Houston, Texas, United States of America",not found,male,yes,no,no,no
Elgin Bayless,,,,,,https://commons.wikimedia.org/wiki/Category:White_City_Bridge,https://en.wikipedia.org/wiki/Jimmy_Butler,no,Elgin Bayless Bridge,1989-09-14,Gulf,Found,29.0,True,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jimmy Butler is an American professional basketball player born on September 14, 1989, in Houston, Texas. Known for his defensive prowess and leadership, he has earned multiple NBA All-Star selections and All-Defensive Team honors throughout his career. Butler played college basketball at Tyler Junior College and Marquette University before being drafted 30th overall by the Chicago Bulls in 2011. He has since become one of the NBA's elite two-way players, contributing significantly to teams like the Miami Heat and Minnesota Timberwolves.","['Tyler Junior College', ""Marquette University, Bachelor's Degree (Communications)""]",,"Houston, Texas, United States",not found,male,yes,no,no,no
George G. Tapper,politician,,male,1916-01-01,1986-01-01,https://en.wikipedia.org/wiki/George_G._Tapper,Not Found,no,George G. Tapper Bridge,,Gulf,Not Found,7.0,False,seq=3.4; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
M. M. Andrews,botanical collector,,female,,,,https://en.wikipedia.org/wiki/James_J._Andrews_%28mathematician%29,no,M. M. Andrews Bridge,,Holmes,Found,26.2,True,seq=15.2; fl:+10; county-miss:-8; us:+5,"James J. Andrews was an American mathematician known for his contributions to the field. Specific details about his birth and death dates are not widely documented in available sources. His professional work primarily revolved around mathematical research and academia, though exact achievements remain unclear due to limited biographical records. Andrews shares his name with a more historically prominent figure (the Civil War spy), which may overshadow his mathematical legacy.",,,not found,not found,male,no,no,no,no
Buddy Williams,street artist,,male,1918-09-05,1986-12-12,https://en.wikipedia.org/wiki/Buddy_Williams_(country_musician),Not Found,no,Buddy Williams Memorial Highway,,Jackson,Not Found,19.9,False,seq=12.9; fl-miss:-10; county:+8; us:+5,,,,,,,,,,
Richard H. Simpson,politician,,male,1905-01-09,1968-11-02,https://en.wikipedia.org/wiki/Richard_H._Simpson,Not Found,no,Richard H. Simpson Highway,,Jefferson,Not Found,22.2,False,seq=11.2; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
S. D. Clarke,businessperson,,male,1881-03-31,1966-12-28,https://en.wikipedia.org/wiki/S._D._Clarke,Not Found,no,S. D. Clarke Highway,,Jefferson,Not Found,24.8,False,seq=13.8; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
James Gadsden,soldier,,male,1788-05-15,1858-12-26,https://en.wikipedia.org/wiki/James_Gadsden,https://en.wikipedia.org/wiki/Nick_Connor,no,James Gadsden Highway,1994-01-01,Multiple Counties,Found,47.0,True,seq=3.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Nick Connor is a professional rugby union player from England. Born in 1994, he has played as a lock or flanker for clubs including Wasps RFC and Jersey Reds in the English Premiership and Championship. Connor also represented England at under-18 and under-20 levels, showcasing his talent in youth international competitions. His career highlights include contributions to Wasps' domestic and European campaigns during his tenure with the club.",,,not found,not found,male,yes,no,no,no
James W. Lee,politician,,male,1938-01-07,2024-12-07,https://en.wikipedia.org/wiki/Jim_Leedman,Not Found,no,James W. Lee Boulevard,,Okaloosa,Not Found,21.9,False,seq=10.9; fl:+10; county-miss:-8; us:+5,,,,,,,,,,
Jim Franklin,actor,,male,1948-05-16,2005-07-10,https://en.wikipedia.org/wiki/Jimmy_Franklin,Not Found,no,Jim Franklin Highway,,Okaloosa,Not Found,19.8,False,seq=13.8; fl:+10; county-miss:-8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,https://en.wikipedia.org/wiki/Frank_S._Reasoner,no,Purple Heart Memorial Highway,1937-09-16,Okaloosa,Found,47.9,True,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Frank Stanley Reasoner was born on September 16, 1937, in Spokane, Washington, and became a distinguished officer in the United States Marine Corps. He was posthumously awarded the Medal of Honor for his heroic actions during the Vietnam War, where he sacrificed his life in combat on July 12, 1965. Reasoner was the first Marine to receive the Medal of Honor for actions in Vietnam, cementing his legacy as a symbol of bravery and dedication. His military career and ultimate sacrifice remain a significant part of U.S. Marine Corps history and the broader narrative of the Vietnam War.","['Gonzaga University, Bachelor of Science in Commerce, 1959']",1965-07-12,"Spokane, Washington, United States",Vietnam,male,no,no,yes,no
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Brevard,Not Found,18.5,False,seq=6.5; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Highlands,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Memorial Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Palm Beach,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Pasco,Not Found,7.0,False,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Purple Heart,,,,,,https://en.wikipedia.org/wiki/Purple_Heart,Not Found,no,Purple Heart Highway,,Multiple Counties,Not Found,7.0,False,seq=19.2; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,,,,,,,,,,
Roger J. Clary,,,male,,,,https://en.wikipedia.org/wiki/Bob_Crane,no,Roger J. Clary Highway,1928-07-13,Okaloosa,Found,28.0,True,seq=7.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Bob Crane was an American actor and radio personality born on July 13, 1928, best known for his role as Colonel Robert E. Hogan in the television sitcom Hogan's Heroes (1965–1971). He began his career as a radio host in the 1950s before transitioning to television, appearing in The Donna Reed Show and other programs. Crane's life ended tragically when he was murdered on June 29, 1978, in Scottsdale, Arizona, a case that remains widely discussed due to its unsolved nature and sensational details. His work in Hogan's Heroes cemented his legacy as a prominent figure in 1960s American television comedy.","['Stamford High School', 'Connecticut School of Broadcasting (training)']",1978-06-29,"Waterbury, Connecticut, United States","Scottsdale, Arizona, United States",male,no,no,yes,yes
