Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw
Trooper Alvin V. Kohler,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/7670-trooper-alvin-vincent-kohler,Trooper Alvin Vincent Kohler,23,11 months,Not available,Gunfire,Handgun; .357 caliber,"ALVIN VINCENT KOHLER Trooper Alvin Kohler was shot and killed in Miami when he stopped to help a disabled motorist on the Florida Turnpike at SW 168th Street. Trooper Kohler stopped for a car on fire. He requested a tow truck and started writing the 15-year-old driver a citation for failure to comply with a restriction on his license. When the tow truck arrived, the youth opened fire with a handgun, killing the trooper and the tow truck driver. The suspect and a 13-year-old companion then fled in the tow truck. Minutes later, they were captured by two Florida City police officers. The shooter was convicted of two counts of murder and robbery and sentenced to three life terms in prison. As of November 22, 2020, he was in prison. Trooper Kohler was a U.S. Air Force veteran and had served with the Florida Highway Patrol for 11 months. He was survived by his parents, two brothers, and a sister.","BIO Age 23 Tour 11 months Badge Not available Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Handgun; .357 caliber Offender Sentenced to life Disabled Motorist, Juvenile Offender Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun; .357 caliber Offender Sentenced to life
Trooper Charles Eugene Campbell,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/2710-trooper-charles-eugene-campbell,Trooper Charles Eugene Campbell,35,9 years,Not available,Gunfire,Handgun; .357 caliber,"CHARLES EUGENE CAMPBELL Trooper Charles Campbell was shot and killed after being abducted while making a traffic stop in Perry, Florida. After taking Trooper Campbell hostage, the suspect used the patrol car siren to pull over a motorist and take his car. Trooper Campbell was found tied up and shot to death in Georgia along with the motorist. The suspect was later shot and killed by a Georgia Bureau of Investigation agent after he tried to gain control of another officer's weapon after being arrested. It was later discovered that the suspect was a serial killer responsible for at least 18 murders, including Trooper Campbell's murder, beginning in July of that same year. He had been released on parole in May 1974 but returned to jail after stabbing a man. He escaped jail on July 26, 1974. Trooper Campbell had served with the Florida Highway Patrol for nine years. He was survived by his wife and son.","BIO Age 35 Tour 9 years Badge Not available INCIDENT DETAILS Cause Gunfire Location Georgia Weapon Handgun; .357 caliber Offender Shot and killed Abducted, Convicted Felon, Escapee, Parolee, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Location Georgia Weapon Handgun; .357 caliber Offender Shot and killed
Trooper Milan D. Hendrix,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/6379-trooper-milan-dexter-hendrix,Trooper Milan Dexter Hendrix,37,9 years,Not available,Automobile crash,,"MILAN DEXTER HENDRIX Trooper Milan Hendrix was killed in an automobile crash in Pensacola when his patrol car collided with a log truck exiting a paper mill on U.S. 29 at 10:00 p.m. Trooper Hendrix had served with the Florida Highway Patrol for nine years. He was survived by his parents, brother, and sister. In December 2019, Highway 29 was renamed Trooper Milan Hendrix Memorial Highway, from Nine Mile Road to Neal Road.","BIO Age 37 Tour 9 years Badge Not available INCIDENT DETAILS Cause Automobile crash Routine Driving, Vehicle Crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Trooper Richard Howell,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/6762-trooper-richard-d-howell,Trooper Richard D. Howell,30,1 year,Not available,Vehicle pursuit,Not available,RICHARD D. HOWELL Trooper Howell was killed in an automobile accident during a pursuit in Orlando. Trooper Howell had served with the Florida Highway Patrol for 1 year.,BIO Age 30 Tour 1 year Badge Not available INCIDENT DETAILS Cause Vehicle pursuit Weapon Not available Offender Not available Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicle pursuit Weapon Not available Offender Not available
Corporal Joseph R. Bertrand,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1814-corporal-joseph-paul-bertrand,Corporal Joseph Paul Bertrand,46,16 years,Not available,Gunfire,Gun; Unknown type,"JOSEPH PAUL BERTRAND Corporal Bertrand was shot and killed on State Road 80 near Ft. Myers when he stopped a driver he suspected was under the influence. The suspect was captured in a nearby wooded area. The suspect was convicted of first degree murder and sentenced to death May 17, 1968. His conviction and sentence were later reduced to second degree murder with a life sentence. He died in prison on May 12, 2000. Trooper Bertrand had served with the Florida Highway Patrol for 16 years.",BIO Age 46 Tour 16 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison
Trooper Luther P. Daniel,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/3791-trooper-luther-paul-daniel,Trooper Luther Paul Daniel,32,6 months,Not available,Gunfire,Handgun; .45 caliber,"LUTHER PAUL DANIEL Trooper Luther Daniel was shot and killed while questioning the driver of a stolen car in Miami. The suspect was taken into custody by two U.S. Immigration Agents four miles from the crime scene two days later. The gun used to murder Trooper Daniel had been used in another murder in Ohio several months earlier. The 22-year-old suspect was an escapee from a Georgia mental hospital. Although he was in a mental hospital he had never been judged insane and was found fit to stand trial. He was convicted of murder and executed in the electric chair on July 20, 1942. Trooper Daniel had served with the Florida Highway Patrol for 6 months. He was survived by his wife and son.",BIO Age 32 Tour 6 months Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Handgun; .45 caliber Offender Executed in 1942 Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Handgun; .45 caliber Offender Executed in 1942
Trooper Joseph Bullock,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/24396-trooper-joseph-jon-bullock,Trooper Joseph Jon Bullock,42,19 years,595,Gunfire,Handgun,"JOSEPH JON BULLOCK Trooper Joseph Bullock was shot and killed at approximately 10:15 while assisting a disabled vehicle on I-95 just north of the interstate rest area in Martin County. He stopped to assist the motorist whose vehicle had become stuck on a swale. He had positioned his patrol car behind the vehicle and completed paperwork for approximately one hour while the motorist waited for a tow truck to remove the vehicle. During this time Trooper Bullock had several normal interactions with the motorist. Once the tow truck driver arrived the man became upset with the cost of having the vehicle towed. He calmly walked back to Trooper Bullock’s vehicle and, without warning, drew a handgun and fatally shot him in the head. The man then attempted to shoot the tow truck driver, but his gun jammed, allowing the tow truck driver to run to safety. The tow truck driver was able to get the attention of an off-duty Riviera Beach detective who was driving into work. The detective fatally shot the subject after the man confronted him and pointed the gun at him. Trooper Bullock was a U.S. Air Force veteran and had served with the Florida Highway Patrol for 19 years. He is survived by his parents and two sisters. In December 2020, the Port Salerno post office was renamed the Trooper Joseph Bullock Building and I-95, where he was shot, was also renamed Trooper Joseph Bullock Memorial Highway.","BIO Age 42 Tour 19 years Badge 595 Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed Disabled Motorist, Ambush Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed
Trooper Phillip Black,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1893-trooper-phillip-a-black,Trooper Phillip A. Black,39,9 years,Not available,Gunfire,Handgun,"PHILLIP A. BLACK Trooper Phillip Black was shot and killed while investigating a suspicious vehicle that contained narcotics at a rest stop on I-95 south of Hillsboro Boulevard in Deerfield Beach, Florida. During the stop at least one of the subjects in the car opened fire, killing Trooper Black. Corporal Donald Irwin, of the Ontario Provincial Police, Canada, was riding along with Trooper Black while on vacation. When Corporal Irwin went to assist Trooper Black he was also shot and killed. One of the subjects in the vehicle was on parole. Two men and a woman were arrested and charged with their murders. One of the men was convicted of capital murder and executed on May 4th, 1990. Trooper Black had served with the Florida Highway Patrol for nine years.","BIO Age 39 Tour 9 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Executed in 1990 Narcotics, Parolee, Suspicious Vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Executed in 1990
Trooper John C. Hagerty,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/5899-trooper-john-c-hagerty,Trooper John C. Hagerty,44,13 years,Not available,Aircraft accident,,"JOHN C. HAGERTY Trooper John Hagerty was killed when the traffic plane he was piloting was struck by a low-flying U.S. Navy plane over Lakeland. He was monitoring traffic on I-4, flying at an altitude of approximately 1,000 feet, when two Navy A7B Corsair bombers entered the airspace near him. One of the jets collided with his plane, slicing it in two. The wreckage of his plane landed on I-4, approximately four miles north of Lakeland. Trooper Hagerty and other troopers had previously reported Navy aircraft buzzing the traffic control planes and vehicles on the highway. Trooper Hagerty had served with the Florida Highway Patrol for 13 years.",BIO Age 44 Tour 13 years Badge Not available INCIDENT DETAILS Cause Aircraft accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Aircraft accident
Trooper Charles W. Parks,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/10379-trooper-charles-w-chuck-parks,"Trooper Charles W. ""Chuck"" Parks",28,6 years,Not available,Gunfire,Gun; Unknown type,"CHARLES W. ""CHUCK"" PARKS Trooper Charles Parks was shot and killed when he stopped two armed robbery suspects on Interstate 95 in Nassau County just north of Jacksonville. The suspects had robbed a finance company in Woodbine, Georgia. One suspect shot him when he found the money they took during a search of their car. Both were apprehended a mile from the scene by several state troopers. Trooper Parks' service revolver was found in their car. Both suspects, 20 and 22, were charged with murder. The youngest was convicted of second degree murder and sentenced to life. The other was convicted of third degree murder and sentenced to 15 years. I-95 at the Welcome Center in Nassau County, Florida, was renamed the Trooper Charles W. Parks Memorial Highway. Trooper Parks had served with the Florida Highway Patrol for six years. He is survived by his pregnant wife and daughter. His second daughter was born a few months later.",BIO Age 28 Tour 6 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to life Robbery Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Sentenced to life
Trooper Patrick Ambroise,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/20401-trooper-patrick-ambroise,Trooper Patrick Ambroise,35,4 years,Not available,Automobile crash,,"PATRICK AMBROISE Trooper Patrick Ambroise was killed when his patrol car was struck from behind while he was stopped on the shoulder of the Florida Turnpike, near Okeechobee Road. A vehicle being driven on the turnpike suddenly veered onto the shoulder and struck Trooper Ambroise's 2006 Crown Victoria from behind, causing it to burst into flames, and trapping him inside. The driver of the vehicle that caused the crash was seriously injured. Trooper Ambroise had served with the Florida Highway Patrol for four years. He is survived by his wife, two young daughters, mother, and five siblings.",BIO Age 35 Tour 4 years Badge Not available INCIDENT DETAILS Cause Automobile crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
"Trooper Sherman L. Scott, Jr.",https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/11947-trooper-sherman-lee-scott-jr,"Trooper Sherman Lee Scott, Jr.",25,3 years,Not available,Gunfire,Gun; Unknown type,"SHERMAN LEE SCOTT, JR. Trooper Sherman Scott was shot and killed during a traffic stop of a stolen vehicle on I-10 in Baker County at 7:30 am. The driver was arrested a short time later after running through a roadblock and leading officers on a high-speed pursuit. He was shot and killed when he attacked another trooper as he was being transported to jail. Trooper Scott had served with the Florida Highway Patrol for 3 years.","BIO Age 25 Tour 3 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Shot and killed Stolen Vehicle, Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Shot and killed
Trooper Robert L. Pruitt,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/10880-trooper-robert-l-pruitt,Trooper Robert L. Pruitt,37,5 years,Not available,Aircraft accident,,"ROBERT L. PRUITT Trooper Robert Pruitt, Corporal Cleo Tomlinson, and Trooper Merle Cook were killed in an airplane accident while searching for two breaking and entering suspects in St. John's County. The suspects were charged with three counts of homicide in connection with the deaths of all three troopers. The primary burglary suspect was convicted of burglary and sentenced to 15 years in prison. He was released only to be sentenced to 6 years for cocaine sale in October of 2010 and he currently resides in the Florida State Prison System. Trooper Pruitt had served with the Florida Highway Patrol for 5 years. He was survived by his wife and two children.",BIO Age 37 Tour 5 years Badge Not available INCIDENT DETAILS Cause Aircraft accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Aircraft accident
"Trooper Frederick J. Groves, Jr.",https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/5801-trooper-frederick-j-groves-jr,"Trooper Frederick J. Groves, Jr.",41,14 years,Not available,Gunfire,Gun; Unknown type,"FREDERICK J. GROVES, JR. Trooper Fred Groves succumbed to his gunshot wound when he was shot after making a traffic stop in Palm Beach County. The stop occurred along the southbound lanes of the Florida Turnpike two miles north of Okeechobee Road in West Palm Beach. As Trooper Groves searched the trunk of the car, he was shot in the neck by a passenger when he discovered a suitcase full of marijuana. He was transported to Palm Beach Gardens Medical Center, where he succumbed to his wound three days later. The suspect and the driver were arrested the next day. The 21-year-old suspect was convicted of first-degree murder and sentenced to life in prison on March 27, 1987. His accomplice was convicted of third-degree murder and sentenced to seven years. Trooper Groves had served with the Florida Highway Patrol for 14 years. He was survived by his wife, son, and daughter.","BIO Age 41 Tour 14 years Badge Not available INCIDENT DETAILS Cause Gunfire Incident Date Saturday, September 15, 1984 Weapon Gun; Unknown type Offender Sentenced to life Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Gunfire Incident Date Saturday, September 15, 1984 Weapon Gun; Unknown type Offender Sentenced to life"
Trooper Joseph Sawtell Jr.,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/11796-trooper-joseph-newton-sawtell-jr,"Trooper Joseph Newton Sawtell, Jr.",23,4 months,Not available,Automobile crash,,"JOSEPH NEWTON SAWTELL, JR. Trooper Sawtell was killed in an automobile accident in Melbourne when his cruiser was struck by a car that ran stop sign. Trooper Sawtell had served with the Florida Highway Patrol for 4 months.",BIO Age 23 Tour 4 months Badge Not available INCIDENT DETAILS Cause Automobile crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Michael Scott Williams,https://www.odmp.org/agency/3795-taylor-county-sheriffs-office-florida,https://www.odmp.org/officer/23007-deputy-sheriff-michael-scott-williams,Deputy Sheriff Michael Scott Williams,46,11 years,Not available,Automobile crash,,MICHAEL SCOTT WILLIAMS Deputy Sheriff Scott Williams was killed in a vehicle crash near the intersection of US 98 and Beach Road at approximately 7:00 am. He suffered fatal injuries when his patrol car collided with the rear of a logging truck. Deputy Williams had served with the Taylor County Sheriff's Office for 17 months and had previously served with the Brooksville Police Department.,BIO Age 46 Tour 11 years Badge Not available INCIDENT DETAILS Cause Automobile crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Deputy Sheriff Barbara Ann Pill,https://www.odmp.org/agency/401-brevard-county-sheriffs-office-florida,https://www.odmp.org/officer/21204-deputy-sheriff-barbara-ann-pill,Deputy Sheriff Barbara Ann Pill,53,30 years,644,Gunfire,Handgun,"BARBARA ANN PILL Deputy Sheriff Barbara Pill was shot and killed after stopping a vehicle near the intersection of John Rodes Boulevard and Elena Way, in Melbourne, shortly before 11:15 am. The vehicle was wanted in connection with a stolen property call from a local motel. As Deputy Pill made contact with the driver and ordered him out of the vehicle, he opened fire on her, striking her multiple times. Responding deputies, Melbourne police officers, and Florida troopers chased the vehicle a short distance until it crashed on Turtlemound Road. A male and female subject in the vehicle were taken into custody and faced charges in connection with Deputy Pill's murder. On June 26, 2014, the 24-year-old male suspect was convicted of first-degree murder and sentenced to death. Deputy Pill was transported to the Holmes Regional Medical Center where she succumbed to the gunshot wound. Deputy Pill had served with the Brevard County Sheriff's Office for 15 years and served in law enforcement for 30 years. She is survived by her husband, two sons who also serve in law enforcement, and a grandchild.",BIO Age 53 Tour 30 years Badge 644 INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to death Traffic Stop Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Sentenced to death
Sergeant Brian LaVigne,https://www.odmp.org/agency/1684-hillsborough-county-sheriffs-office-florida,https://www.odmp.org/officer/25051-sergeant-brian-roy-lavigne,Sergeant Brian Roy LaVigne,54,33 years,Not available,Vehicular assault,Automobile,"BRIAN ROY LAVIGNE Sergeant Brian LaVigne was killed when his patrol car was intentionally rammed by another vehicle on West Lumsden Road, near South King's Avenue, in Brandon. Deputies had responded to an apartment complex nearby after a man started throwing furniture and clothing off his balcony. A short time later, the man disrobed and started throwing food at neighbors. The man attacked responding deputies, striking one of them multiple times in the head. Attempts to stop the attack with electric control weapons failed. The subject broke free, got into a car, and drove through a closed gate. The man intentionally drove across multiple lanes of traffic and struck Sergeant LaVigne's patrol car on the driver's door at a high rate of speed. Deputies were unable to free Sergeant LaVigne, and he had to be extricated by rescue units. He was transported to Tampa General Hospital, where he succumbed to his injuries. The subject was arrested following the collision. In 2025, he pleaded guilty and was sentenced to 45 years. Sergeant LaVigne had served with the Hillsborough County Sheriff's Office for thirty years and was killed the day before his last scheduled shift before retirement. He previously served with the Largo Police Department prior to joining the Hillsborough County Sheriff's Office. He is survived by his wife and two children. His daughter became a deputy with the Hillsborough County Sheriff's Office. Sergeant Lavigne was posthumously promoted from Master Corporal to Sergeant.","BIO Age 54 Tour 33 years Badge Not available INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to 45 years EDP, Impaired Driver, Vehicle Crash Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Sentenced to 45 years
Deputy Sheriff David Anthony Abella,https://www.odmp.org/agency/1684-hillsborough-county-sheriffs-office-florida,https://www.odmp.org/officer/17286-deputy-sheriff-david-anthony-abella,Deputy Sheriff David Anthony Abella,26,1 year,4234,Automobile crash,,"DAVID ANTHONY ABELLA Deputy Sheriff David Abella was killed in an automobile collision on 50th Street, near Causeway Boulevard while responding to a trespassing call at a local convenience store. He was attempting to pass a slow-moving tractor-trailer when he lost control of his patrol car and struck a utility pole. The deputy was transported to a local hospital where he was pronounced dead. Deputy Abella was a United States Coast Guard Persian Gulf veteran and had served with the Hillsborough County Sheriff's Office for one year. He is survived by his wife, three children, parents, brother, and sister.","BIO Age 26 Tour 1 year Badge 4234 Military Veteran INCIDENT DETAILS Cause Automobile crash Emergency Response, Single Vehicle Crash, Trespasser Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Deputy Sheriff Michael Hartwick,https://www.odmp.org/agency/2105-lee-county-sheriffs-office-florida,https://www.odmp.org/officer/15864-deputy-sheriff-michael-shostak,Deputy Sheriff Michael Shostak,28,6 years,99032,Automobile crash,,"MICHAEL SHOSTAK Deputy Michael Shostak succumbed to injuries received two weeks earlier in an automobile accident. On the night of the incident, his shift was scheduled to end 13 minutes later, at 0300 hours, when he lost control of his patrol car at 0247 hours and struck a utility pole. Deputy Shostak had been employed with the Lee County Sheriff's Office for two years, and had been in law enforcement for six years. He is survived by his wife and 2-year-old daughter.","BIO Age 28 Tour 6 years Badge 99032 INCIDENT DETAILS Cause Automobile crash Incident Date Thursday, October 25, 2001 Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs","INCIDENT DETAILS Cause Automobile crash Incident Date Thursday, October 25, 2001"
Corporal James McWhorter,https://www.odmp.org/agency/1275-florida-department-of-agriculture-and-consumer-services-office-of-agricultural-law-enforcement-florida,https://www.odmp.org/officer/25942-corporal-james-michael-mcwhorter,Corporal James Michael McWhorter,31,"2 years, 6 months",Not available,Automobile crash,,"JAMES MICHAEL MCWHORTER Corporal James McWhorter was killed in a vehicle crash near the Agricultural Inspection Station on I-95 in Yulee, Florida. He was crossing from the northbound inspection station to the southbound inspection station when his vehicle was struck by an oncoming pickup truck at about 8:30 pm. All of the occupants of the truck suffered non-fatal injuries. Corporal McWhorter had served with the Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement for 2-1/2 years. He is survived by his four children, parents, three brothers, two sisters, and fiancée. Corporal McWhorter was posthumously promoted to Corporal.","BIO Age 31 Tour 2 years, 6 months Badge Not available INCIDENT DETAILS Cause Automobile crash Routine Driving Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Automobile crash
Wesley L. Silas,https://www.odmp.org/agency/1275-florida-department-of-agriculture-and-consumer-services-office-of-agricultural-law-enforcement-florida,https://www.odmp.org/officer/986-officer-wesley-l-silas,Officer Wesley L. Silas,42,12 years,Not available,Struck by vehicle,,"WESLEY L. SILAS Officer Wesley Silas was killed after being struck by a tractor-trailer at the Agricultural Inspection Station on I-10 near Live Oak, Florida. He had stopped the truck for inspection and had just completed his paperwork, noting several suspicious items on the truck's registration. After returning the registration to the driver he walked in front of the truck to return to the inspection station when the driver began to drive forward, striking Officer Silas. The driver claimed he did not see Officer Silas walk in front of the truck. Due to a lack of evidence, no charges were ever filed against the trucker, and Officer Silas' death was ruled accidental. Officer Silas had served with the Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement for 12 years. He was survived by his mother, sister, and brother.",BIO Age 42 Tour 12 years Badge Not available INCIDENT DETAILS Cause Struck by vehicle Inspection Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle
Officer Scott Eric Bell,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/19030-officer-scott-eric-bell,Officer Scott Eric Bell,50,7 years,7872,Vehicular assault,Automobile; Alcohol involved,"SCOTT ERIC BELL Officer Scott Bell was killed when a vehicle being operated by an intoxicated driver pulled out in front of his patrol car. The officer was returning from a call on Heckscher Drive when a van traveling on New Berlin Road collided with his cruiser. Officer Bell's vehicle spun out of control and hit a power pole and burst into flames. The suspect pleaded guilty to manslaughter on September 5, 2008, and was sentenced to three years probation and one year in the county jail. Officer Bell was a U.S. Navy veteran and had served with the Jacksonville Sheriff's Office for 7 years. He is survived by his wife, mother, and brother.",BIO Age 50 Tour 7 years Badge 7872 Military Veteran INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Convicted of manslaughter Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicular assault Weapon Automobile; Alcohol involved Offender Convicted of manslaughter
Officer Lance Christian Whitaker,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/23677-police-officer-lance-christian-whitaker,Police Officer Lance Christian Whitaker,48,18 years,7656,Automobile crash,,"LANCE CHRISTIAN WHITAKER Police Officer Lance Whitaker was killed in a single-vehicle crash on northbound I-295, near Alta Drive, at approximately 4:30 a.m. He was responding to another accident scene on the interstate when his vehicle left the roadway and struck a tree. Officer Whitaker served more than 17 years with the Jacksonville Sheriff’s Office. He is survived by his teenage son, fiancee and her three children. In December 2019, I-295 between Pulaski and Alta was renamed to Officer Lance Christian Waller Highway.",BIO Age 48 Tour 18 years Badge 7656 INCIDENT DETAILS Cause Automobile crash Accident Scene Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Officer Christopher Michael Kane,https://www.odmp.org/agency/1852-jacksonville-sheriffs-office-florida,https://www.odmp.org/officer/19540-officer-christopher-michael-kane,Officer Christopher Michael Kane,38,12 years,5667,Automobile crash,,CHRISTOPHER MICHAEL KANE Officer Christopher Kane was killed in an automobile accident in a construction zone on Route 9A. He had finished speaking with an off duty officer working at the construction zone when his patrol car collided with the back of a semi that was carrying construction equipment. Officer Kane had served with the Jacksonville Sheriff's Office for 12 years. He is survived by his wife and two children.,BIO Age 38 Tour 12 years Badge 5667 INCIDENT DETAILS Cause Automobile crash Automobile Accident Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Automobile crash
Ponce de Leon,https://www.odmp.org/agency/3780-tallahassee-police-department-florida,https://www.odmp.org/officer/10747-police-officer-ernest-kearns-ponce-de-leon,Police Officer Ernest Kearns Ponce de Leon,40,Not available,647,Gunfire,Handgun,"ERNEST KEARNS PONCE DE LEON Police Officer Ernest Ponce de Leon was shot and killed while assisting another officer during a suspicious vehicle call at the intersection of Levy Avenue and Lake Bradford Road. The occupants of the vehicle had claimed that their identification was packed in luggage in the trunk. One of the occupants was accompanied by the other officer to the trunk while Officer Ponce de Leon covered them. Suddenly two of the men pulled out handguns and opened fire, striking Officer Ponce de Leon, who was not wearing a vest, in the chest. One of the suspects was shot and wounded by the other officer. All of the suspects were apprehended as backup officers arrived on the scene. It was learned that the suspects had escaped from the Maryland Department of Corrections several days prior. The 33-year-old suspect who shot Officer Ponce de Leon was sentenced to death and the others were sentenced to lengthy prison terms. The suspect sentenced to death died in prison on October 27th, 2015, of natural causes. Officer Ponce de Leon was survived by his son and daughter.","BIO Age 40 Tour Not available Badge 647 INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison Escapee, Suspicious Vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison
Officer Jesse Madsen,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/25185-officer-jesse-peter-madsen,Officer Jesse Peter Madsen,45,16 years,507,Vehicular assault,Automobile,"JESSE PETER MADSEN Police Officer Jesse Madsen was killed when his patrol car was struck head-on by a wrong-way driver on I-275, near Hillsborough Avenue, just before 1:00 am. He was responding to reports of a vehicle driving in the wrong direction when he was struck by the car. A witness driving behind Officer Madsen stated that he intentionally collided with the oncoming car to keep it from striking other vehicles. Officer Madsen and the other driver were both killed in the impact. Officer Madsen was a U.S Marine Corps veteran and had served with the Tampa Police Department for 16 years. He is survived by his wife and three children.",BIO Age 45 Tour 16 years Badge 507 Military Veteran INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Not available Wrong-Way Driver Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Vehicular assault Weapon Automobile Offender Not available
Officer James Ronco,https://www.odmp.org/agency/3785-tampa-police-department-florida,https://www.odmp.org/officer/11486-police-officer-james-ronco,Police Officer James Ronco,34,Not available,Not available,Gunfire,Officer's handgun,JAMES RONCO Officer Ronco was shot and killed by a female prisoner who had just escaped from the police station. While he was transporting her back to jail she grabbed his gun and shot him twice. He was able to regain control of the weapon and shot and killed the suspect as well. It was determined that the suspect was under the influence of heroin and cocaine.,BIO Age 34 Tour Not available Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Shot and killed Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Officer's handgun Offender Shot and killed
