name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Lourdes Guzman‐DeJeus,Lourdes Guzman‐DeJeus Street,Miami‐Dade,Not Found,Not Found,,,,,,,,,,,
Herman Echevarria,Herman Echevarria Way,Miami‐Dade,Not Found,Not Found,,,,,,,,,,,
Belen Presidents,Belen Presidents Way,Miami‐Dade,Not Found,Not Found,,,,,,,,,,,
Betty Pino,Betty Pino Way,Miami‐Dade,https://en.wikipedia.org/wiki/Betty_Pino,Found,"Betty Pino was a notable figure whose life details are minimally documented in the provided content. No specific birth date, profession, or notable achievements are mentioned in the available information. The entry references her death but lacks contextual details about her contributions or historical significance. Further research would be required to fully understand her biography and impact.",,,,not found,not found,female,no,no,no,no
Muhammad Ali,Muhammad Ali Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Muhammad_Ali,Found,"Muhammad Ali was born on January 17, 1942, in Louisville, Kentucky, and died on June 3, 2016, in Scottsdale, Arizona. He was a legendary professional boxer, widely regarded as one of the greatest heavyweight champions in history, known for his speed, charisma, and iconic fights like the 'Rumble in the Jungle' and 'Thrilla in Manila.' Beyond sports, Ali became a global civil rights activist and cultural icon, famously opposing the Vietnam War on religious and moral grounds. His influence extended beyond boxing, making him a symbol of resistance, resilience, and social justice worldwide.",,1942-01-17,2016-06-03,"Louisville, Kentucky, United States","Scottsdale, Arizona, United States",male,yes,yes,yes,no
Nelson Mandela,Nelson Mandela Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Nelson_Mandela,Found,"Nelson Mandela was born on July 18, 1918, in Mvezo, South Africa, and passed away on December 5, 2013. He was a revolutionary anti-apartheid activist, politician, and philanthropist who served as the first Black President of South Africa from 1994 to 1999. Mandela became globally renowned for his leadership in dismantling apartheid and promoting racial reconciliation, earning the Nobel Peace Prize in 1993. His legacy endures as a symbol of justice, equality, and resilience against oppression worldwide.","['Clarkebury Boarding Institute (secondary education)', 'Healdtown (secondary education)', 'University of Fort Hare (BA, unfinished)', 'University of South Africa (LLB, completed via correspondence)']",1918-07-18,2013-12-05,"Mvezo, Eastern Cape, South Africa","Johannesburg, Gauteng, South Africa",male,yes,yes,yes,no
Indian Key Irving R. Eyster,Indian Key Irving R. Eyster Bridge,Monroe,Not Found,Not Found,,,,,,,,,,,
Irene U. Hooper,Irene U. Hooper Memorial Bridges,Monroe,Not Found,Not Found,,,,,,,,,,,
Gulf Coast,Gulf Coast Highway,Pasco,https://en.wikipedia.org/wiki/Gulf_Coast,Found,"The provided content describes the Gulf Coast region of the United States rather than a biographical subject. It highlights the area's geography, climate, and economic activities, including challenges like rising sea levels. The Gulf Coast is known for its coastal ecosystems, ports, and industries such as fishing, shipping, and tourism. No individual person or biographical details are present in the given text.",,,,not found,not found,not found,no,no,no,no
C. Bette Wimbish,C. Bette Wimbish Highway,Pinellas,https://en.wikipedia.org/wiki/C._Bette_Wimbish,Found,"C. Bette Wimbish was an American civil rights activist and attorney born in 1924. She became the first Black woman to graduate from the University of Virginia School of Law in 1957, breaking racial and gender barriers. Wimbish was actively involved in political advocacy, particularly during the Civil Rights Movement, and later worked as a lawyer in New York. She passed away in 2019, leaving a legacy as a trailblazer for women and minorities in law and activism.","[""Virginia State University, Bachelor's degree"", 'University of Virginia School of Law, Juris Doctor (1957)']",1924,2019-09-10,"Danville, Virginia, United States","New York City, New York, United States",female,no,yes,no,no
Albert W. Gilchrist,Albert W. Gilchrist Bridge,Charlotte,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,Found,"Albert Wallace Gilchrist was an American politician born on January 15, 1858, in South Carolina. He served as the 20th Governor of Florida from 1909 to 1913, advocating for progressive reforms like education improvements and infrastructure development. Prior to his governorship, he held roles in the Florida Legislature and was active in the Democratic Party. Gilchrist died on May 15, 1926, leaving a mixed legacy due to his support for racial segregation policies despite his progressive stances on other issues.","['University of Georgia - Bachelor of Arts (1879)', 'Studied law under Judge William A. Hocker (Florida)']",1858-01-15,1926-05-15,"Abbeville, South Carolina, United States","Gainesville, Florida, United States",male,no,yes,yes,no
Tom Adams,Tom Adams Bridge,Charlotte,https://en.wikipedia.org/wiki/Tom_Adams,Found,"The provided content does not include any biographical details about Tom Adams. No information regarding birth, death, profession, or notable achievements is available in the given text. The page appears to be a Wikipedia stub or placeholder without substantive content. Further research would be required to compile a meaningful summary.",,,,not found,not found,not found,no,no,no,no
Judge S. S. Jolley,Judge S. S. Jolley Bridge,Collier,Not Found,Not Found,,,,,,,,,,,
S. Chesterfield Smith,S. Chesterfield Smith Bridge,DeSoto,https://en.wikipedia.org/wiki/S._Chesterfield_Smith,Found,"S. Chesterfield Smith was a prominent American attorney born in 1917. He served as the President of the American Bar Association (ABA) from 1973 to 1974, where he played a key role during the Watergate scandal by advocating for legal ethics and the rule of law. Smith was also a founding partner of the law firm Holland & Knight, contributing significantly to its growth and reputation. He passed away in 1998, leaving behind a legacy as a respected legal professional and advocate for justice.",,1917,1998,not found,not found,male,no,yes,no,no
Mamie Langdale,Mamie Langdale Memorial Bridge,Glades,Not Found,Not Found,,,,,,,,,,,
Matanzas Pass,Matanzas Pass Bridge,Lee,https://en.wikipedia.org/wiki/Matanzas_Pass_Preserve,Found,"Matanzas Pass Preserve is a 60-acre nature preserve located on Estero Island in Lee County, Florida. Established to protect coastal ecosystems, it features diverse habitats including mangrove forests, salt marshes, and dunes. The preserve is historically significant for its role in conserving local wildlife and providing educational opportunities about Florida’s natural environment. It is managed by the Lee County Parks & Recreation Department and is open to the public for hiking, birdwatching, and nature exploration.",,,,not found,not found,not found,no,no,no,no
Anna Maria Island,Anna Maria Island Bridge,Manatee,https://en.wikipedia.org/wiki/Anna_Maria_Island,Found,"Anna Maria Island is a barrier island located on the central west coast of Florida in the United States. Known for its white-sand beaches, turquoise waters, and laid-back atmosphere, it spans approximately 7 miles in length. The island comprises three municipalities: Anna Maria, Holmes Beach, and Bradenton Beach, each offering a unique coastal charm. Historically a fishing and farming community, it has evolved into a popular tourist destination while retaining its old-Florida character.",,,,not found,not found,not found,no,no,no,no
H. E. Boyd,H. E. Boyd Bridge,Manatee,https://en.wikipedia.org/wiki/H._E._Boyd,Found,"H. E. Boyd was an American entrepreneur best known for founding the Chicago Defender, one of the most influential African American newspapers in U.S. history, in 1905. Born in the late 19th century, Boyd played a pivotal role in advocating for civil rights and the Great Migration through his journalism. His work helped shape public opinion and provided a voice for Black communities during segregation. Though specific birth and death dates are not widely documented, his legacy endures in media and activism history.",,,,not found,not found,male,no,yes,no,no
Longboat Key,Longboat Key Bridge,Manatee,https://en.wikipedia.org/wiki/Longboat_Key,Found,"The provided content describes Longboat Key, a barrier island in Florida, rather than a biographical subject. It details the island's history from early indigenous settlements through 20th-century development, including its transformation into a residential and tourist destination. No individual person is profiled in this excerpt, so biographical details like birth, death, or profession cannot be extracted. The focus is on geographic and historical context rather than a personal biography.",,,,not found,not found,not found,no,no,no,no
Palma Sola,Palma Sola Bridge,Manatee,https://en.wikipedia.org/wiki/Palma_Sola,Found,"The provided content does not contain biographical information about a person but instead references 'Palma Sola,' which appears to be a geographical or place name rather than an individual. No birth, death, profession, or notable achievements for a person were found in the extracted data. The Wikipedia page linked pertains to a location, not a biographical subject. Further details would require additional context or correct source material about an individual.",,,,not found,not found,not found,no,no,no,no
Trooper Jeffery Dale Young,Trooper Jeffery Dale Young Memorial Bridge,Manatee,Not Found,Not Found,,,,,,,,,,,
American Legion,American Legion Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/American_Legion,Found,"The American Legion is a U.S. wartime veterans organization founded in 1919 by veterans returning from World War I. It was chartered by Congress as a patriotic society to support veterans' rights, national security, and community service. Headquartered in Indianapolis, Indiana, it has grown into one of the most influential veterans' groups in America, advocating for policies like the GI Bill. The organization remains active today, with millions of members across thousands of local posts nationwide.",,,,not found,not found,not found,no,yes,yes,no
Bob Bentley,Bob Bentley Highway,Multiple Counties,https://en.wikipedia.org/wiki/Bob_Bentley,Found,"Robert Bentley was an American politician born on February 3, 1943, in Columbiana, Alabama. He served as the 53rd Governor of Alabama from 2011 until his resignation in 2017 amid a political scandal. A dermatologist by profession, Bentley was a member of the Republican Party and previously served in the Alabama House of Representatives from 2003 to 2010. His tenure as governor was marked by both economic initiatives and controversy, ultimately ending with his departure from office and a plea deal on misdemeanor campaign finance charges.","['University of Alabama, Bachelor of Science in Chemistry, 1964', 'University of Alabama School of Medicine, Doctor of Medicine, 1968']",1943-02-03,,"Columbiana, Alabama, United States",not found,male,no,yes,yes,no
Cecil M. Webb,Cecil M. Webb Highway,Multiple Counties,https://en.wikipedia.org/wiki/Fred_C._Babcock/Cecil_M._Webb_Wildlife_Management_Area,Found,"The provided content describes the Fred C. Babcock/Cecil M. Webb Wildlife Management Area, not a person, so no biographical details are available. This wildlife area is a protected natural region known for its diverse fauna and recreational opportunities. It serves as a habitat for various species and offers activities like hiking and wildlife observation. The area is named after Fred C. Babcock and Cecil M. Webb, though their personal biographies are not included in this content.",,,,not found,not found,not found,no,no,no,no
Charlie Miner,Charlie Miner Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Charlie_Gettig,Found,"Charlie Gettig was an American football player known for his contributions during the early 20th century. Born in 1889, he played as a guard for the University of Pennsylvania's football team from 1909 to 1911. Gettig was recognized for his athletic prowess and was later inducted into the College Football Hall of Fame in 1971. He passed away in 1967, leaving a legacy in collegiate sports history.",['University of Pennsylvania'],1889,1967,not found,not found,male,yes,no,no,no
Claude Pepper,Claude Pepper Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Claude_Pepper,Found,"Claude Pepper was an American politician born on September 8, 1900, and died on May 30, 1989. He served as a U.S. Senator from Florida (1936–1951) and later as a U.S. Representative (1963–1989), becoming a prominent advocate for the elderly and social welfare programs. Known for his liberal stance, Pepper championed civil rights, labor rights, and healthcare reforms during his extensive political career. His legacy includes shaping policies like Medicare and Social Security, earning him recognition as a key 20th-century progressive leader.","['University of Alabama, Bachelor of Arts', 'Harvard Law School, Law Degree']",1900-09-08,1989-05-30,"Dudleyville, Alabama, United States","Washington, D.C., United States",male,no,yes,yes,no
E. C. Rowell,E. C. Rowell Highway,Multiple Counties,https://en.wikipedia.org/wiki/E._C._Rowell,Found,"E. C. Rowell was an American figure whose biographical details are sparsely documented in available sources. Little is known about their birth or death dates, professional career, or notable achievements. The existing Wikipedia entry lacks substantial content, leaving their historical significance unclear. Without further information, their life and contributions remain largely undocumented.",,,,not found,not found,not found,no,no,no,no
Thomas W. Bryant,Thomas W. Bryant Highway,Multiple Counties,Not Found,Not Found,,,,,,,,,,,
Billy Bowlegs III,Billy Bowlegs III Bridge,Okeechobee,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,Found,"Billy Bowlegs III (1862–1965) was a prominent Seminole leader and the last hereditary chief of the Seminole Tribe of Florida. Born during a period of conflict and displacement for his people, he became a key figure in preserving Seminole culture and negotiating with the U.S. government. He served as a bridge between traditional Seminole ways and modern American society, advocating for tribal sovereignty and land rights. His legacy includes being honored as a cultural icon and a symbol of Seminole resilience during a transformative era in Native American history.",,1862,1965,"Florida, United States","Florida, United States",male,no,yes,yes,no
James A. Van Fleet,General James A. Van Fleet Bridge,Polk,https://en.wikipedia.org/wiki/James_A._Van_Fleet,Found,"James Alward Van Fleet was a United States Army general born on March 19, 1892, in Coytesville, New Jersey. He is best known for his leadership during World War II and the Korean War, commanding the U.S. Eighth Army in Korea from 1951 to 1953. Van Fleet played a pivotal role in stabilizing the front lines and rebuilding the South Korean military during the conflict. He passed away on September 23, 1992, in Polk City, Florida, leaving a legacy as one of America's most respected military leaders.","['United States Military Academy (West Point), Bachelor of Science, 1915', 'U.S. Army Command and General Staff College', 'Army War College']",1892-03-19,1992-09-23,"Coytesville, New Jersey, United States","Polk City, Florida, United States",male,yes,no,yes,no
George W. Harris,"George W. Harris, Jr. Boulevard",Polk,https://en.wikipedia.org/wiki/George_W._Harris,Found,"George W. Harris was a Union Army officer during the American Civil War, known for his leadership in key battles. Born in 1835, he rose to prominence as a colonel and later brigadier general in the 75th Indiana Infantry Regiment. Harris participated in major campaigns including the Siege of Vicksburg and the Atlanta Campaign, earning recognition for his tactical skills. He died in 1910, leaving a legacy as a respected military figure in 19th-century American history.",,1835,1910,not found,not found,male,no,no,yes,no
Heather Hurd,Heather Hurd Memorial Highway,Polk,Not Found,Not Found,,,,,,,,,,,
John L. Robinson,John L. Robinson Highway,Polk,https://en.wikipedia.org/wiki/John_L._Robinson,Found,"John L. Robinson was an American politician born in 1813. He served as a member of the U.S. House of Representatives from New York during the 19th century, representing the Whig Party. After his congressional career, he continued to be active in public life until his death in 1860. His political contributions were primarily focused on legislative matters during a transformative period in U.S. history.",,1813,1860,not found,not found,male,no,yes,no,no
L. H. Recker,L. H. Recker Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Lisle W. Smith,Lisle W. Smith Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Milton D. Wilson,Milton D. Wilson Highway,Polk,Not Found,Not Found,,,,,,,,,,,
W.S. Badcock,W.S. Badcock Boulevard,Polk,https://en.wikipedia.org/wiki/Badcock_Home_Furniture_%26more,Found,"Badcock Home Furniture &more is a privately held American furniture retail chain founded in 1904 by Henry S. Badcock in Mulberry, Florida. The company specializes in home furnishings, appliances, and electronics, operating over 380 stores across the southeastern United States. Known for its 'no credit needed' financing model, Badcock has grown into one of the largest family-owned furniture retailers in the region. The business remains under family ownership, now in its fifth generation, maintaining its original commitment to customer service and community engagement.",,,,not found,not found,not found,no,no,no,no
William P. Langdon,William P. Langdon Highway,Polk,https://en.wikipedia.org/wiki/William_Langdon,Found,"William Langdon was an American lawyer and judge known for his contributions to the legal system in New Hampshire. Born in the 18th century, he pursued a career in law and eventually served in judicial roles, including as a justice. His professional life was marked by his involvement in the legal and judicial frameworks of his time. While specific birth and death dates are not widely documented, his legacy remains tied to his judicial service and legal expertise.",,,,not found,not found,male,no,yes,no,no
William R. Van Fleet,William R. Van Fleet Highway,Polk,https://en.wikipedia.org/wiki/James_Van_Fleet,Found,"James Van Fleet was a prominent United States Army general born on March 19, 1892. He is best known for his leadership during World War II and the Korean War, where he commanded the U.S. Eighth Army and played a key role in turning the tide of the conflict. Van Fleet's military career spanned over four decades, earning him numerous accolades, including the Distinguished Service Cross and multiple Distinguished Service Medals. He passed away on September 23, 1992, leaving a legacy as one of America's most respected military leaders.","['United States Military Academy (West Point), Bachelor of Science', 'U.S. Army Command and General Staff College', 'Army War College']",1892-03-19,1992-09-23,"Coytesville, New Jersey, United States","Polk City, Florida, United States",male,yes,no,yes,no
George Kumpe,Colonel George Kumpe Bridge,Sarasota,Not Found,Not Found,,,,,,,,,,,
Gil Waters,Gil Waters Bridge,Sarasota,https://en.wikipedia.org/wiki/Roger_Waters,Found,"Roger Waters is an English musician, singer, and songwriter born on September 6, 1943, best known as a co-founder and primary lyricist of the legendary rock band Pink Floyd. He played a pivotal role in shaping the band’s progressive and concept-driven albums, including The Dark Side of the Moon, Wish You Were Here, and The Wall, which became iconic in rock history. After leaving Pink Floyd in 1985, Waters pursued a successful solo career, continuing to explore themes of war, politics, and human alienation in his music. His artistic influence extends beyond music into activism, with outspoken stances on political issues like human rights and anti-war movements.","['Regent Street Polytechnic (now University of Westminster)', 'Architecture studies (dropped out)']",1943-09-06,,"Great Bookham, Surrey, England",not found,male,no,yes,no,yes
Trooper Claude Baker,Trooper Claude Baker Memorial Highway,Sarasota,Not Found,Not Found,,,,,,,,,,,
Reverend Kenneth C. Crossman,Reverend Kenneth C. Crossman Bridge,Orange,Not Found,Not Found,,,,,,,,,,,
Sid Martin,Sid Martin Memorial Highway,Alachua,https://en.wikipedia.org/wiki/Sid_Vicious,Found,"Sid Vicious, born John Simon Ritchie on May 10, 1957, was an English musician best known as the bassist of the influential punk rock band the Sex Pistols. Rising to fame in the late 1970s, he became a controversial icon of the punk movement, known for his chaotic stage presence and tumultuous personal life. His career was cut short following his arrest for the murder of his girlfriend, Nancy Spungen, and his subsequent death from a heroin overdose on February 2, 1979. Vicious remains a symbol of punk rebellion and the darker side of rock 'n' roll excess, leaving a lasting but polarizing legacy in music history.",,1957-05-10,1979-02-02,"Lewisham, London, England","New York City, New York, United States",male,no,no,no,yes
Ben Rowe,Ben Rowe Highway,Baker,https://en.wikipedia.org/wiki/Holly_Rowe,Found,"Holly Rowe is an American sports broadcaster known for her extensive work covering college sports and the WNBA. Born in 1971, she has become a prominent sideline reporter for ESPN, contributing to coverage of NCAA basketball, volleyball, and softball. Rowe has earned recognition for her professionalism and dedication, including overcoming a melanoma diagnosis in 2015. Her career spans over two decades, making her one of the most respected female voices in sports media.",,1971,,"Salt Lake City, Utah, United States",not found,female,yes,no,no,no
Buddy Norman,Buddy Norman Highway,Bradford,https://en.wikipedia.org/wiki/Buddy_Holly,Found,"Buddy Holly was an American musician and singer-songwriter born on September 7, 1936, who became a pioneering figure in rock and roll during the late 1950s. Known for hits like 'Peggy Sue' and 'That'll Be the Day,' he revolutionized the genre with his innovative songwriting and energetic performances. Holly formed the band The Crickets and achieved international fame before his untimely death in a plane crash on February 3, 1959. His influence on popular music endures, inspiring countless artists and shaping the future of rock and roll.",,1936-09-07,1959-02-03,"Lubbock, Texas, United States","Clear Lake, Iowa, United States",male,no,no,no,yes
Elgin Bayless,Elgin Bayless Highway,Bradford,Not Found,Not Found,,,,,,,,,,,
Tom Chastain,Tom Chastain Highway,Bradford,https://en.wikipedia.org/wiki/Jessica_Chastain,Found,"Jessica Chastain is an American actress born on March 24, 1977, in Sacramento, California. She is renowned for her critically acclaimed performances in films like Zero Dark Thirty (2012), The Help (2011), and Molly’s Game (2017), earning multiple Academy Award nominations and a win for The Eyes of Tammy Faye (2021). Chastain graduated from the prestigious Juilliard School and began her career in theater before transitioning to Hollywood. Known for her versatility and advocacy for gender equality in the film industry, she remains one of the most respected actresses of her generation.","['El Camino High School', 'Bachelor of Fine Arts, Juilliard School']",1977-03-24,,"Sacramento, California, United States",not found,female,no,no,no,no
James C. Penney,James C. Penney Memorial Boulevard,Clay,https://en.wikipedia.org/wiki/James_C._Penney,Found,"James Cash Penney (1875–1971) was an American entrepreneur best known for founding the J.C. Penney department store chain in 1902. Born in Hamilton, Missouri, he built his retail empire on principles of fair pricing, customer service, and the 'Golden Rule' business philosophy. His stores became a staple of American shopping culture, expanding to over 1,600 locations by the time of his death. Penney's innovations in retail practices and employee profit-sharing programs left a lasting impact on the industry.","['Hamilton High School (Missouri)', 'Short business course at a local college (name unspecified)']",1875-09-16,1971-02-12,"Hamilton, Missouri, United States","New York City, New York, United States",male,no,no,no,no
James A. Brewer,James A. Brewer Highway,Columbia,https://en.wikipedia.org/wiki/James_Brewer,Found,"The provided Wikipedia content does not include any biographical details about James Brewer. No information regarding birth, death, profession, or notable achievements is available in the extracted text. The page appears to be a placeholder or redirect without substantive content. Without additional data, a meaningful summary cannot be constructed.",,,,not found,not found,not found,no,no,no,no
"Chad Allen Reed, Sr","Captain Chad Allen Reed, Sr., Memorial Highway",Dixie,Not Found,Not Found,,,,,,,,,,,
Joe H. Anderson,"Joe H. Anderson, Sr., Bridge",Dixie,https://en.wikipedia.org/wiki/Joe_Anderson_%28actor%29,Found,"Joe Anderson is an English actor born on March 26, 1982, known for his versatile roles in film and television. He gained recognition for his performances in Across the Universe (2007), The Ruins (2008), and Hannibal (2013–2015), showcasing his range in both dramatic and horror genres. Anderson also has a background in music, having performed in bands and incorporated his musical talents into some of his acting roles. His career spans over two decades, establishing him as a notable figure in British and international entertainment.","['Webber Douglas Academy of Dramatic Art', 'Drama Diploma']",1982-03-26,,"London, England, United Kingdom",not found,male,no,no,no,yes
Stephen Foster,Stephen Foster Bridge,Dixie,https://en.wikipedia.org/wiki/Stephen_Foster,Found,"Stephen Foster was an American songwriter born on July 4, 1826, widely regarded as the 'father of American music' for composing over 200 songs, including enduring classics like Oh! Susanna and Camptown Races. His works blended folk traditions with minstrel show influences, shaping early American popular music during the 19th century. Despite financial struggles and declining health, Foster’s melodies became foundational to American cultural identity, often called the first professional songwriter in the U.S. He died impoverished on January 13, 1864, at age 37, but his legacy persists through timeless compositions still performed today.",,1826-07-04,1864-01-13,"Lawrenceville, Pennsylvania, United States","New York City, New York, United States",male,no,no,no,yes
"U.S. Navy BMC Samuel Calhoun Chavous, Jr","U.S. Navy BMC Samuel Calhoun Chavous, Jr., Memorial Highway",Dixie,Not Found,Not Found,,,,,,,,,,,
Angela Webb Hammonds,Angela Webb Hammonds Boulevard,Duval,Not Found,Not Found,,,,,,,,,,,
Arthur N. Sollee,Arthur N. Sollee Bridge,Duval,Not Found,Not Found,,,,,,,,,,,
Bernard Wilkes,Bernard Wilkes Highway,Duval,https://en.wikipedia.org/wiki/John_Wilkes,Found,"John Wilkes (1725–1797) was an English radical, journalist, and politician known for his advocacy of civil liberties and press freedom. Born into a wealthy London family, he became a prominent figure in 18th-century British politics, challenging government corruption and defending the rights of voters. Wilkes gained fame through his outspoken newspaper The North Briton, which led to his arrest and eventual exile for libel against the Crown. His persistent activism, including the Middlesex election dispute, cemented his legacy as a champion of democratic reform and individual rights.","['Leiden University, Netherlands (studied but no degree confirmed)']",1725-10-17,1797-12-26,"London, England, United Kingdom","London, England, United Kingdom",male,no,yes,yes,no
C. D. Kinsey,C. D. Kinsey Street,Duval,Not Found,Not Found,,,,,,,,,,,
C. Ray Greene,C. Ray Greene Bridge,Duval,https://en.wikipedia.org/wiki/Ray_Greene_%28politician%29,Found,"Ray Greene was an American politician and businessman born on March 12, 1878. He served as a member of the Tennessee House of Representatives from 1911 to 1913, representing Greene County. Greene was also known for his involvement in local civic and business affairs, contributing to the development of his community. He passed away on October 22, 1954, leaving behind a legacy in Tennessee politics and commerce.",,1878-03-12,1954-10-22,"Greene County, Tennessee, United States",not found,male,no,yes,no,no
Charles E. Bennett,Charles E. Bennett Memorial Bridge,Duval,https://en.wikipedia.org/wiki/Charles_E._Bennett,Found,"The provided content does not include biographical details about Charles E. Bennett, as it primarily consists of Wikipedia navigation links and section headers. Without specific information, no summary of his birth/death dates, achievements, profession, or historical significance can be generated. The page appears to be a disambiguation or category page listing multiple individuals named Charles E. Bennett across various fields. Further research or direct access to the full article would be required for accurate details.",,,,not found,not found,not found,no,no,no,no
Ed Holt,Ed Holt Boulevard,Duval,https://en.wikipedia.org/wiki/Rod_Holt,Found,"Rod Holt (1926–2022) was an American electrical engineer best known for designing the switched-mode power supply for the original Apple II computer, a breakthrough that made personal computers more compact and energy-efficient. His innovative work at Apple in the late 1970s played a pivotal role in the company's early success and the broader personal computing revolution. Before joining Apple, Holt had a distinguished career in electronics, including contributions to Hewlett-Packard and Atari, where he developed power supply solutions for early arcade games. Though less publicly recognized than figures like Steve Jobs or Steve Wozniak, his technical expertise left a lasting impact on modern computing hardware design.","['University of Colorado Boulder, BS in Electrical Engineering', 'Stanford University, MS in Electrical Engineering']",1926,2022-09-09,not found,"Los Altos, California, United States",male,no,no,no,no
George Matthews,George Matthews Boulevard,Duval,https://en.wikipedia.org/wiki/George_Matthews,Found,George Matthews was a notable figure whose exact birth and death dates are not specified in the provided content. His profession and key achievements remain unclear due to insufficient biographical details. No historical significance or major contributions are documented in the available information. The lack of context makes it difficult to summarize his life comprehensively.,,,,not found,not found,not found,no,no,no,no
Hans G. Tanzler,"Hans G. Tanzler, Jr., Interstate",Duval,https://en.wikipedia.org/wiki/Hans_G._Tanzler,Found,"Hans Tanzler (1927–2013) was a German-American radiologist and politician who served as the mayor of Jacksonville, Florida, from 1967 to 1979. Known for consolidating the city and county governments into a unified system, he played a pivotal role in modernizing Jacksonville’s infrastructure and governance. Tanzler also gained notoriety for his controversial exhumation and preservation of his late wife’s body in the 1970s. His life blended medical expertise, political leadership, and a bizarre personal legacy that drew widespread attention.","['University of Georgia, Bachelor of Science', 'Medical College of Georgia, Doctor of Medicine (MD)']",1927-06-13,2013-06-15,"Jacksonville, Florida, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
Isaiah D. Hart,Isaiah D. Hart Bridge,Duval,https://en.wikipedia.org/wiki/Isaiah_D._Hart,Found,"Isaiah D. Hart was an American pioneer and founder of Jacksonville, Florida, born in 1809. He played a key role in establishing the city in 1822 by donating land for public use, including the original town plat. Hart was a prominent figure in early Florida settlement, contributing to the development of infrastructure and civic institutions. His legacy endures through Jacksonville's growth into a major urban center, though his death date remains undocumented in widely available sources.",,1809,,"New Hampshire, United States",not found,male,no,yes,no,no
James H. Argrett,"James H. Argrett, Sr., Avenue",Duval,Not Found,Not Found,,,,,,,,,,,
James Weldon Johnson,James Weldon Johnson Memorial Highway,Duval,https://en.wikipedia.org/wiki/James_Weldon_Johnson,Found,"James Weldon Johnson was an American writer, civil rights activist, and diplomat born on June 17, 1871. He is best known for composing the hymn Lift Every Voice and Sing, often called the Black National Anthem, and for his leadership in the NAACP during the early 20th century. Johnson also served as a U.S. consul in Venezuela and Nicaragua and was a key figure in the Harlem Renaissance as a poet and anthologist. He died on June 26, 1938, leaving a lasting legacy in literature, music, and the fight for racial equality.","['Atlanta University, BA, 1894', 'Columbia University (graduate studies)']",1871-06-17,1938-06-26,"Jacksonville, Florida, United States","Wiscasset, Maine, United States",male,no,yes,no,yes
Jim Deaton,Jim Deaton Memorial Bridge,Duval,https://en.wikipedia.org/wiki/Jim_Deaton,Found,"Jim Deaton was an American basketball coach best known for his tenure in collegiate athletics. He served as the head coach for the University of Arkansas at Little Rock (UALR) Trojans men's basketball team from 1985 to 1991, achieving notable success in the program's early years. Under his leadership, UALR transitioned to NCAA Division I and made its first appearance in the NCAA Tournament in 1986. Specific birth and death dates for Deaton are not widely documented in the provided content.",,,,not found,not found,male,yes,no,no,no
John T. Alsop,"John T. Alsop, Jr. Bridge",Duval,https://en.wikipedia.org/wiki/John_T._Alsop,Found,"John T. Alsop was an American politician and military officer born in 1724. He served as a delegate to the Continental Congress from New York during the American Revolutionary War. Alsop was also a member of the New York Provincial Congress and played a role in early American governance. He died in 1794, leaving a legacy in the formation of the United States.",,1724,1794,not found,not found,male,no,yes,yes,no
Lawrence Callahan,Lawrence Callahan Highway,Duval,https://en.wikipedia.org/wiki/Lawrence_Callahan,Found,Lawrence Kingsley Callahan was an American aviator born in 1890 who served as a pilot during World War I. He became notable for his aerial combat contributions and later achievements in aviation after the war. Callahan earned recognition through military honors and awards for his service and bravery. His legacy is tied to early 20th-century aviation history and military contributions during wartime.,,1890,,not found,not found,male,no,no,yes,no
Moses Baker,Moses Baker Boulevard,Duval,https://en.wikipedia.org/wiki/Moses_Baker,Found,"Moses Nelson Baker was an American physician and medical researcher born on December 12, 1919. He is best known for his pioneering work in endocrinology, particularly in thyroid and metabolic disorders, and his leadership at institutions like the New England Medical Center. Baker served as a professor at Tufts University School of Medicine and contributed significantly to clinical research and medical education. His career spanned several decades until his death on August 26, 2015, leaving a lasting impact on the field of medicine.","['Harvard Medical School, MD, 1944', 'Tufts University School of Medicine, Faculty/Professor', 'Boston University, Undergraduate (presumed)']",1919-12-12,2015-08-26,"Boston, Massachusetts, USA","Boston, Massachusetts, USA",male,no,no,yes,no
Napoleon Bonaparte Broward,Napoleon Bonaparte Broward Bridge,Duval,https://en.wikipedia.org/wiki/Napoleon_Bonaparte_Broward,Found,"Napoleon Bonaparte Broward was an American politician born on April 19, 1857, in Duval County, Florida. He served as the 19th Governor of Florida from 1905 to 1909, where he championed land drainage projects like the Everglades reclamation. Before his political career, he worked as a riverboat captain and sheriff, gaining local prominence. Broward died on October 1, 1910, leaving a legacy tied to Florida’s early 20th-century development.",,1857-04-19,1910-10-01,"Duval County, Florida, United States","Jacksonville, Florida, United States",male,no,yes,no,no
