name,wikipedia_url,Does_Sam_Think_is_real,match_confidence,original_designation,OBJECTID,status,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Father Felix Ullrich,https://en.wikipedia.org/wiki/Katie_Kitching,no,57.2,,,Found,TRUE,seq=8.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Katie Kitching is an English professional footballer known for her role as a left-back or winger. Born in the late 20th century, she has played for clubs in England’s top women’s leagues and represented England at youth international levels. Her career includes notable stints with teams like Durham Women FC and contributions to England’s U-19 and U-23 squads. Kitching is recognized for her technical skills, crossing ability, and versatility on the field.",,,,not found,not found,female,yes,no,no,no
John U. Lloyd,https://en.wikipedia.org/wiki/Eula_Johnson,no,57,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Eula Johnson was a civil rights activist best known for her leadership in the 1960s desegregation efforts in St. Augustine, Florida. Born in 1916, she played a pivotal role in organizing protests and sit-ins that contributed to the passage of the Civil Rights Act of 1964. As president of the local NAACP Youth Council, she mentored young activists and worked closely with figures like Dr. Martin Luther King Jr. Johnson's advocacy left a lasting legacy in the fight for racial equality, though her exact death date remains undocumented in widely available sources.",,1916-01-01,,"St. Augustine, Florida, United States",not found,female,no,yes,no,no
Bessie Coleman,https://en.wikipedia.org/wiki/Celestine_Sibley,no,57,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Celestine Sibley was an American journalist and author born on December 12, 1914. She gained prominence as a columnist for The Atlanta Constitution, where her work spanned over five decades and earned her widespread acclaim. Sibley also wrote mystery novels under the pseudonym 'Kate Mulcay' and received numerous awards for her contributions to literature and journalism. She passed away on August 14, 1999, leaving a lasting legacy in Southern writing and journalism.","['Agnes Scott College, BA in English']",1914-12-12,1999-08-14,"New Orleans, Louisiana, United States","Atlanta, Georgia, United States",female,no,no,no,no
Milton D. Wilson,https://en.wikipedia.org/wiki/John_P._Milton,no,57,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"John P. Milton was an American politician and military officer born in 1844. He served as a Confederate officer during the American Civil War and later became a prominent figure in Florida's political landscape. Milton held various public offices, including roles in the Florida Legislature and as a county judge. His legacy is tied to his military service and contributions to post-war Florida governance.",,1844-01-01,,not found,not found,male,no,yes,yes,no
Gil Waters,https://en.wikipedia.org/wiki/Nat_Glover,no,57,,,Found,TRUE,seq=8.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Nathaniel Glover Jr., commonly known as Nat Glover, was born on December 13, 1943, in Jacksonville, Florida. He is a retired law enforcement officer who made history as the first African American elected sheriff of Jacksonville, serving from 1995 to 2003. Glover also served as an FBI agent and later became president of Edward Waters University, a historically Black institution. His career reflects significant contributions to civil rights, law enforcement, and higher education in Florida.","['Edward Waters University, Bachelor of Science in Business Administration', 'University of North Florida, Master of Public Administration']",1943-12-13,,"Jacksonville, Florida, United States",not found,male,no,yes,no,no
Heather Hurd,https://en.wikipedia.org/wiki/Debbie_Wasserman_Schultz,no,56.8,,,Found,TRUE,seq=7.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"Debbie Wasserman Schultz is an American politician born on September 27, 1966, in Forest Hills, New York. She has served as a U.S. Representative for Florida's 23rd congressional district since 2005 and is a prominent member of the Democratic Party. Wasserman Schultz also chaired the Democratic National Committee (DNC) from 2011 to 2016, playing a key role in national party leadership. Known for her advocacy on issues like women's health and gun control, she remains an influential figure in U.S. politics today.","['University of Florida, B.A. in Political Science (1988)', 'University of Florida, M.A. in Political Science (1990)']",1966-09-27,,"Forest Hills, New York, United States",not found,female,no,yes,no,no
Jessie Trice,https://en.wikipedia.org/wiki/Lee_Roy_Selmon,no,56.7,,,Found,TRUE,seq=7.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Lee Roy Selmon was born on October 20, 1954, and became a legendary American football defensive end. He played college football at the University of Oklahoma, where he earned consensus All-American honors twice and won the Outland Trophy and Lombardi Award in 1975. Selmon was the first overall pick in the 1976 NFL Draft by the Tampa Bay Buccaneers, where he spent his entire nine-year professional career and was inducted into the Pro Football Hall of Fame in 1995. He passed away on September 4, 2011, leaving behind a legacy as one of the greatest defensive players in NFL history and a respected figure in the Tampa Bay community post-retirement.","['University of Oklahoma', ""Bachelor's degree in Education""]",1954-10-20,2011-09-04,"Eufaula, Oklahoma, United States","Tampa, Florida, United States",male,yes,no,no,no
Anna Maria Island,https://en.wikipedia.org/wiki/Johnny_Lattner,no,56.7,,,Found,TRUE,seq=7.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Johnny Lattner (1932–2016) was an American football halfback who won the Heisman Trophy in 1953 while playing for the University of Notre Dame. Known for his versatility and speed, he also earned All-American honors and played briefly in the NFL for the Pittsburgh Steelers and Chicago Cardinals. After his athletic career, Lattner entered politics, serving as a Republican in the Illinois House of Representatives from 1963 to 1975. He also served in the U.S. Air Force during the Korean War, adding to his legacy as a multi-faceted public figure.","['Fenwick High School', ""University of Notre Dame, Bachelor's Degree""]",1932-10-24,2016-02-12,"Chicago, Illinois, USA","Northbrook, Illinois, USA",male,yes,yes,yes,no
Jim Deaton,https://en.wikipedia.org/wiki/Dick_Slater,no,56.6,,,Found,TRUE,seq=7.6; last-mismatch:-4; human:+40; fl:+10; us:+5,"Dick Slater was an American professional wrestler born on May 19, 1951, in Tallahassee, Florida. Known for his rugged in-ring style and nickname 'Dirty Dick,' he achieved prominence in regional promotions like Championship Wrestling from Florida and Georgia Championship Wrestling during the 1970s and 1980s. Slater held multiple championships, including the NWA Florida Heavyweight and NWA Georgia Heavyweight titles, and later competed in Mid-Atlantic Championship Wrestling. He passed away on October 18, 2018, leaving a legacy as one of the toughest and most respected wrestlers of his era.",,1951-05-19,2018-10-18,"Tallahassee, Florida, United States","Tampa, Florida, United States",male,yes,no,no,no
Ed Holt,https://en.wikipedia.org/wiki/Ted_Bundy,no,56.5,,,Found,TRUE,seq=7.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Theodore Robert Bundy was an American serial killer born on November 24, 1946, who murdered at least 30 young women and girls during the 1970s. Known for his charisma and intelligence, Bundy exploited his charm to gain victims' trust before committing brutal crimes across multiple U.S. states. He was eventually captured in 1978, convicted of multiple homicides, and sentenced to death. Bundy was executed in Florida's electric chair on January 24, 1989, after a highly publicized legal battle that cemented his notoriety in criminal history.","['University of Puget Sound (1965–1966)', 'University of Washington (1966–1972, Psychology)', 'University of Utah Law School (1974, dropped out)']",1946-11-24,1989-01-24,"Burlington, Vermont, United States","Raiford, Florida, United States",male,no,yes,no,no
Ralph Sanchez,https://en.wikipedia.org/wiki/Jaime_S%C3%A1nchez_%28actor%29,no,56.3,,,Found,TRUE,seq=12.3; last-mismatch:-4; human:+40; fl:+10,"Jaime Sánchez was a Puerto Rican actor known for his extensive work in stage, film, and television. Born in 1938, he became a prominent figure in American theater, earning accolades such as a Tony Award nomination and an Obie Award for his performances. Sánchez appeared in notable productions like The Cuban Spring and Short Eyes, as well as films such as The Panic in Needle Park and Fame. He passed away in 2021, leaving behind a legacy as a trailblazer for Latino representation in the arts.",,1938-01-01,2021-01-01,"San Juan, Puerto Rico, USA",not found,male,no,no,no,no
Longboat Key,https://en.wikipedia.org/wiki/Lou_Bender,no,56.3,,,Found,TRUE,seq=7.3; last-mismatch:-4; human:+40; fl:+10; us:+5,"Lou Bender (1909–1996) was an American basketball pioneer known for his role in popularizing the sport during its early years. He played professionally in the 1930s and was a key figure in the rise of basketball as a major sport in the United States. After retiring from basketball, Bender pursued a successful career as a lawyer. His contributions to both sports and law left a lasting impact on American culture and athletics.","['Columbia Law School, Juris Doctor', ""Columbia University, Bachelor's degree""]",1909-01-01,1996-01-01,"New York City, New York, United States",not found,male,yes,no,no,no
Howard E. Futch,https://en.wikipedia.org/wiki/Charles_H._Bronson,no,56.3,,,Found,TRUE,seq=7.3; last-mismatch:-4; human:+40; fl:+10; us:+5,"Charles H. Bronson was an American politician born on November 24, 1935. He served as the Florida Commissioner of Agriculture from 2001 to 2011, making him the longest-serving commissioner in the state's history at the time. Prior to his political career, Bronson was involved in agriculture and business, contributing significantly to Florida's farming industry. He passed away on March 17, 2023, leaving a legacy in Florida’s agricultural and political landscape.",,1935-11-24,2023-03-17,not found,not found,male,no,yes,no,no
Reverend John A. Ferguson,https://en.wikipedia.org/wiki/George_W._Bush,no,56.2,,,Found,TRUE,seq=7.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"George W. Bush was born on July 6, 1946, in New Haven, Connecticut, USA, and is the 43rd President of the United States, serving from 2001 to 2009. A member of the Republican Party, he previously served as the 46th Governor of Texas from 1995 to 2000 and is known for his leadership during the September 11 attacks and the subsequent War on Terror. Before entering politics, he earned an MBA from Harvard Business School and worked in the oil industry, later co-owning the Texas Rangers baseball team. Bush remains a significant figure in modern American political history for his policies on national security, education reform, and tax cuts, as well as his controversial decisions like the Iraq War.","['Yale University, Bachelor of Arts in History (1968)', 'Harvard Business School, Master of Business Administration (1975)']",1946-07-06,,"New Haven, Connecticut, United States",not found,male,yes,yes,yes,no
Stanley G. Tate,https://en.wikipedia.org/wiki/George_Tucker_%28musician%29,no,56.1,,,Found,TRUE,seq=7.1; last-mismatch:-4; human:+40; fl:+10; us:+5,"George Tucker was an American jazz bassist born on June 14, 1927, in Birmingham, Alabama. He gained recognition as a sideman, collaborating with prominent jazz musicians throughout his career. Tucker contributed to numerous recordings, particularly in the 1950s and 1960s, establishing himself as a respected figure in the jazz scene. He passed away on August 10, 1965, leaving behind a legacy in the world of jazz music.",,1927-06-14,1965-08-10,"Birmingham, Alabama, United States",not found,male,no,no,no,yes
Tom Chastain,https://en.wikipedia.org/wiki/Rooney_Mara,no,56,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Rooney Mara is an American actress born on April 17, 1985, known for her critically acclaimed performances in film. She gained widespread recognition for her role as Lisbeth Salander in The Girl with the Dragon Tattoo (2011), earning nominations for an Academy Award and a Golden Globe. Mara has also starred in notable films like Carol (2015), Her (2013), and The Social Network (2010), establishing herself as a prominent figure in contemporary cinema. Beyond acting, she is recognized for her activism, particularly in animal rights and environmental causes.","['George Washington University, B.A. in Psychology and International Social Policy', 'Gallatin School of Individualized Study, New York University (transferred)']",1985-04-17,,"Bedford, New York, United States of America",not found,female,no,no,no,no
C. Ray Greene,https://en.wikipedia.org/wiki/Matt_Gaetz,no,56,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Matthew Louis Gaetz II was born on May 7, 1982, in Hollywood, Florida, USA. He is an American politician and attorney who has served as the U.S. Representative for Florida's 1st congressional district since 2017. Prior to his federal role, Gaetz was a member of the Florida House of Representatives from 2010 to 2016, where he gained attention for his conservative stances. Known for his alignment with former President Donald Trump and his vocal presence in media, Gaetz remains a prominent and often controversial figure in American politics.","['Florida State University, BS in Interdisciplinary Sciences (2003)', 'College of William & Mary, JD (2007)']",1982-05-07,,"Hollywood, Florida, United States",not found,male,no,yes,no,no
Cutler Bay,https://en.wikipedia.org/wiki/Jessica_Sutta,no,56,,,Found,TRUE,seq=7.0; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jessica Sutta is an American singer, dancer, and actress born on May 15, 1982, best known as a member of the pop girl group the Pussycat Dolls. She rose to fame in the early 2000s with hits like 'Don’t Cha' and 'Buttons,' contributing to the group’s global success and multiple awards. After the group’s hiatus, she pursued a solo career, releasing her debut album Feline Resurrection in 2017 and the EP I Say Yes in 2018. Sutta also reunited with the Pussycat Dolls in 2019 for performances and new music, while engaging in philanthropic work supporting animal rights and cancer research.",,1982-05-15,,"Miami, Florida, United States",not found,female,no,no,no,yes
Willis V. Rowan,https://en.wikipedia.org/wiki/John_Stuart_Williams,no,55.9,,,Found,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl:+10; us:+5,"John Stuart Williams was a prominent American politician and military officer born on July 10, 1818. He served as a Confederate brigadier general during the American Civil War, commanding cavalry forces in Kentucky and Tennessee. After the war, Williams transitioned into politics, representing Kentucky in the U.S. Senate from 1879 until his death in 1898. His career spanned military leadership, law, and legislative service, leaving a lasting impact on postbellum Southern politics.","['Transylvania University, Law', 'Studied under Judge George Robertson']",1818-07-10,1898-07-17,"Mount Sterling, Kentucky, United States","Mount Sterling, Kentucky, United States",male,no,yes,yes,no
Lawrence Callahan,https://en.wikipedia.org/wiki/Colleen_Farrington,no,55.9,,,Found,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl:+10; us:+5,"Colleen Farrington was an American professional wrestler active during the mid-20th century. Known for her athleticism in women's wrestling, she competed in a male-dominated sport during its early promotional years. Farrington was part of a pioneering generation of female wrestlers who helped establish the sport's popularity. Her career contributed to breaking gender barriers in professional wrestling during the 1940s and 1950s.",,,,not found,not found,female,yes,no,no,no
St. Petersburg/William C. Cramer,https://en.wikipedia.org/wiki/Courtney_W._Campbell,no,55.9,,,Found,TRUE,seq=6.9; last-mismatch:-4; human:+40; fl:+10; us:+5,"Courtney W. Campbell (1895–1971) was an American lawyer, politician, and military veteran best known for his service in World War I and his contributions to Florida's infrastructure. He practiced law in Tampa and later became a prominent political figure, serving in the U.S. Congress from 1953 to 1955. Campbell is particularly remembered for championing the construction of the Courtney Campbell Causeway, a major roadway connecting Tampa and Clearwater. His career spanned legal, military, and political fields, leaving a lasting impact on Florida's development.",,1895-01-01,1971-01-01,not found,not found,male,no,yes,yes,no
Guillermo Zamora,https://en.wikipedia.org/wiki/Gonzalo_S%C3%A1nchez_de_Lozada,no,55.8,,,Found,TRUE,seq=6.8; last-mismatch:-4; human:+40; fl:+10; us:+5,"Gonzalo Sánchez de Lozada is a Bolivian politician and businessman born on July 1, 1930. He served as the President of Bolivia for two non-consecutive terms, first from 1993 to 1997 and again from 2002 to 2003, during which he implemented controversial economic reforms, including the 'capitalization program' that privatized state-owned enterprises. His second presidency ended abruptly amid widespread protests known as the 'Gas War,' leading to his resignation and subsequent exile in the United States. Sánchez de Lozada remains a polarizing figure in Bolivian history, recognized for his economic policies but also criticized for his handling of social unrest and human rights concerns.",,1930-07-01,,"La Paz, Bolivia",not found,male,no,yes,no,no
Robert M. Levy,https://en.wikipedia.org/wiki/David_Levy_Yulee,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"David Levy Yulee was born on June 12, 1810, and died on October 10, 1886. He was a prominent American politician and businessman, serving as the first Jewish member of the United States Senate after Florida’s admission to the Union in 1845. Yulee played a key role in Florida’s development, advocating for railroad expansion and economic growth while also supporting the Confederacy during the Civil War. His political career spanned both state and federal levels, leaving a lasting legacy in Florida’s early history as a U.S. state.","['Norwich Military Academy (now Norwich University), Northfield, Vermont', 'Studied law (informal apprenticeship, no degree specified)']",1810-06-12,1886-10-10,"St. Thomas, Danish West Indies (now U.S. Virgin Islands)","New York City, New York, USA",male,no,yes,yes,no
Belen Presidents,https://en.wikipedia.org/wiki/Carlos_Pr%C3%ADo_Socarr%C3%A1s,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Carlos Prío Socarrás was a Cuban politician born on July 14, 1903, who served as the President of Cuba from 1948 to 1952. Known for his progressive reforms, he implemented policies to improve education, labor rights, and social welfare during his presidency. His administration was marked by economic growth but also faced allegations of corruption and political instability. Prío died in exile in Miami, Florida, on April 5, 1977, following the Cuban Revolution that ousted his government.","['University of Havana', 'Doctor of Civil Law and Public Law']",1903-07-14,1977-04-05,"Bahía Honda, Pinar del Río, Cuba","Miami, Florida, United States",male,no,yes,no,no
Coach Jermaine D. Hall,https://en.wikipedia.org/wiki/Charlie_Strong,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Charlie Strong is an American football coach born on August 2, 1960, known for his extensive career in collegiate and professional coaching. He served as head coach for multiple NCAA Division I programs, including Louisville, Texas, and South Florida, achieving notable success at Louisville with back-to-back BCS bowl victories. Strong also held assistant coaching positions at prominent programs like Florida and South Carolina before briefly coaching in the NFL with the Jacksonville Jaguars. His career highlights include developing top defensive units and mentoring players who later succeeded in the NFL.","['University of Central Arkansas', ""Bachelor's Degree in Physical Education"", 'University of Florida', ""Master's Degree in Education""]",1960-08-02,,"Batesville, Arkansas, United States",not found,male,yes,no,no,no
Army Sergeant Daniel L. McCall,https://en.wikipedia.org/wiki/George_Meade,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"George Meade was a United States Army officer and civil engineer born on December 31, 1815, in Cádiz, Spain. He is best known for commanding the Union Army of the Potomac during the American Civil War, particularly for his decisive victory at the Battle of Gettysburg in 1863. Meade served in the Topographical Corps and fought in the Mexican-American War before rising to prominence during the Civil War. He died on November 6, 1872, in Philadelphia, Pennsylvania, leaving a legacy as one of the Union's most capable military leaders.","['United States Military Academy, West Point, New York - Bachelor of Science (1835)']",1815-12-31,1872-11-06,"Cádiz, Spain","Philadelphia, Pennsylvania, United States",male,no,no,yes,no
Carlin White,https://en.wikipedia.org/wiki/Barbara_Bush,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Barbara Bush was born on June 8, 1925, and passed away on April 17, 2018. She served as the First Lady of the United States from 1989 to 1993 during her husband George H. W. Bush's presidency, becoming known for her advocacy in literacy and family values. Prior to that, she was the Second Lady from 1981 to 1989 while her husband served as Vice President under Ronald Reagan. Barbara Bush remains a notable figure in American political history for her philanthropic work and influential role in national campaigns for education and social causes.","['Ashley Hall School (boarding school), Charleston, South Carolina', 'Smith College (attended but did not graduate)']",1925-06-08,2018-04-17,"New York City, New York, United States","Houston, Texas, United States",female,no,yes,no,no
Willard Ayres,https://en.wikipedia.org/wiki/Ellis_Spear,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Ellis Spear was born on April 8, 1834, in Warren, Maine, and became a prominent Union officer during the American Civil War. He served as a colonel in the 20th Maine Volunteer Infantry Regiment, playing a key role in the Battle of Gettysburg, particularly in the defense of Little Round Top. After the war, Spear pursued a career in law and later became involved in politics, serving as a U.S. Pension Agent. He died on November 14, 1917, leaving behind a legacy as a respected military leader and public servant.","['Bowdoin College', 'Bachelor of Arts']",1834-04-08,1917-11-14,"Warren, Maine, United States","Bangor, Maine, United States",male,no,yes,yes,no
Marilyn Culp,https://en.wikipedia.org/wiki/Barbara_Bush,no,55.7,,,Found,TRUE,seq=6.7; last-mismatch:-4; human:+40; fl:+10; us:+5,"Barbara Pierce Bush was born on June 8, 1925, and passed away on April 17, 2018. She was the wife of George H. W. Bush, the 41st U.S. President, and mother of George W. Bush, the 43rd U.S. President, making her one of only two women in U.S. history to be both the wife and mother of presidents. Known for her advocacy in literacy, she founded the Barbara Bush Foundation for Family Literacy and championed numerous charitable causes. Her influence extended beyond politics, as she became a beloved public figure for her wit, warmth, and dedication to social issues during her decades in the public eye.","['Ashley Hall School (boarding school)', 'Smith College (attended but did not graduate)']",1925-06-08,2018-04-17,"New York City, New York, United States","Houston, Texas, United States",female,no,yes,no,no
Brittan Alexander,https://en.wikipedia.org/wiki/Michelle_Akers,no,55.5,,,Found,TRUE,seq=6.5; last-mismatch:-4; human:+40; fl:+10; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Paul S. Buchman,https://en.wikipedia.org/wiki/Michael_Mizrachi,no,55.5,,,Found,TRUE,seq=6.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Michael Mizrachi, commonly known as 'The Grinder,' is a professional poker player born on January 5, 1981. He is best known for his success in high-stakes tournaments, including winning three World Series of Poker (WSOP) bracelets and a World Poker Tour (WPT) title. Mizrachi has earned over $18 million in live tournament winnings, establishing himself as one of the most accomplished players in poker history. His expertise spans both live and online poker, with notable achievements in cash games and major tournament series.",,1981-01-05,,"North Miami Beach, Florida, United States",not found,male,yes,no,no,no
Warren Alvarez,https://en.wikipedia.org/wiki/Brian_Kelly_%28American_football_coach%29,no,55.4,,,Found,TRUE,seq=6.4; last-mismatch:-4; human:+40; fl:+10; us:+5,"Brian Kelly is an American football coach born on October 25, 1961, known for his successful collegiate coaching career. He gained prominence as the head coach of Grand Valley State, Central Michigan, Cincinnati, Notre Dame, and LSU, winning multiple conference championships and a national title at LSU in 2019. Kelly is recognized for his offensive strategies and player development, earning accolades like the AP Coach of the Year in 2012. As of 2024, he remains active in coaching, continuing to influence college football with his leadership and tactical expertise.","[""Assumption College (now Assumption University), Bachelor's in Political Science"", ""University of Massachusetts Amherst, Master's in Education""]",1961-10-25,,"Everett, Massachusetts, United States",not found,male,yes,no,no,no
Hays Lewis,https://en.wikipedia.org/wiki/Jeffrey_Epstein,no,55.4,,,Found,TRUE,seq=6.4; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jeffrey Epstein was born on January 20, 1953, in Brooklyn, New York, and died on August 10, 2019, while in federal custody. He was a financier and convicted sex offender known for his wealth, high-profile social connections, and involvement in a widespread sex trafficking ring. Epstein began his career as a teacher before transitioning to finance at Bear Stearns, eventually founding his own firm, J. Epstein & Co. His case gained global notoriety due to allegations of abuse involving minors and associations with prominent political, business, and entertainment figures.","['Cooper Union (dropped out)', 'Courant Institute of Mathematical Sciences, New York University (no degree)']",1953-01-20,2019-08-10,"Brooklyn, New York, United States","New York City, New York, United States",male,no,yes,no,no
Hinely Parker,https://en.wikipedia.org/wiki/Kirstie_Alley,no,55.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Kirstie Alley was an American actress born on January 12, 1951, best known for her Emmy Award-winning role as Rebecca Howe on the NBC sitcom Cheers (1987–1993). She also starred in films like Look Who's Talking (1989) and its sequels, as well as the Scream Queens TV series, earning a Golden Globe for her comedic performances. Alley was a prominent advocate for Scientology and openly discussed her struggles with body image and weight loss throughout her career. She passed away on December 5, 2022, after a brief battle with colon cancer, leaving behind a legacy as a beloved comedic and dramatic actress in Hollywood.","['Kansas State University', 'no degree (attended for two years)']",1951-01-12,2022-12-05,"Wichita, Kansas, United States","Tampa, Florida, United States",female,no,yes,no,no
Verna Bell,https://en.wikipedia.org/wiki/Ernest_Hemingway,no,55.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Ernest Hemingway was an American novelist, short-story writer, and journalist born on July 21, 1899. He is renowned for works like The Old Man and the Sea, A Farewell to Arms, and The Sun Also Rises, which cemented his reputation as a key figure in 20th-century literature. A Nobel Prize winner in Literature (1954), Hemingway's minimalist prose and adventurous life—including service in World War I and coverage of the Spanish Civil War—defined his legacy. He died by suicide on July 2, 1961, in Ketchum, Idaho, after a long struggle with health issues and depression.","['Oak Park and River Forest High School, Illinois', 'No college degree (briefly attended The Kansas City Star as a reporter)']",1899-07-21,1961-07-02,"Oak Park, Illinois, United States","Ketchum, Idaho, United States",male,yes,no,yes,no
Trooper Charles Eugene Campbell,https://en.wikipedia.org/wiki/Benjamin_Crump,no,55.2,,553,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Benjamin Crump is an American civil rights attorney born on October 10, 1969, known for representing victims of police brutality and racial injustice. He gained national prominence for his role in high-profile cases, including those of Trayvon Martin, Michael Brown, and George Floyd, advocating for systemic change. Crump founded his own law firm, Ben Crump Law, and has become a leading voice in the fight for racial equality and police accountability. His work has significantly impacted civil rights litigation and public awareness of social justice issues in the United States.","['Florida State University, Bachelor of Science (Criminal Justice)', 'Florida State University College of Law, Juris Doctor']",1969-10-10,,"Lumberton, North Carolina, United States",not found,male,no,yes,no,no
P. J. Langford,https://en.wikipedia.org/wiki/Betty_Castor,no,55.2,,,Found,TRUE,seq=6.2; last-mismatch:-4; human:+40; fl:+10; us:+5,"Elizabeth 'Betty' Castor was born on May 20, 1941, in Glassboro, New Jersey, and is an American educator and politician. She served as the President of the University of South Florida from 1994 to 1999, becoming the first woman to hold that position. Castor was also the Democratic nominee for the U.S. Senate in Florida during the 2004 election, though she ultimately lost the race. Her career has been marked by significant contributions to education and public service, including roles in state government and higher education leadership.","['Emory University, Bachelor of Arts', 'University of Miami, Master of Arts in Education']",1941-05-20,,"Glassboro, New Jersey, United States",not found,female,no,yes,no,no
Trooper Richard Howell,https://en.wikipedia.org/wiki/John_Kasich,no,55.1,,63,Found,TRUE,seq=6.1; last-mismatch:-4; human:+40; fl:+10; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Ernesto Montaner,https://en.wikipedia.org/wiki/Fulgencio_Batista,no,55.1,,,Found,TRUE,seq=6.1; last-mismatch:-4; human:+40; fl:+10; us:+5,"Fulgencio Batista was a Cuban military officer and politician born on January 16, 1901, who served as the elected President of Cuba from 1940 to 1944. He later ruled as a de facto military dictator from 1952 until his overthrow in the Cuban Revolution on January 1, 1959. Known for his authoritarian regime, Batista played a pivotal role in shaping Cuba's political landscape during the mid-20th century. He died in exile in Marbella, Spain, on August 6, 1973.","['National Academy (Cuba) - stenography training', 'Self-taught military education']",1901-01-16,1973-08-06,"Banes, Oriente Province, Cuba","Marbella, Andalusia, Spain",male,no,yes,yes,no
Wilbur Barry,https://en.wikipedia.org/wiki/Jeffrey_Epstein,no,55,,,Found,TRUE,seq=1.5; last-mismatch:-4; human:+40; fl:+10; us:+5,"Jeffrey Epstein was born on January 20, 1953, in Brooklyn, New York, USA, and died on August 10, 2019, in Manhattan, New York. He was a financier and convicted sex offender known for his wealth, high-profile social connections, and involvement in a widespread sex trafficking ring. Epstein began his career as a teacher before transitioning to finance at Bear Stearns, eventually founding his own firm, J. Epstein & Co. His case gained global notoriety due to allegations involving minors, his mysterious death in custody, and ties to influential figures in politics, business, and academia.","['Cooper Union (dropped out)', 'Courant Institute of Mathematical Sciences, New York University (no degree)']",1953-01-20,2019-08-10,"Brooklyn, New York, United States","Manhattan, New York, United States",male,no,yes,no,no
Trooper Luther P. Daniel,https://en.wikipedia.org/wiki/LeRoy_Collins,no,55,,52,Found,TRUE,seq=5.4; last-mismatch:-4; human:+40; fl:+10; us:+5,"LeRoy Collins was an American politician born on March 10, 1909, who served as the 33rd Governor of Florida from 1955 to 1961. Known for his progressive stance on civil rights during a racially turbulent era, he delivered a notable 1960 speech advocating for racial equality and desegregation. Collins also held roles in the U.S. Navy during World War II and later became a prominent figure in Florida’s political landscape. He passed away on March 12, 1991, leaving a legacy as a reformist leader in Southern politics.","['University of Florida', 'Bachelor of Arts (1931)', 'Cumberland School of Law, Samford University', 'Law Degree (1932)']",1909-03-10,1991-03-12,"Tallahassee, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Jorge P. Castano,https://en.wikipedia.org/wiki/Adri%C3%A1n_Gonz%C3%A1lez,no,55,,,Found,TRUE,seq=2.6; last-mismatch:-4; human:+40; fl:+10; us:+5,"Adrián González is a Mexican-American former professional baseball first baseman born on May 8, 1982. He played 15 seasons in Major League Baseball (MLB) for teams including the Florida Marlins, Texas Rangers, San Diego Padres, Boston Red Sox, Los Angeles Dodgers, and New York Mets. Known for his powerful left-handed hitting, he earned five All-Star selections and four Gold Glove Awards during his career. González retired in 2018 after a distinguished career that included over 2,000 hits and 300 home runs.",,1982-05-08,,"San Diego, California, United States",not found,male,yes,no,no,no
