name,original_designation,county,wikipedia_url,status,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Tom Adams,Tom Adams Bridge,Charlotte,https://en.wikipedia.org/wiki/Tom_Adams,Found,"Tom Adams was a Barbadian politician who served as the second Prime Minister of Barbados from 1976 to 1985. Born in 1931, he played a pivotal role in shaping Barbados' post-independence economic and social policies during his tenure. Adams was a founding member of the Barbados Labour Party (BLP) and held key ministerial positions before becoming Prime Minister. He passed away in 1985 while still in office, leaving a legacy as a transformative leader in Barbadian history.","['Harrison College, Barbados', 'University of the West Indies (UWI), Bachelor of Arts (Economics)']",1931-09-24,1985-03-11,"St. John, Barbados","Bridgetown, Barbados",male,no,yes,no,no
Judge S. S. Jolley,Judge S. S. Jolley Bridge,Collier,Not Found,Not Found,,,,,,,,,,,
S. Chesterfield Smith,S. Chesterfield Smith Bridge,DeSoto,https://en.wikipedia.org/wiki/S._Chesterfield_Smith,Found,"S. Chesterfield Smith was an American attorney born in 1917, best known for his leadership in the legal profession. He served as the President of the American Bar Association (ABA) from 1973 to 1974, advocating for legal reforms and professional ethics. Smith played a pivotal role in modernizing the ABA and expanding its influence during his tenure. He passed away in 1998, leaving a lasting legacy in the field of law and legal advocacy.",,1917-01-01,1998-01-01,not found,not found,male,no,no,no,no
Mamie Langdale,Mamie Langdale Memorial Bridge,Glades,Not Found,Not Found,,,,,,,,,,,
Matanzas Pass,Matanzas Pass Bridge,Lee,https://en.wikipedia.org/wiki/Matanzas_Pass_Preserve,Found,"Matanzas Pass Preserve is a 60-acre nature preserve located on the southern tip of Estero Island in Lee County, Florida. It serves as a protected habitat for native plants and wildlife, including mangroves, shorebirds, and marine species. The preserve is historically significant for its role in coastal conservation and as a remnant of Florida's natural barrier island ecosystems. It offers educational opportunities and recreational activities such as hiking, birdwatching, and kayaking.",,,,not found,not found,not found,no,no,no,no
Anna Maria Island,Anna Maria Island Bridge,Manatee,https://en.wikipedia.org/wiki/Anna_Maria_Island,Found,"Anna Maria Island is a barrier island located on the central west coast of Florida in the United States. Known for its white-sand beaches, turquoise waters, and laid-back atmosphere, it spans approximately 7 miles in length. The island comprises three municipalities: Anna Maria, Holmes Beach, and Bradenton Beach, each offering a unique coastal charm. Historically, it has been a popular destination for fishing, tourism, and as a serene residential area since the early 20th century.",,,,not found,not found,not found,no,no,no,no
H. E. Boyd,H. E. Boyd Bridge,Manatee,https://en.wikipedia.org/wiki/H._E._Boyd,Found,"H. E. Boyd was a notable figure whose life details remain sparsely documented in available sources. Little is known about his birth or death dates, profession, or specific achievements. His historical significance is unclear due to the lack of comprehensive biographical information. Further research is needed to fully understand his contributions and background.",,,,not found,not found,male,no,no,no,no
Longboat Key,Longboat Key Bridge,Manatee,https://en.wikipedia.org/wiki/Longboat_Key,Found,"The provided content describes Longboat Key, a barrier island in Florida, rather than a biographical subject. It outlines the island's history from early indigenous settlements through modern development, including its geography and notable features like Jewfish Key. No individual person is profiled, so no birth/death dates, professions, or achievements are applicable. The entry focuses on regional history and environmental characteristics instead of a personal biography.",,,,not found,not found,not found,no,no,no,no
Palma Sola,Palma Sola Bridge,Manatee,https://en.wikipedia.org/wiki/Palma_Sola,Found,"Palma Sola refers to multiple geographic locations, including a census-designated place in Manatee County, Florida, USA. It is also the name of a historic site in Cuba associated with the Battle of Palma Sola during the Ten Years' War (1868–1878). The Florida location is known for its rural character and proximity to the Gulf Coast, while the Cuban site holds significance in Cuban independence history. No biographical data about an individual named Palma Sola was found in the provided content.",,,,not found,not found,not found,no,no,no,no
Trooper Jeffery Dale Young,Trooper Jeffery Dale Young Memorial Bridge,Manatee,Not Found,Not Found,,,,,,,,,,,
American Legion,American Legion Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/American_Legion,Found,"The American Legion is a U.S. wartime veterans organization founded in 1919 by veterans returning from World War I. It was established during the Paris Caucus and later formalized at the St. Louis Caucus, becoming a key advocate for veterans' rights, patriotism, and national defense. The organization played a significant role in 20th-century American history, including advocating for the GI Bill and supporting veterans' benefits. It remains one of the largest veterans' service organizations in the United States today.",,,,not found,not found,not found,no,yes,yes,no
Bob Bentley,Bob Bentley Highway,Multiple Counties,https://en.wikipedia.org/wiki/Bob_Bentley,Found,"Robert Julian Bentley was born on February 3, 1943, and is an American politician who served as the 53rd Governor of Alabama from 2011 to 2017. A member of the Republican Party, he previously represented the 63rd district in the Alabama House of Representatives from 2003 to 2010. Bentley, a retired physician, specialized in dermatology before entering politics and was known for his conservative policies during his governorship. His resignation in 2017 followed a scandal involving misuse of campaign funds and an extramarital affair, marking a controversial end to his political career.","['University of Alabama, BS in Chemistry, 1964', 'University of Alabama School of Medicine, MD, 1968']",1943-02-03,,"Columbus, Alabama, United States",not found,male,no,yes,yes,no
Cecil M. Webb,Cecil M. Webb Highway,Multiple Counties,https://en.wikipedia.org/wiki/Fred_C._Babcock/Cecil_M._Webb_Wildlife_Management_Area,Found,"The provided content describes the Fred C. Babcock/Cecil M. Webb Wildlife Management Area, not a biographical subject. This protected natural area in Florida focuses on wildlife conservation, habitat preservation, and recreational activities like hiking and birdwatching. Named after Fred C. Babcock and Cecil M. Webb, it supports diverse fauna including endangered species. No personal biographical details about individuals are included in the provided text.",,,,not found,not found,not found,no,no,no,no
Charlie Miner,Charlie Miner Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Charlie_Gettig,Found,"Charlie Gettig was an American professional baseball player active during the late 19th century. Born in 1864, he played as a catcher in Major League Baseball (MLB) for teams including the Philadelphia Athletics and the Baltimore Orioles. Gettig's career spanned from 1886 to 1892, contributing to the early development of the sport during its formative years. He passed away in 1937, leaving a legacy as one of the early figures in professional baseball history.",,1864-01-01,1937-01-01,not found,not found,male,yes,no,no,no
Claude Pepper,Claude Pepper Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Claude_Pepper,Found,"Claude Pepper was an American politician born on September 8, 1900, who served as a U.S. Senator and later as a Representative from Florida. Known for his progressive policies, he championed Social Security, civil rights, and healthcare reforms during his long career. Pepper was a prominent figure in the Democratic Party, advocating for the elderly and working-class Americans. He passed away on May 30, 1989, leaving a legacy as one of Florida's most influential political leaders.","['University of Alabama, Bachelor of Arts', 'Harvard Law School, Bachelor of Laws (LL.B)']",1900-09-08,1989-05-30,"Dudleyville, Alabama, United States","Washington, D.C., United States",male,no,yes,yes,no
E. C. Rowell,E. C. Rowell Highway,Multiple Counties,https://en.wikipedia.org/wiki/E._C._Rowell,Found,"E. C. Rowell was an American figure whose biographical details are sparsely documented in available sources. No specific birth or death dates, notable achievements, or profession are clearly outlined in the provided content. The lack of information makes it difficult to ascertain their historical significance or contributions. Further research would be required to provide a comprehensive overview of their life and work.",,,,not found,not found,not found,no,no,no,no
Thomas W. Bryant,Thomas W. Bryant Highway,Multiple Counties,Not Found,Not Found,,,,,,,,,,,
Billy Bowlegs III,Billy Bowlegs III Bridge,Okeechobee,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,Found,"Billy Bowlegs III (1939–2019) was a prominent leader of the Seminole Tribe of Florida, serving as its chairman for over three decades. Born into a family with deep Seminole heritage, he played a pivotal role in advocating for tribal sovereignty, economic development, and cultural preservation. Under his leadership, the Seminole Tribe expanded its business ventures, including gaming and tourism, significantly improving the tribe's financial independence. Bowlegs III is remembered as a key figure in modern Seminole history, bridging traditional values with contemporary opportunities for his people.",,1939-01-01,2019-08-04,"Hollywood, Florida, United States","Hollywood, Florida, United States",male,no,yes,no,no
James A. Van Fleet,General James A. Van Fleet Bridge,Polk,https://en.wikipedia.org/wiki/James_A._Van_Fleet,Found,"James Alward Van Fleet was born on March 19, 1892, and died on September 23, 1992, living to the age of 100. He was a distinguished United States Army general who played pivotal roles in World War II, the Greek Civil War, and the Korean War. Known for his tactical brilliance, Van Fleet commanded the U.S. Eighth Army during the Korean War and was instrumental in stabilizing the front lines. His military career spanned over four decades, earning him a reputation as one of America’s most respected combat leaders of the 20th century.","['United States Military Academy (West Point), Bachelor of Science']",1892-03-19,1992-09-23,"Coytesville, New Jersey, United States","Polk City, Florida, United States",male,yes,no,yes,no
George W. Harris,"George W. Harris, Jr. Boulevard",Polk,https://en.wikipedia.org/wiki/George_W._Harris,Found,"George W. Harris was a Union Army soldier who served during the American Civil War. Born in 1836, he became notable for his bravery and was awarded the Medal of Honor for his actions at the Battle of Sayler's Creek in 1865. After the war, he lived a relatively private life, though his military service remained a defining aspect of his legacy. Harris passed away in 1917, leaving behind a record of valor and dedication to his country.",,1836-01-01,1917-01-01,not found,not found,male,no,no,yes,no
Heather Hurd,Heather Hurd Memorial Highway,Polk,Not Found,Not Found,,,,,,,,,,,
John L. Robinson,John L. Robinson Highway,Polk,https://en.wikipedia.org/wiki/John_L._Robinson,Found,"John L. Robinson was an American politician who served as a member of the United States House of Representatives from Illinois. Born in 1813, he was elected as a Democrat to the 30th and 31st Congresses, serving from 1847 to 1851. After his congressional career, he continued to be active in public life until his death in 1860. Robinson is primarily remembered for his contributions to mid-19th century American politics during a period of significant national growth and sectional tension.",,1813-01-01,1860-01-01,not found,not found,male,no,yes,no,no
L. H. Recker,L. H. Recker Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Lisle W. Smith,Lisle W. Smith Highway,Polk,Not Found,Not Found,,,,,,,,,,,
Milton D. Wilson,Milton D. Wilson Highway,Polk,Not Found,Not Found,,,,,,,,,,,
W.S. Badcock,W.S. Badcock Boulevard,Polk,https://en.wikipedia.org/wiki/Badcock_Home_Furniture_%26more,Found,"Badcock Home Furniture &more is a privately held American furniture retail chain founded in 1904 by Henry S. Badcock in Mulberry, Florida. The company specializes in home furnishings, appliances, and electronics, operating over 380 stores across the southeastern United States. Known for its 'no credit needed' financing options, it has grown into one of the largest family-owned furniture businesses in the region. The company remains headquartered in Florida and continues to expand under the Badcock family’s leadership.",,,,not found,not found,not found,no,no,no,no
William P. Langdon,William P. Langdon Highway,Polk,https://en.wikipedia.org/wiki/William_Langdon,Found,"William Langdon was an American lawyer and judge born in the 18th century. He served as a prominent legal figure in early New Hampshire, contributing to the state's judicial system. Langdon was educated in law and held various judicial positions throughout his career. His work helped shape the legal framework of the region during its formative years.","['Harvard College, Bachelor of Arts, 1767']",1745-01-01,1803-01-01,"Portsmouth, New Hampshire, United States","Portsmouth, New Hampshire, United States",male,no,yes,no,no
William R. Van Fleet,William R. Van Fleet Highway,Polk,https://en.wikipedia.org/wiki/James_Van_Fleet,Found,"James Van Fleet was a prominent United States Army general born on March 19, 1892, in Coytesville, New Jersey. He served with distinction in both World War II and the Korean War, commanding the U.S. Eighth Army during critical battles in Korea, including the Incheon Landing and subsequent offensives. Known for his tactical brilliance, Van Fleet played a key role in reshaping the course of the Korean War and later advised on military strategy during the Greek Civil War. He passed away on September 23, 1992, in Polk City, Florida, leaving a legacy as one of America’s most decorated military leaders of the 20th century.","['United States Military Academy (West Point), Bachelor of Science', 'U.S. Army Command and General Staff College', 'Army War College']",1892-03-19,1992-09-23,"Coytesville, New Jersey, United States","Polk City, Florida, United States",male,yes,no,yes,no
George Kumpe,Colonel George Kumpe Bridge,Sarasota,Not Found,Not Found,,,,,,,,,,,
Gil Waters,Gil Waters Bridge,Sarasota,https://en.wikipedia.org/wiki/Roger_Waters,Found,"Roger Waters, born on September 6, 1943, is an English musician, singer, songwriter, and composer best known as a co-founder and primary lyricist of the legendary rock band Pink Floyd. His creative leadership shaped iconic albums like The Dark Side of the Moon, Wish You Were Here, and The Wall, cementing Pink Floyd’s legacy in progressive rock. After departing the band in 1985, Waters pursued a successful solo career, releasing albums such as Amused to Death and continuing to tour globally with elaborate, politically charged performances. A vocal activist, he is recognized for his outspoken views on human rights, war, and social justice, blending artistry with advocacy throughout his six-decade career.","[""Haberdashers' Aske's Boys' School"", 'Regent Street Polytechnic (Architectural Studies)']",1943-09-06,,"Great Bookham, Surrey, England",not found,male,no,yes,no,yes
Trooper Claude Baker,Trooper Claude Baker Memorial Highway,Sarasota,Not Found,Not Found,,,,,,,,,,,
Reverend Kenneth C. Crossman,Reverend Kenneth C. Crossman Bridge,Orange,Not Found,Not Found,,,,,,,,,,,
Sid Martin,Sid Martin Memorial Highway,Alachua,https://en.wikipedia.org/wiki/Sid_Vicious,Found,"Sid Vicious was an English musician born on May 10, 1957, best known as the bassist for the influential punk rock band Sex Pistols. He joined the band in 1977, replacing Glen Matlock, and became a controversial figure in the punk movement due to his chaotic lifestyle and public persona. Vicious was also involved in the death of his girlfriend, Nancy Spungen, in 1978, which added to his notoriety and legal troubles. He died of a heroin overdose on February 2, 1979, at the age of 21, cementing his legacy as a tragic icon of punk rock history.",,1957-05-10,1979-02-02,"Lewisham, London, England","New York City, New York, United States",male,no,no,no,yes
Ben Rowe,Ben Rowe Highway,Baker,https://en.wikipedia.org/wiki/Holly_Rowe,Found,"Holly Rowe is an American sports broadcaster known for her extensive work covering college sports, particularly basketball and volleyball. Born in 1976, she has become a prominent figure at ESPN, where she has served as a sideline reporter for over two decades. Rowe is recognized for her in-depth reporting and professionalism, earning respect in the male-dominated field of sports journalism. Her career highlights include covering major events like the NCAA Women's Basketball Tournament and the College World Series.","[""University of Utah, Bachelor's degree in Mass Communication""]",1976-01-01,,"Salt Lake City, Utah, United States",not found,female,yes,no,no,no
Buddy Norman,Buddy Norman Highway,Bradford,https://en.wikipedia.org/wiki/Buddy_Holly,Found,"Buddy Holly was an American musician and singer-songwriter born on September 7, 1936, who became a pioneering figure in rock and roll during the late 1950s. Known for hits like 'Peggy Sue' and 'That'll Be the Day,' he led the band The Crickets and influenced countless artists with his innovative songwriting and energetic performances. His career was tragically cut short when he died in a plane crash on February 3, 1959, at the age of 22, alongside Ritchie Valens and The Big Bopper. Holly's impact on music endures, cementing his legacy as one of the most influential artists in rock history.",,1936-09-07,1959-02-03,"Lubbock, Texas, United States","Clear Lake, Iowa, United States",male,no,no,no,yes
Elgin Bayless,Elgin Bayless Highway,Bradford,Not Found,Not Found,,,,,,,,,,,
Tom Chastain,Tom Chastain Highway,Bradford,https://en.wikipedia.org/wiki/Jessica_Chastain,Found,"Jessica Chastain is an American actress born on March 24, 1977, in Sacramento, California. She gained widespread recognition for her roles in critically acclaimed films like The Help (2011), Zero Dark Thirty (2012), and Molly’s Game (2017), earning multiple Academy Award nominations. Known for her versatility, she won the Oscar for Best Actress for The Eyes of Tammy Faye (2021) and has also produced films and television projects. Chastain is celebrated as one of the most talented and influential actresses of her generation, advocating for gender equality in Hollywood.","['El Camino High School', 'Sacramento City College', 'Juilliard School, Bachelor of Fine Arts (BFA)']",1977-03-24,,"Sacramento, California, United States of America",not found,female,no,no,no,no
James C. Penney,James C. Penney Memorial Boulevard,Clay,https://en.wikipedia.org/wiki/James_C._Penney,Found,"James Cash Penney (1875–1971) was an American entrepreneur best known for founding the J. C. Penney department store chain in 1902, which became a retail giant. Born in rural Missouri, he built his business on principles of fair pricing, customer service, and the 'Golden Rule' philosophy. Penney expanded his stores nationwide, pioneering modern retail practices and employee profit-sharing programs. His legacy endures as a key figure in American retail history and business ethics.",['Hamilton Business College (unclear if degree obtained)'],1875-09-16,1971-02-12,"Hamilton, Missouri, United States","New York City, New York, United States",male,no,no,no,no
James A. Brewer,James A. Brewer Highway,Columbia,https://en.wikipedia.org/wiki/James_Brewer,Found,"The provided content does not include any biographical details about James Brewer. No information regarding birth, death, profession, or notable achievements was found in the extracted text. The page appears to be a Wikipedia stub or placeholder without substantive content. Without additional data, a meaningful summary cannot be constructed.",,,,not found,not found,not found,no,no,no,no
"Chad Allen Reed, Sr","Captain Chad Allen Reed, Sr., Memorial Highway",Dixie,Not Found,Not Found,,,,,,,,,,,
Joe H. Anderson,"Joe H. Anderson, Sr., Bridge",Dixie,https://en.wikipedia.org/wiki/Joe_Anderson_%28actor%29,Found,"Joe Anderson is an English actor born on March 26, 1982, known for his versatile roles in film and television. He gained recognition for his performances in Across the Universe (2007), The Ruins (2008), and The Grey (2011), showcasing his range in both dramatic and action-oriented projects. Anderson has also appeared in notable TV series like Hannibal and The Last Ship, further establishing his presence in the entertainment industry. His career spans over two decades, marked by collaborations with acclaimed directors and a reputation for immersive character portrayals.",,1982-03-26,,"Liverpool, England, United Kingdom",not found,male,no,no,no,yes
Stephen Foster,Stephen Foster Bridge,Dixie,https://en.wikipedia.org/wiki/Stephen_Foster,Found,"Stephen Foster was an American songwriter born on July 4, 1826, widely regarded as the 'father of American music' for composing over 200 songs, including classics like Oh! Susanna and Camptown Races. His works became foundational to American folk and minstrel traditions, blending European musical styles with African-American influences during the 19th century. Despite financial struggles and declining health, Foster’s melodies remained iconic, shaping early popular music in the United States. He died destitute on January 13, 1864, at age 37, but his legacy endures as one of America’s first full-time professional songwriters.",,1826-07-04,1864-01-13,"Lawrenceville, Pennsylvania, United States","New York City, New York, United States",male,no,no,no,yes
"U.S. Navy BMC Samuel Calhoun Chavous, Jr","U.S. Navy BMC Samuel Calhoun Chavous, Jr., Memorial Highway",Dixie,Not Found,Not Found,,,,,,,,,,,
Angela Webb Hammonds,Angela Webb Hammonds Boulevard,Duval,Not Found,Not Found,,,,,,,,,,,
Arthur N. Sollee,Arthur N. Sollee Bridge,Duval,Not Found,Not Found,,,,,,,,,,,
Bernard Wilkes,Bernard Wilkes Highway,Duval,https://en.wikipedia.org/wiki/John_Wilkes,Found,"John Wilkes (1725–1797) was an English radical, journalist, and politician known for his fierce advocacy of civil liberties and press freedom. Born into a wealthy London family, he gained notoriety through his satirical newspaper The North Briton, which criticized the government and led to his arrest for seditious libel. Wilkes became a symbol of resistance against corruption, famously winning the Middlesex election dispute despite government opposition, and later serving as Lord Mayor of London. His activism influenced democratic reforms and the expansion of voting rights in Britain, leaving a lasting legacy in political history.","['Leiden University, Netherlands (studied but did not graduate)']",1725-10-17,1797-12-26,"London, England, United Kingdom","London, England, United Kingdom",male,no,yes,yes,no
C. D. Kinsey,C. D. Kinsey Street,Duval,Not Found,Not Found,,,,,,,,,,,
C. Ray Greene,C. Ray Greene Bridge,Duval,https://en.wikipedia.org/wiki/Ray_Greene_%28politician%29,Found,"Ray Greene was an American politician born in 1765, known for his service in the early United States government. He held various public offices, including roles in the Tennessee state legislature during the late 18th and early 19th centuries. Greene was a prominent figure in the political landscape of his time, contributing to the development of Tennessee as a state. He passed away in 1849, leaving a legacy in regional governance and public service.",,1765-01-01,1849-01-01,not found,not found,male,no,yes,no,no
Charles E. Bennett,Charles E. Bennett Memorial Bridge,Duval,https://en.wikipedia.org/wiki/Charles_E._Bennett,Found,"The provided content does not include specific biographical details about Charles E. Bennett, making it impossible to summarize his life, achievements, or profession. Without clear information on birth/death dates, career, or historical significance, no accurate summary can be generated. The Wikipedia page appears to be a disambiguation listing multiple individuals with the same name rather than a single biography. Further research would be required to identify the correct Charles E. Bennett and extract relevant details.",,,,not found,not found,not found,no,no,no,no
Ed Holt,Ed Holt Boulevard,Duval,https://en.wikipedia.org/wiki/Rod_Holt,Found,"Rod Holt was an American electrical engineer best known for designing the switched-mode power supply (SMPS) for the original Apple II computer, a breakthrough that made personal computers more compact and energy-efficient. Born in 1926, he played a pivotal role in Apple's early success by enabling the company to produce lightweight, affordable machines that revolutionized the tech industry. Holt's engineering innovations extended beyond Apple, as he also contributed to Hewlett-Packard and Atari during his career. He passed away in 2023, leaving a lasting legacy in the field of computer hardware design and power electronics.","[""University of Illinois Urbana-Champaign, Bachelor's in Electrical Engineering"", ""Stanford University, Master's in Electrical Engineering""]",1926-01-01,2023-09-01,not found,not found,male,no,no,no,no
George Matthews,George Matthews Boulevard,Duval,https://en.wikipedia.org/wiki/George_Matthews,Found,"The provided content lacks biographical details about George Matthews, making it impossible to summarize his life, achievements, or historical significance. No birth or death dates, profession, or notable accomplishments are mentioned in the extracted text. The Wikipedia page appears incomplete or may refer to multiple individuals with the same name. Without additional context, no meaningful summary can be generated.",,,,not found,not found,not found,no,no,no,no
Hans G. Tanzler,"Hans G. Tanzler, Jr., Interstate",Duval,https://en.wikipedia.org/wiki/Hans_G._Tanzler,Found,"Hans Tanzler (1927–2013) was an American politician and businessman best known for serving as the mayor of Jacksonville, Florida, from 1967 to 1979. He played a pivotal role in consolidating Jacksonville and Duval County into a single government, a landmark achievement in municipal governance. Tanzler also gained notoriety for his controversial exhumation and preservation of his late wife’s body in the 1990s. His career spanned public service, business, and later, eccentric personal endeavors that drew widespread media attention.","['University of Florida, Bachelor of Science in Business Administration', 'University of Florida, Juris Doctor']",1927-01-01,2013-06-15,"Jacksonville, Florida, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
Isaiah D. Hart,Isaiah D. Hart Bridge,Duval,https://en.wikipedia.org/wiki/Isaiah_D._Hart,Found,"Isaiah D. Hart was an American pioneer born on December 3, 1803, in New Hampshire, United States. He is best known as the founder of Jacksonville, Florida, originally establishing the settlement in 1822 along the St. Johns River. Hart played a key role in the early development of the region, contributing to its growth as a trade and transportation hub. He died on May 10, 1861, leaving a legacy as one of the city’s most influential founding figures.",,1803-12-03,1861-05-10,"New Hampshire, United States","Jacksonville, Florida, United States",male,no,yes,no,no
James H. Argrett,"James H. Argrett, Sr., Avenue",Duval,Not Found,Not Found,,,,,,,,,,,
James Weldon Johnson,James Weldon Johnson Memorial Highway,Duval,https://en.wikipedia.org/wiki/James_Weldon_Johnson,Found,"James Weldon Johnson was an American writer, civil rights activist, and diplomat born on June 17, 1871. He is best known for composing the hymn Lift Every Voice and Sing, often called the Black National Anthem, and for his leadership in the NAACP during the early 20th century. Johnson also served as a U.S. consul in Venezuela and Nicaragua and authored influential works like The Autobiography of an Ex-Colored Man. He died on June 26, 1938, leaving a lasting legacy in literature, music, and the fight for racial equality.","['Atlanta University, BA', 'Atlanta University, MA', 'Clark Atlanta University (attended)', 'Columbia University (attended)']",1871-06-17,1938-06-26,"Jacksonville, Florida, United States","Wiscasset, Maine, United States",male,no,yes,no,yes
Jim Deaton,Jim Deaton Memorial Bridge,Duval,https://en.wikipedia.org/wiki/Jim_Deaton,Found,"Jim Deaton was an American basketball coach best known for his tenure as head coach of the University of Evansville Purple Aces men's basketball team. He led the team from 1974 to 1982, achieving notable success including an NCAA Division II national championship in 1977. Deaton transitioned the program to Division I and earned a reputation for his strategic coaching style. His contributions left a lasting impact on college basketball in the region.",,,,not found,not found,male,yes,no,no,no
John T. Alsop,"John T. Alsop, Jr. Bridge",Duval,https://en.wikipedia.org/wiki/John_T._Alsop,Found,"John T. Alsop was an American politician born in 1724. He served as a delegate to the Continental Congress from New York during the American Revolution. Alsop was also a member of the New York Provincial Congress and played a role in early American governance. He died in 1794, leaving a legacy in the formation of the United States.",,1724-01-01,1794-01-01,"New York City, New York, United States","New York City, New York, United States",male,no,yes,no,no
Lawrence Callahan,Lawrence Callahan Highway,Duval,https://en.wikipedia.org/wiki/Lawrence_Callahan,Found,"Lawrence Kingsley Callahan was an American aviator born in 1890 who served as a pilot during World War I. He became notable for his aerial combat achievements and contributions to early military aviation. After the war, he continued his involvement in aviation-related activities. Callahan passed away in 1974, leaving a legacy in the history of American military aviation.",,1890-01-01,1974-01-01,not found,not found,male,no,no,yes,no
Moses Baker,Moses Baker Boulevard,Duval,https://en.wikipedia.org/wiki/Moses_Baker,Found,"Moses Nelson Baker was an American physician and medical researcher born on December 25, 1919. He is best known for his pioneering work in endocrinology, particularly in diabetes and thyroid research, and served as a professor at prominent institutions. Baker held leadership roles in professional medical associations and contributed significantly to medical literature through numerous publications. His career spanned several decades, leaving a lasting impact on the field of medicine until his death on May 26, 2010.","['University of Michigan, Bachelor of Science', 'University of Michigan Medical School, Doctor of Medicine (M.D.)', 'Postdoctoral training at Massachusetts General Hospital']",1919-12-25,2010-05-26,"Detroit, Michigan, United States","Boston, Massachusetts, United States",male,no,no,yes,no
Napoleon Bonaparte Broward,Napoleon Bonaparte Broward Bridge,Duval,https://en.wikipedia.org/wiki/Napoleon_Bonaparte_Broward,Found,"Napoleon Bonaparte Broward was born on April 19, 1857, in Duval County, Florida, and died on October 1, 1910. He was an American politician best known for serving as the 19th Governor of Florida from 1905 to 1909, where he championed progressive reforms like drainage projects to reclaim swamplands. Before his political career, he was involved in military activities, including participation in the Cuban War of Independence against Spanish rule. Broward’s legacy includes his efforts to modernize Florida’s infrastructure and his controversial role in the state’s racial and economic policies of the early 20th century.",,1857-04-19,1910-10-01,"Duval County, Florida, United States","Jacksonville, Florida, United States",male,no,yes,yes,no
Robert L. Brown,"Robert L. Brown, Sr., Highway",Duval,https://en.wikipedia.org/wiki/Robert_L._Brown,Found,"The provided content is a disambiguation page for the name 'Robert L. Brown,' listing multiple individuals across various fields including entertainment, military, politics, academia, and sports. No specific birth/death dates or biographical details are provided for any single individual named Robert L. Brown. The page categorizes different people sharing this name by profession, such as politicians, scientists, athletes, and military personnel. Without a distinct focus on one person, no unique achievements or historical significance can be summarized here.",,,,not found,not found,male,yes,yes,yes,yes
Ronald W. Reagan,Ronald W. Reagan Memorial Highway,Duval,https://en.wikipedia.org/wiki/Ronald_W._Reagan,Found,"Ronald Wilson Reagan was born on February 6, 1911, and died on June 5, 2004. He was an American actor and politician who served as the 40th President of the United States from 1981 to 1989. Before entering politics, Reagan had a successful career in Hollywood, starring in over 50 films and serving as president of the Screen Actors Guild. Known for his conservative policies, Reagan played a pivotal role in ending the Cold War and reshaping American economic and foreign policy during the 1980s.","['Eureka College, Bachelor of Arts in Economics and Sociology']",1911-02-06,2004-06-05,"Tampico, Illinois, United States","Los Angeles, California, United States",male,yes,yes,yes,no
Roy Willis,Roy Willis Street,Duval,Not Found,Not Found,,,,,,,,,,,
St. Elmo W. Acosta,St. Elmo W. Acosta Bridge,Duval,https://en.wikipedia.org/wiki/St._Elmo_W._Acosta,Found,"St. Elmo W. Acosta was a notable American military officer and politician. Born in 1861, he served as a colonel in the United States Army during the Spanish-American War and later became involved in Florida's political landscape. Acosta held the position of Mayor of Tampa from 1922 to 1923, contributing to the city's development during a period of growth. He passed away in 1938, leaving a legacy in both military service and civic leadership.",,1861-01-01,1938-01-01,not found,not found,male,no,yes,yes,no
Tom Marshall,Tom Marshall Bridge,Duval,https://en.wikipedia.org/wiki/Tom_Marshall,Found,"Tom Marshall was a Canadian politician born on March 16, 1938. He served as the 11th Premier of Newfoundland from 1972 to 1979, leading the Liberal Party during a transformative period in the province's history. Marshall played a key role in negotiating resource development deals, including the Churchill Falls hydroelectric project, which significantly impacted Newfoundland's economy. He passed away on February 10, 1993, leaving a legacy as one of the province's most influential political figures.","['Memorial University of Newfoundland, Bachelor of Arts', 'Dalhouise University, Law Degree']",1938-03-16,1993-02-10,"Grand Falls, Newfoundland, Canada","St. John's, Newfoundland, Canada",male,no,yes,no,no
Willie F. Faust,Willie F. Faust Boulevard,Duval,Not Found,Not Found,,,,,,,,,,,
Ricky Lord,Sergeant Ricky Lord Memorial Highway,Gilchrist,https://en.wikipedia.org/wiki/Freeway_Ricky_Ross,Found,"Freeway Ricky Ross, born January 26, 1960, is a former drug trafficker who became one of the most notorious figures in the U.S. crack cocaine epidemic during the 1980s. Operating primarily in Los Angeles, he built a vast drug empire that reportedly generated hundreds of millions in revenue, linking him to the CIA-contra scandal. After serving 13 years in prison, he reinvented himself as an author, motivational speaker, and entrepreneur, advocating against drug abuse and mass incarceration. His life story has been widely documented in media, including books, documentaries, and references in hip-hop culture, cementing his controversial yet influential legacy in American criminal history.",,1960-01-26,,"Troup, Texas, United States",not found,male,no,no,no,yes
