name,original_designation,county,wikipedia_url,status,match_confidence,validated,validation_notes,summary,education,dob,dod,place_of_birth,place_of_death,gender,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music
Ronald A. Silver,Ronald A. Silver Drive,Miami‐Dade,https://en.wikipedia.org/wiki/Ron_Silver_%28politician%29,Found,26.4,true,seq=15.4; fl:+10; county-miss:-8; us:+5,"Ron Silver was an American politician known for his contributions in local governance. Born in 1946, he served as a member of the New York State Assembly from 1997 to 2004, representing the 139th district. Silver was a member of the Republican Party and focused on issues such as education and economic development during his tenure. He passed away in 2021, leaving behind a legacy of public service and community engagement.",,1946-01-01,2021-01-01,not found,not found,male,no,yes,no,no
Georgia Ayers,Georgia Ayers Way,Miami‐Dade,https://en.wikipedia.org/wiki/Jeremy_Ayers,Found,43.8,true,seq=12.8; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Jeremy Ayers was an American writer and musician born in 1956, best known for his involvement in the Athens, Georgia music scene. He was a close friend and collaborator of artists like R.E.M. and The B-52's, contributing to the cultural landscape of the 1980s and 1990s. Ayers authored books and articles, often focusing on music, art, and Southern culture. He passed away in 2016, leaving behind a legacy as a chronicler of the alternative music movement.",,1956-01-01,2016-01-01,not found,"Athens, Georgia, United States",male,no,no,no,yes
Phares Duverne,Phares Duverne Highway,Miami‐Dade,https://en.wikipedia.org/wiki/2001_Haitian_coup_attempt,Found,0.0,true,seq=3.1; last-mismatch:-4; fl-miss:-10; county-miss:-8,"The 2001 Haitian coup attempt was a failed effort to overthrow President Jean-Bertrand Aristide on December 17, 2001. Armed attackers stormed the National Palace in Port-au-Prince, resulting in clashes with security forces and multiple fatalities. The event heightened political instability in Haiti and drew international condemnation, particularly for subsequent attacks on journalists. It marked a critical moment in Haiti's turbulent early 21st-century political history.",,,,not found,not found,not found,no,yes,yes,no
Carl Mertes,Sergeant Carl Mertes Street,Miami‐Dade,https://en.wikipedia.org/wiki/Konrad_Adenauer,Found,42.2,true,seq=6.2; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"Konrad Adenauer was a German statesman born on January 5, 1876, who served as the first Chancellor of West Germany from 1949 to 1963. Known for his leadership during the post-World War II reconstruction, he played a pivotal role in rebuilding Germany's economy and democracy while fostering strong ties with Western allies. A member of the Christian Democratic Union (CDU), Adenauer also held key positions earlier in his career, including Mayor of Cologne from 1917 to 1933. He passed away on April 19, 1967, leaving a legacy as one of Germany’s most influential political figures of the 20th century.","['University of Freiburg', 'University of Munich', 'University of Bonn (Doctor of Law, 1904)']",1876-01-05,1967-04-19,"Cologne, North Rhine-Westphalia, Germany","Rhöndorf, North Rhine-Westphalia, Germany",male,no,yes,yes,no
Stanley G. Tate,Stanley G. Tate Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Randy_Shannon,Found,3.1,true,seq=7.1; last-mismatch:-4; fl:+10; county-miss:-8,"Randy Shannon is an American football coach and former linebacker born on February 24, 1966. He played college football at the University of Miami, where he earned All-American honors and won a national championship in 1987. Shannon later transitioned into coaching, serving as an assistant at multiple programs before becoming the head coach of the Miami Hurricanes from 2007 to 2010. Known for his defensive expertise, he has remained influential in college football through various coaching roles, including stints at Florida, TCU, and UCF.","[""University of Miami, Bachelor's degree (likely in a related field)""]",1966-02-24,,"Miami, Florida, United States",not found,male,yes,no,no,no
Jacob Fleishman,Jacob Fleishman Street,Miami‐Dade,https://en.wikipedia.org/wiki/Josh_Radnor,Found,30.2,true,seq=9.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Miami Springs,Miami Springs Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Lomas_Brown,Found,49.3,true,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Lomas Brown is a former American football offensive tackle born on March 30, 1963, in Miami, Florida. He played college football at the University of Florida, where he earned All-American honors before being selected sixth overall in the 1985 NFL Draft. During his 18-season NFL career (1985–2002), he played primarily for the Detroit Lions, earning seven Pro Bowl selections and establishing himself as one of the league’s top offensive linemen. After retiring, Brown transitioned to broadcasting and sports analysis, becoming a respected NFL commentator and analyst for networks like ESPN and the NFL Network.","['University of Florida', 'All-American (Football)']",1963-03-30,,"Miami, Florida, United States",not found,male,yes,no,no,no
Guillermo Zamora,Guillermo Zamora Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Gonzalo_S%C3%A1nchez_de_Lozada,Found,47.8,true,seq=6.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Gonzalo Sánchez de Lozada is a Bolivian politician and businessman born on July 1, 1930. He served as the President of Bolivia for two non-consecutive terms, first from 1993 to 1997 and again from 2002 to 2003. His first term was marked by economic reforms, including a controversial 'capitalization' program privatizing state-owned enterprises. Sánchez de Lozada resigned in 2003 amid widespread protests known as the 'Gas War,' which led to significant political unrest in Bolivia.",,1930-07-01,,"La Paz, Bolivia",not found,male,no,yes,no,no
Rene Ledesma,Rene Ledesma Way,Miami‐Dade,https://en.wikipedia.org/wiki/RJ_Ledesma,Found,42.0,true,seq=16.4; human:+40; fl-miss:-10; county-miss:-8,"RJ Ledesma is a Filipino media personality, entrepreneur, and writer known for his work in television, film, and business. Born in the Philippines, he gained prominence as a host and actor in various Philippine entertainment programs. Ledesma has also authored books and ventured into entrepreneurship, founding several businesses. His career spans multiple industries, making him a notable figure in Philippine pop culture.",,,,not found,not found,male,no,no,no,no
U.S. Army Sergeant Amaru Aguilar‐Borgen,"U.S. Army Sergeant Amaru Aguilar‐Borgen Memorial Highway
",Miami‐Dade,Not Found,Not Found,0.0,false,no-candidates,,,,,,,,,,,
Larcenia Bullard,Larcenia Bullard Way,Miami‐Dade,https://en.wikipedia.org/wiki/Larcenia_Bullard,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Larcenia Bullard was an American politician known for her service in the Florida Legislature. Born in 1947, she became the first African-American woman to represent Miami-Dade County in the Florida House of Representatives, serving from 2002 to 2012. Bullard was recognized for her advocacy in education, healthcare, and social justice reform. She passed away in 2023, leaving a legacy as a trailblazer in Florida politics.",,1947-01-01,2023-01-01,not found,not found,female,no,yes,no,no
Reverend John A. Ferguson,Reverend John A. Ferguson Street,Miami‐Dade,https://en.wikipedia.org/wiki/James_E._Ferguson,Found,12.4,true,seq=11.4; rel:+15; fl-miss:-10; county-miss:-8,"James E. Ferguson was born on August 31, 1871, and died on September 21, 1944. He served as the 26th Governor of Texas for two non-consecutive terms, first from 1915 to 1917 and later from 1925 to 1927, making him a prominent figure in Texas political history. Known for his populist policies and controversial tenure, Ferguson was impeached and removed from office during his first term due to charges of misapplication of public funds. Despite his impeachment, he remained influential in Texas politics, even running for U.S. President in 1920 and later serving as 'First Gentleman' when his wife, Miriam A. Ferguson, became governor.","['University of Texas School of Law, no degree', 'Salado College, preparatory education']",1871-08-31,1944-09-21,"Salado, Texas, United States","Austin, Texas, United States",male,no,yes,no,no
Robert M. Levy,Robert M. Levy Memorial Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Rosewood_massacre,Found,8.7,true,seq=7.7; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"The Rosewood massacre was a violent, racially motivated attack on the predominantly African American town of Rosewood, Florida, in January 1923. Triggered by a false accusation of assault against a white woman, white mobs destroyed the town, killing at least six Black residents and displacing hundreds. The event remained largely unacknowledged for decades until survivors and descendants sought justice in the 1990s. It is now recognized as a pivotal example of racial violence and systemic injustice in early 20th-century America.",,,,not found,"Rosewood, Florida, United States",not found,no,no,no,no
Lourdes Guzman‐DeJeus,Lourdes Guzman‐DeJeus Street,Miami‐Dade,https://en.wikipedia.org/wiki/Battle_of_the_Brains_%28Philippine_game_show%29,Found,0.0,true,seq=3.9; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40,"The provided content describes Battle of the Brains, a Philippine game show, rather than a biographical subject. No individual person is profiled, so no birth, death, or personal achievements are available. The show features academic competitions hosted by various presenters, emphasizing intellectual challenges. It holds cultural significance as a long-running educational television program in the Philippines.",,,,not found,not found,not found,no,no,no,no
Herman Echevarria,Herman Echevarria Way,Miami‐Dade,https://en.wikipedia.org/wiki/Satchel_Paige,Found,24.0,true,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,"Satchel Paige was a legendary American baseball pitcher born around July 7, 1906, and died on June 8, 1982. Known for his extraordinary fastball and longevity in the sport, he became one of the most celebrated pitchers in the Negro leagues before breaking racial barriers in Major League Baseball (MLB) in 1948. Paige's career spanned over four decades, earning him induction into the Baseball Hall of Fame in 1971 as the first Negro leagues player to receive this honor. His contributions reshaped the perception of Black athletes in professional sports and left an enduring legacy in baseball history.","['Industrial School for Negro Children (Mount Meigs, Alabama)']",1906-07-07,1982-06-08,"Mobile, Alabama, United States","Kansas City, Missouri, United States",male,yes,no,no,no
Belen Presidents,Belen Presidents Way,Miami‐Dade,https://en.wikipedia.org/wiki/Carlos_Pr%C3%ADo_Socarr%C3%A1s,Found,47.7,true,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Carlos Prío Socarrás was a Cuban politician who served as the President of Cuba from 1948 to 1952. Born on July 14, 1903, he was a key figure in the Partido Auténtico and played a significant role in Cuban politics during the mid-20th century. His presidency was marked by efforts to modernize Cuba, though it was also plagued by corruption and political instability. He died in exile in Miami, Florida, on April 5, 1977, following the Cuban Revolution that ousted his government.","['University of Havana, Law Degree']",1903-07-14,1977-04-05,"Bahía Honda, Pinar del Río, Cuba","Miami, Florida, United States",male,no,yes,no,no
Betty Pino,Betty Pino Way,Miami‐Dade,https://en.wikipedia.org/wiki/Betty_Pino,Found,42.0,true,seq=20.0; human:+40; fl-miss:-10; county-miss:-8,"Betty Pino was a notable figure whose life details are sparsely documented in available sources. She is primarily recognized in historical records for her death, which occurred in 1979 under tragic circumstances linked to the Jonestown mass suicide-murder event. Pino was among the over 900 members of the Peoples Temple who perished in Guyana during the incident led by Jim Jones. Her exact birth date, profession, and broader biographical context remain largely undocumented in public records.",,,1979-11-18,not found,"Jonestown, Guyana",female,no,no,no,no
Muhammad Ali,Muhammad Ali Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Laila_Ali,Found,17.4,true,seq=11.4; fl:+10; county-miss:-8,"Laila Ali was born on December 30, 1977, in Miami Beach, Florida, USA, as the daughter of legendary boxer Muhammad Ali. She became a professional boxer in 1999 and achieved an undefeated record of 24 wins (21 by knockout) before retiring in 2007, holding multiple world titles in the super middleweight division. Beyond boxing, she has worked as a television personality, author, and health advocate, appearing on shows like Dancing with the Stars and American Gladiators. Ali is recognized as one of the most prominent female athletes in combat sports history and a key figure in popularizing women's boxing globally.","['Santa Monica College', 'Business Management studies (no degree specified)']",1977-12-30,,"Miami Beach, Florida, United States of America",not found,female,yes,no,no,no
Nelson Mandela,Nelson Mandela Boulevard,Miami‐Dade,https://en.wikipedia.org/wiki/Enron,Found,2.3,true,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8,Summary extraction failed.,,,,not found,not found,not found,no,no,no,no
Indian Key Irving R. Eyster,Indian Key Irving R. Eyster Bridge,Monroe,https://en.wikipedia.org/wiki/List_of_district_attorneys_in_the_United_States,Found,0.0,true,seq=5.4; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40,"The provided content is a Wikipedia navigation page for a list of district attorneys in the United States, not a biographical entry about an individual. District attorneys are public officials who represent the government in prosecuting criminal offenses within their jurisdictions. This page serves as a directory rather than detailing the life of a specific person. No personal biographical data, achievements, or historical significance of an individual can be extracted from this content.",,,,not found,not found,not found,no,no,no,no
Irene U. Hooper,Irene U. Hooper Memorial Bridges,Monroe,https://en.wikipedia.org/wiki/Irene_DeLaby,Found,14.4,true,seq=10.4; last-mismatch:-4; fl:+10; county-miss:-8,"Irene DeLaby was an Egyptian figure known for her contributions in the early 20th century. Limited historical records suggest she may have been involved in cultural or social activities, though specific details are scarce. Her exact birth and death dates remain undocumented in widely available sources. DeLaby’s legacy is primarily referenced in Arabic-language historical contexts, indicating regional significance in Egypt.",,,,not found,not found,female,no,no,no,no
Gulf Coast,Gulf Coast Highway,Pasco,https://en.wikipedia.org/wiki/Nature_Coast,Found,34.7,true,seq=12.7; fl:+10; county:+8,"The provided content does not describe a person but rather the Nature Coast region in Florida, known for its natural attractions across eight counties including Citrus, Hernando, and Levy. This area features outdoor activities like hiking, wildlife viewing, and water-based recreation along the Gulf of Mexico. It is recognized for its ecological diversity, state parks, and rural charm rather than urban development. No biographical details about an individual are present in the given material.",,,,not found,not found,not found,no,no,no,no
C. Bette Wimbish,C. Bette Wimbish Highway,Pinellas,https://en.wikipedia.org/wiki/C._Bette_Wimbish,Found,83.0,true,seq=20.0; human:+40; fl:+10; county:+8; us:+5,"C. Bette Wimbish was an American civil rights activist and attorney born in 1924. She became the first Black woman to graduate from the University of Virginia School of Law in 1984 after a landmark legal battle. Wimbish was a prominent figure in political activism, advocating for racial equality and education reform. Her legacy endures as a trailblazer in breaking racial and gender barriers in legal education and civil rights movements.","[""Virginia State University, Bachelor's degree"", 'University of Virginia School of Law, Juris Doctor (1984)']",1924-01-01,2016-01-01,"Petersburg, Virginia, United States",not found,female,no,yes,no,no
Albert W. Gilchrist,Albert W. Gilchrist Bridge,Charlotte,https://en.wikipedia.org/wiki/Albert_W._Gilchrist,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Albert Wallach Gilchrist was born on January 15, 1858, and died on May 15, 1926. He was an American politician who served as the 20th Governor of Florida from 1909 to 1913, known for his progressive reforms and advocacy for education. Gilchrist also held roles in the military, serving as a captain in the Florida State Troops during the Spanish-American War. His legacy includes contributions to Florida's infrastructure and educational system, though his tenure was later marred by controversy over racial policies and political decisions.","['East Florida Seminary (now part of the University of Florida)', 'Read law (self-study under Judge Jesse J. Finley)']",1858-01-15,1926-05-15,"Nassau County, Florida, United States","Gainesville, Florida, United States",male,no,yes,yes,no
Tom Adams,Tom Adams Bridge,Charlotte,https://en.wikipedia.org/wiki/Sandy_Adams,Found,23.0,true,seq=12.0; fl:+10; county-miss:-8; us:+5,"Sandy Adams is an American politician born in 1956, known for her service in the Florida State Legislature and the U.S. House of Representatives. She represented Florida's 24th congressional district from 2011 to 2013 as a member of the Republican Party. Prior to her federal tenure, Adams served in the Florida House of Representatives from 2002 to 2010, where she focused on issues like education and veterans' affairs. Her political career reflects her conservative values and advocacy for limited government, though she left Congress after a redistricting-induced primary loss in 2012.",,1956-01-01,,not found,not found,female,no,yes,no,no
Judge S. S. Jolley,Judge S. S. Jolley Bridge,Collier,https://en.wikipedia.org/wiki/Kristi_Noem,Found,22.0,true,seq=1.4; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8,"Kristi Noem was born on November 30, 1971, in Watertown, South Dakota, USA. She is a prominent American politician who served as the U.S. Representative for South Dakota's at-large congressional district from 2011 to 2019. Noem became the first female Governor of South Dakota in 2019, marking a historic milestone in the state's political landscape. Known for her conservative policies, she has been influential in national Republican politics and advocacy for rural and agricultural interests.","['South Dakota State University, Bachelor of Science in Political Science', 'Northern State University, attended (no degree specified)']",1971-11-30,,"Watertown, South Dakota, USA",not found,female,no,yes,no,no
S. Chesterfield Smith,S. Chesterfield Smith Bridge,DeSoto,https://en.wikipedia.org/wiki/Chesterfield_Smith,Found,7.0,true,seq=18.5; fl-miss:-10; county-miss:-8; us:+5,"Chesterfield Smith was an American attorney born on September 17, 1917, and passed away on August 26, 2003. He co-founded the prominent law firm Holland & Knight and served as the president of the American Bar Association (ABA) from 1973 to 1974. Known for his leadership in the legal profession, he played a key role in advocating for legal ethics and professionalism. The Chesterfield Smith Award, named in his honor, recognizes outstanding contributions to pro bono legal services and public service by lawyers.","['University of Florida, Bachelor of Arts (B.A.)', 'University of Florida Levin College of Law, Juris Doctor (J.D.)']",1917-09-17,2003-08-26,"Tampa, Florida, United States","Gainesville, Florida, United States",male,no,no,yes,no
Mamie Langdale,Mamie Langdale Memorial Bridge,Glades,https://en.wikipedia.org/wiki/Moore_Haven%2C_Florida,Found,24.1,true,seq=7.1; last-mismatch:-4; fl:+10; county:+8; us:+5,"The provided content describes Moore Haven, a city in Florida, rather than a biographical subject. It highlights historical events such as being home to the first woman mayor in the Southern United States and its development influenced by railroads and hurricanes. The city is noted for its geography along Lake Okeechobee and its demographic changes over time. No individual's birth, death, or personal achievements are detailed in the given text.",,,,not found,not found,not found,no,no,no,no
Purple Heart,Purple Heart Memorial Highway,Highlands,https://en.wikipedia.org/wiki/The_Purple_Heart,Found,7.0,true,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,"The provided content describes The Purple Heart (1944), a wartime propaganda film directed by Lewis Milestone, not a biographical subject. The movie dramatizes the trial of captured American airmen in World War II, highlighting themes of heroism and sacrifice. It features a fictionalized account based on real events, with notable performances by Dana Andrews and Richard Conte. The film was produced by 20th Century Fox and aimed to boost morale during the war.",,,,not found,not found,not found,no,no,no,no
Matanzas Pass,Matanzas Pass Bridge,Lee,https://en.wikipedia.org/wiki/William_Katt,Found,38.0,true,seq=4.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8,"William Katt is an American actor born on February 16, 1951, best known for his role as Ralph Hinkley in the 1980s superhero TV series The Greatest American Hero. He began his career in the 1970s, appearing in films like Carrie (1976) and Big Wednesday (1978), showcasing his versatility in both drama and action genres. Katt also contributed to voice acting in video games and continued working in television and film throughout his career. His work has left a lasting impact on pop culture, particularly in the realm of superhero-themed entertainment.",,1951-02-16,,"Los Angeles, California, United States",not found,male,no,no,no,no
McGregor Boulevard State Historic,McGregor Boulevard State Historic Highway,Lee,https://en.wikipedia.org/wiki/Gregor_MacGregor,Found,47.5,true,seq=6.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Gregor MacGregor was a Scottish soldier, adventurer, and confidence trickster born on December 24, 1786. He gained notoriety for his role in the Latin American wars of independence, particularly in Venezuela and New Granada, where he fought under Simón Bolívar and Francisco de Miranda. MacGregor is infamous for orchestrating the 'Poyais Scheme,' a fraudulent colonization project that swindled investors and settlers in the 1820s by promising a fictional Central American paradise. He died in Caracas, Venezuela, on December 4, 1845, leaving behind a legacy as one of history’s most audacious imposters.",,1786-12-24,1845-12-04,"Edinburgh, Scotland, United Kingdom","Caracas, Venezuela",male,no,yes,yes,no
Anna Maria Island,Anna Maria Island Bridge,Manatee,https://en.wikipedia.org/wiki/Rick_Bisio,Found,59.4,true,seq=7.4; last-mismatch:-4; human:+40; fl:+10; county:+8,"Rick Bisio is an American entrepreneur and business consultant best known for his expertise in franchising and small business development. Born in the United States, he has authored books like The Educated Franchisee to guide prospective franchise owners through investment decisions. Bisio’s career includes founding the Franchise Research Institute and advising numerous franchise systems on growth strategies. His work has made him a recognized authority in the franchise industry, helping shape best practices for aspiring business owners.","['University of Colorado Boulder, Bachelor of Science in Business Administration', 'Harvard Business School, Executive Education Program']",,,not found,not found,male,no,no,no,no
H. E. Boyd,H. E. Boyd Bridge,Manatee,https://en.wikipedia.org/wiki/Alan_S._Boyd,Found,63.7,true,seq=12.7; human:+40; fl:+10; county-miss:-8; us:+5,"Alan Stephen Boyd was born on July 20, 1922, and died on October 18, 2020. He was an American attorney and politician best known for serving as the first United States Secretary of Transportation under President Lyndon B. Johnson from 1967 to 1969. Boyd played a pivotal role in establishing the Department of Transportation and shaping early federal transportation policies. His career also included key legal and regulatory positions in aviation and rail industries, leaving a lasting impact on U.S. infrastructure development.","['University of Florida, Bachelor of Arts (1944)', 'University of Florida, Bachelor of Laws (1948)', 'Harvard Law School, Master of Laws (1949)']",1922-07-20,2020-10-18,"Jacksonville, Florida, United States","Seattle, Washington, United States",male,no,yes,yes,no
Longboat Key,Longboat Key Bridge,Manatee,https://en.wikipedia.org/wiki/Larry_Elgart,Found,47.7,true,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Larry Elgart was an American jazz saxophonist, composer, and bandleader born on March 20, 1922. He is best known for his work in big band and swing music, particularly his 1954 hit Bandstand Boogie, which became the iconic theme song for American Bandstand. Alongside his brother Les Elgart, he led the Elgart Brothers Orchestra, achieving commercial success in the 1950s and 1960s with albums like The Most Happy Fella and Sophisticated Swing. Larry Elgart passed away on August 29, 2017, leaving behind a legacy as a key figure in mid-20th-century American jazz and popular music.",,1922-03-20,2017-08-29,"New London, Connecticut, United States",not found,male,no,no,no,yes
Palma Sola,Palma Sola Bridge,Manatee,https://en.wikipedia.org/wiki/Matt_Walden,Found,58.0,true,seq=3.8; last-mismatch:-4; human:+40; fl:+10; county:+8,"Matt Walden is a contemporary musician known for his work in the music industry beginning in 2014. His career includes performances and a discography that spans multiple years, though specific details about his early life remain limited. Walden has gained recognition primarily for his musical contributions rather than other fields. Exact birth or death dates and locations are not publicly documented in available sources.",,,,not found,not found,male,no,no,no,yes
Trooper Jeffery Dale Young,Trooper Jeffery Dale Young Memorial Bridge,Manatee,https://en.wikipedia.org/wiki/Amy_Smart,Found,0.0,true,seq=3.4; last-mismatch:-4; human:+40; le-missing:-50; fl-miss:-10; county-miss:-8; us:+5,"Amy Smart is an American actress and former fashion model born on March 26, 1976. She began her career in modeling before transitioning to acting, gaining recognition for roles in films like Varsity Blues (1999) and The Butterfly Effect (2004). Smart has appeared in numerous television series, including Felicity, Shameless, and Justified, showcasing her versatility across genres. Known for her enduring presence in Hollywood, she remains active in both film and television, with a career spanning over three decades.",,1976-03-26,,"Topanga, California, United States",not found,female,no,no,no,no
American Legion,American Legion Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Milton-Myers_American_Legion_Post_No._65,Found,11.9,true,seq=10.9; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"Milton-Myers American Legion Post No. 65 is a historic American Legion post named in honor of two World War I veterans, Milton L. Myers and his brother. The post was established to serve veterans in the local community and provide support, camaraderie, and advocacy for their rights. It holds historical significance as a gathering place for veterans and a symbol of their service and sacrifice. The organization continues to play a role in veteran affairs and community engagement.",,,,not found,not found,not found,no,no,yes,no
Bob Bentley,Bob Bentley Highway,Multiple Counties,https://en.wikipedia.org/wiki/Todd_Bentley,Found,21.7,true,seq=15.7; fl:+10; county-miss:-8,"Todd Bentley is a Canadian evangelist and faith healer born in 1976, best known for leading the controversial Lakeland Revival in 2008. His ministry, Fresh Fire Ministries, gained attention for claims of miraculous healings but also faced scrutiny over theological and ethical concerns. Bentley's career was marred by a highly publicized divorce in 2008 due to admitted sex addiction, leading to his temporary withdrawal from ministry. Despite later attempts to return to preaching, he faced widespread denunciation from Christian leaders and remains a polarizing figure in charismatic circles.",,1976-01-01,,not found,not found,male,no,no,no,no
Cecil M. Webb,Cecil M. Webb Highway,Multiple Counties,https://en.wikipedia.org/wiki/Archibald_Webb,Found,17.9,true,seq=11.9; fl:+10; county-miss:-8,"Archibald Webb was a 19th-century British illustrator known for his detailed engravings and book illustrations. His work appeared in publications by notable authors of the time, contributing to the visual culture of Victorian literature. Though specific birth and death dates are unclear, he was active during the mid-to-late 1800s. Webb's legacy lies primarily in his artistic contributions rather than political, military, or athletic pursuits.",,,,not found,not found,male,no,no,no,no
Charlie Miner,Charlie Miner Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Charlie_Bailey_%28American_football%29,Found,3.8,true,seq=14.8; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5,"Charlie Bailey was an American football player and coach known for his contributions to the sport in the early to mid-20th century. Born in 1892, he played college football and later transitioned into coaching, where he made a notable impact at various institutions. Bailey served as a head coach, with his career spanning several decades, though specific achievements are less documented. His legacy remains tied to the development of American football during its formative years.",,1892-01-01,,not found,not found,male,yes,no,no,no
Claude Pepper,Claude Pepper Memorial Highway,Multiple Counties,https://en.wikipedia.org/wiki/Claude_Pepper,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Claude Pepper was born on September 8, 1900, and died on May 30, 1989. He was a prominent American politician who served as a U.S. Senator from Florida (1936–1951) and later as a U.S. Representative (1963–1989). Known for his advocacy for the elderly, he championed Social Security and Medicare reforms, leaving a lasting impact on U.S. social policy. Pepper's career spanned over five decades, making him one of Florida's most influential political figures of the 20th century.","['University of Alabama, Bachelor of Arts', 'Harvard Law School, Bachelor of Laws (LL.B)']",1900-09-08,1989-05-30,"Dudleyville, Alabama, United States","Washington, D.C., United States",male,no,yes,yes,no
E. C. Rowell,E. C. Rowell Highway,Multiple Counties,https://en.wikipedia.org/wiki/John_Thrasher_%28Florida_politician%29,Found,7.0,true,seq=3.2; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,"John Thrasher is an American politician born in 1943, known for his extensive career in Florida state government. He served as Speaker of the Florida House of Representatives from 1998 to 2000 and later as a member of the Florida Senate from 2009 to 2014. Thrasher also played a key role in Republican Party leadership and chaired the Florida Republican Party from 2003 to 2007. His political influence extended to higher education when he became president of Florida State University in 2014, a position he held until 2021.","['Florida State University, Bachelor of Science in Business', 'Florida State University, Juris Doctor']",1943-01-01,,not found,not found,male,no,yes,no,no
Purple Heart,Purple Heart Highway,Multiple Counties,https://en.wikipedia.org/wiki/The_Purple_Heart,Found,7.0,true,seq=17.1; fl-miss:-10; county-miss:-8; us:+5,"The provided content describes The Purple Heart, a 1944 American war film directed by Lewis Milestone. It portrays a fictionalized account of U.S. airmen captured by the Japanese during World War II and their subsequent trial. The film stars Dana Andrews and Richard Conte, blending propaganda with dramatic storytelling to boost wartime morale. As a cinematic work, it holds historical significance for its depiction of wartime heroism and propaganda during the 1940s.",,,,not found,not found,not found,no,no,no,no
Thomas W. Bryant,Thomas W. Bryant Highway,Multiple Counties,https://en.wikipedia.org/wiki/C._Farris_Bryant,Found,62.2,true,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5,"Cecil Farris Bryant was born on July 26, 1914, and died on March 1, 2002. He was an American politician who served as the 34th Governor of Florida from 1961 to 1965, known for his focus on infrastructure development, particularly road construction. Prior to his governorship, Bryant was a member of the Florida House of Representatives from 1946 to 1952 and ran unsuccessful campaigns for governor in 1956 before winning in 1960. His political career was marked by his advocacy for economic growth and modernization in Florida during the mid-20th century.","['University of Florida, Bachelor of Science in Agricultural Economics, 1936', 'University of Florida, Bachelor of Laws, 1940']",1914-07-26,2002-03-01,"Marianna, Florida, United States","Tallahassee, Florida, United States",male,no,yes,yes,no
Billy Bowlegs III,Billy Bowlegs III Bridge,Okeechobee,https://en.wikipedia.org/wiki/Billy_Bowlegs_III,Found,67.0,true,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Billy Bowlegs III (1910–1965) was a prominent leader of the Seminole Tribe of Florida, known for his advocacy in securing federal recognition and rights for his people. Born during a period of significant transition for Native American tribes, he played a key role in negotiating land claims and improving living conditions for the Seminole community. His leadership helped bridge cultural gaps between the Seminole and U.S. government, leaving a lasting impact on tribal sovereignty. Bowlegs III is remembered as a pivotal figure in preserving Seminole heritage and advancing their political and economic standing.",,1910-01-01,1965-01-01,"Florida, United States","Florida, United States",male,no,yes,no,no
James A. Van Fleet,General James A. Van Fleet Bridge,Polk,https://en.wikipedia.org/wiki/Polk_City%2C_Florida,Found,23.0,true,seq=4.4; last-mismatch:-4; fl:+10; county:+8; us:+5,"This content describes Polk City, Florida, which is a city rather than a person. Founded in the late 19th century, it is located in Polk County and known for its small-town charm and proximity to lakes. The area features a mix of residential, agricultural, and recreational spaces, with a history tied to Florida's phosphate mining industry. No biographical details about an individual are provided in the given content.",,,,not found,not found,not found,no,no,no,no
