name,original_designation,county,candidate_title,match_confidence,validation_notes
"Martin Luther King, Jr","Martin Luther King, Jr., Highway",Alachua,Martin Luther King Jr.,47.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
Sid Martin,Sid Martin Memorial Highway,Alachua,Trayvon Martin,62.7,seq=11.7; human:+40; fl:+10; county-miss:-8; us:+5
Ben Rowe,Ben Rowe Highway,Baker,Troy Baker,43.7,seq=6.7; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Buddy Norman,Buddy Norman Highway,Bradford,Norman Freeman,50.2,seq=9.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Elgin Bayless,Elgin Bayless Highway,Bradford,Jimmy Butler,29.0,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Tom Chastain,Tom Chastain Highway,Bradford,Brandi Chastain,44.3,seq=13.3; human:+40; fl-miss:-10; county-miss:-8; us:+5
James C. Penney,James C. Penney Memorial Boulevard,Clay,James Cash Penney,47.0,seq=17.5; human:+40; fl-miss:-10; county-miss:-8; us:+5
James A. Brewer,James A. Brewer Highway,Columbia,Gale Brewer,60.8,seq=13.8; human:+40; fl-miss:-10; county:+8; us:+5
"Chad Allen Reed, Sr","Captain Chad Allen Reed, Sr., Memorial Highway",Dixie,"Alachua County, Florida",3.6,seq=7.6; last-mismatch:-4; fl:+10; county-miss:-8
Joe H. Anderson,"Joe H. Anderson, Sr., Bridge",Dixie,Ivie Anderson,61.3,seq=14.3; human:+40; fl-miss:-10; county:+8; us:+5
Stephen Foster,Stephen Foster Bridge,Dixie,Stephen Foster,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
"U.S. Navy BMC Samuel Calhoun Chavous, Jr","U.S. Navy BMC Samuel Calhoun Chavous, Jr., Memorial Highway",Dixie,,0.0,no-candidates
Angela Webb Hammonds,Angela Webb Hammonds Boulevard,Duval,Charles Manson,27.0,seq=4.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Arthur N. Sollee,Arthur N. Sollee Bridge,Duval,List of Austin City Limits lineups by year,0.0,seq=1.4; last-mismatch:-4; fl-miss:-10; county-miss:-8; nobility:-40
Bernard Wilkes,Bernard Wilkes Highway,Duval,John Wilke,52.7,seq=11.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
C. D. Kinsey,C. D. Kinsey Street,Duval,Randy Fine,48.3,seq=7.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
C. Ray Greene,C. Ray Greene Bridge,Duval,Ray Greene (politician),47.0,seq=17.4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Charles E. Bennett,Charles E. Bennett Memorial Bridge,Duval,Charles E. Bennett (politician),67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Ed Holt,Ed Holt Boulevard,Duval,Rod Holt,47.0,seq=16.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
George Matthews,George Matthews Boulevard,Duval,Sarah Matthews (deputy press secretary),64.8,seq=13.8; human:+40; fl:+10; county-miss:-8; us:+5
Isaiah D. Hart,Isaiah D. Hart Bridge,Duval,Isaiah Hart,67.0,seq=17.6; human:+40; fl:+10; county-miss:-8; us:+5
James H. Argrett,"James H. Argrett, Sr., Avenue",Duval,Broadway Federal Bank,0.0,seq=4.3; last-mismatch:-4; fl-miss:-10; county-miss:-8; nonperson:-15
James Weldon Johnson,James Weldon Johnson Memorial Highway,Duval,J. Rosamond Johnson,64.3,seq=13.3; human:+40; fl:+10; county-miss:-8; us:+5
Jim Deaton,Jim Deaton Memorial Bridge,Duval,Dick Slater,48.6,seq=7.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
John T. Alsop,"John T. Alsop, Jr. Bridge",Duval,John T. Alsop,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Lawrence Callahan,Lawrence Callahan Highway,Duval,Colleen Farrington,47.9,seq=6.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Moses Baker,Moses Baker Boulevard,Duval,Lenny Baker,63.7,seq=12.7; human:+40; fl:+10; county-miss:-8; us:+5
Robert L. Brown,"Robert L. Brown, Sr., Highway",Duval,Gene Brown (politician),62.2,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5
Ronald W. Reagan,Ronald W. Reagan Memorial Highway,Duval,Ronald Reagan,47.0,seq=17.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Roy Willis,Roy Willis Street,Duval,Larry Willis,67.0,seq=16.4; human:+40; fl:+10; county-miss:-8; us:+5
St. Elmo W. Acosta,St. Elmo W. Acosta Bridge,Duval,St. Elmo W. Acosta,62.0,seq=20.0; human:+40; fl:+10; county-miss:-8
Tom Marshall,Tom Marshall Bridge,Duval,Tom Marshall (basketball),67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Willie F. Faust,Willie F. Faust Boulevard,Duval,Jacory Patterson,47.0,seq=2.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Ricky Lord,Sergeant Ricky Lord Memorial Highway,Gilchrist,Ricky Steamboat,5.2,seq=11.2; last-mismatch:-4; human:+40; mil-missing:-50; fl:+10; county-miss:-8
"Martin Luther King, Jr","Dr. Martin Luther King, Jr., Memorial Highway",Hamilton,Martin Luther King Jr.,47.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
Frank R. Norris,Frank R. Norris Bridge,Lafayette,Frank Norris,47.0,seq=17.8; human:+40; fl-miss:-10; county-miss:-8; us:+5
Fred P. Parker,Fred P. Parker Memorial Bridge,Lafayette,Fred P. Schlichter,61.5,seq=12.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Fred P. Parker,Fred P. Parker Memorial Highway,Lafayette,Fred P. Schlichter,61.5,seq=12.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Hal W. Adams,Hal W. Adams Bridge,Lafayette,John Quincy Adams,62.0,seq=11.0; human:+40; fl:+10; county-miss:-8; us:+5
Stanley H. Cannon,Sheriff Stanley H. Cannon Memorial Highway,Lafayette,Rodney King,43.1,seq=7.1; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Forest Ranger Edward O. Peters,Forest Ranger Edward O. Peters Memorial Highway,Levy,Eddy Waller,27.0,seq=4.9; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Marine Lance Corporal Brian R. Buesing,Marine Lance Corporal Brian R. Buesing Memorial Highway,Levy,,0.0,no-candidates
U.S. Army SPC James A. Page,U.S. Army SPC James A. Page Memorial Highway,Levy,Alek Skarlatos,42.0,seq=3.9; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5
United States Army Sergeant Karl A. Campbell,United States Army Sergeant Karl A. Campbell Memorial Highway,Levy,Walt Barnes,42.0,seq=2.2; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5
United States Army Specialist Brandon Tyler Thorsen,United States Army Specialist Brandon Tyler Thorsen Memorial Highway,Levy,List of Donald Trump 2024 presidential campaign non-political endorsements,0.0,seq=5.4; last-mismatch:-4; mil:+15; fl-miss:-10; county-miss:-8; nobility:-40
William R. Coulter,William R. Coulter Highway,Levy,William A. Coulter,47.0,seq=18.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Raeburn C. Horne,Raeburn C. Horne Memorial Highway,Madison,Raeburn C. Horne,53.0,seq=20.0; human:+40; fl:+10; county:+8; roman:-25
Bill Pearce,Bill Pearce Highway,Multiple Counties,Bill Pearce (politician),67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Blue Springs,Blue Springs Highway,Multiple Counties,Blue Springs,27.0,seq=20.0; fl:+10; county-miss:-8; us:+5
Browning Pearce,Browning Pearce Memorial Highway,Multiple Counties,Joseph Pearce,62.4,seq=11.4; human:+40; fl:+10; county-miss:-8; us:+5
Charley E. Johns,Charley E. Johns Highway,Multiple Counties,Charley Eugene Johns,67.0,seq=16.7; human:+40; fl:+10; county-miss:-8; us:+5
Coach Jermaine D. Hall,Coach Jermaine D. Hall Memorial Highway,Multiple Counties,Charlie Strong,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Correctional Officers,Correctional Officers Memorial Highway,Multiple Counties,Union Correctional Institution,12.0,seq=11.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Ed Fraser,Ed Fraser Memorial Highway,Multiple Counties,Ed Begley Jr.,56.3,seq=7.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Fred P. Parker,Fred P. Parker Memorial Highway,Multiple Counties,Fred P. Schlichter,61.5,seq=12.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Hinely Parker,Hinely Parker Highway,Multiple Counties,Charlie Parker,45.8,seq=14.8; human:+40; fl-miss:-10; county-miss:-8; us:+5
Pearl Harbor,Pearl Harbor Memorial Highway,Multiple Counties,Phil Rasmussen,27.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Purple Heart,Purple Heart Memorial Highway,Multiple Counties,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Stephen Foster,Stephen Foster Memorial Highway,Multiple Counties,Stephen Foster,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Thomas J. Shave,"Thomas J. Shave, Jr., Bridge",Nassau,Jon Shave (musician),37.7,seq=11.7; human:+40; fl-miss:-10; county-miss:-8
Trooper Charles W. Parks,Trooper Charles W. Parks Memorial Highway,Nassau,Miami Police Department,22.0,seq=6.0; last-mismatch:-4; le:+15; fl:+10; county-miss:-8; us:+5
Verna Bell,Verna Bell Way,Nassau,Ernest Hemingway,47.2,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Frank Thomas McMeekin,Frank Thomas McMeekin Highway,Putnam,Duncan McMeekin,38.2,seq=12.2; human:+40; fl-miss:-10; county-miss:-8
Jerome A. Williams,Jerome A. Williams Memorial Highway,Putnam,Amanda Vaill,49.0,seq=8.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
John W. Campbell,John W. Campbell Highway,Putnam,George W. Campbell,66.3,seq=15.3; human:+40; fl:+10; county-miss:-8; us:+5
Alvin C. Shands,Alvin C. Shands Bridge,St. Johns,1889 in the United States,8.0,seq=7.0; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Claude Varn,Claude Varn Bridge,St. Johns,G. Harrold Carswell,47.0,seq=4.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
F. Charles Usina,F. Charles Usina Memorial Highway,St. Johns,Hispanics in the United States Navy,7.3,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5
Ron Parker,Ron Parker Boulevard,St. Johns,Ron DeSantis,58.1,seq=9.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
MacDonald,"Deputy Victor J. 'Skip' MacDonald, Jr. Memorial Highway",Taylor,Joe Arpaio,42.0,seq=4.2; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5
Trooper Charles Eugene Campbell,Trooper Charles Eugene Campbell Memorial Highway,Taylor,Gene Chizik,13.0,seq=5.7; last-mismatch:-4; human:+40; le-missing:-50; fl:+10; county:+8; us:+5
Correction Officers,Correction Officers Memorial Bridge,Union,Mark Nordlicht,38.0,seq=4.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8
Renee Danell Azure,Deputy Renee Danell Azure Memorial Highway,Union,,0.0,no-candidates
B. V. Buchanan,B. V. Buchanan Bridge,Bay,Vern Buchanan,65.8,seq=14.8; human:+40; fl:+10; county-miss:-8; us:+5
Charles M. Parker,Charles M. Parker Bridge,Bay,C. Allen Parker,64.8,seq=13.8; human:+40; fl:+10; county-miss:-8; us:+5
K. Earl Durden,K. Earl Durden Highway,Bay,Jerrie Mock,47.0,seq=1.6; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
"Colonel Carl John Luksic, USAF","Lieutenant Colonel Carl John Luksic, USAF, Memorial Highway",Bay,Carl J. Luksic,32.8,seq=11.8; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Bayou Chico,Bayou Chico Bridge,Escambia,W. D. Childers,33.4,seq=6.4; last-mismatch:-4; human:+40; fl:+10; county:+8; roman:-25
Don Sutton,Don Sutton Memorial Highway,Escambia,Don Sutton,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Phillip A. Payne,Dr. Phillip A. Payne Bridge,Escambia,Jeremy Pruitt,47.0,seq=2.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Gulf Gateway,Gulf Gateway Bridge,Escambia,"Pensacola, Florida",23.0,seq=4.0; last-mismatch:-4; fl:+10; county:+8; us:+5
J. McHenry Jones,J. McHenry Jones Bridge,Escambia,Jordan McCloud,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Joyce Webb Nobles,Joyce Webb Nobles Bridge,Escambia,Andre Norton,47.0,seq=5.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Robert L. F. Sikes,Robert L. F. Sikes Bridge,Escambia,Bob Sikes,67.0,seq=11.9; human:+40; fl:+10; county-miss:-8; us:+5
The David Bogan,The David Bogan Bridge,Escambia,Tedd Arnold,50.2,seq=9.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Bryant Grady Patton,Bryant Grady Patton Bridge,Franklin,Evelyn Gandy,27.5,seq=6.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Camp Gordon Johnston Mem,Camp Gordon Johnston Mem Highway,Franklin,Erik Jones,28.1,seq=7.1; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
E. N. Walker,E. N. Walker Bridge,Franklin,Mark E. Walker,64.8,seq=13.8; human:+40; fl:+10; county-miss:-8; us:+5
R. L. Moore,R. L. Moore Bridge,Franklin,Lonnie R. Moore,63.3,seq=12.3; human:+40; fl:+10; county-miss:-8; us:+5
Tillie Miller,Tillie Miller Bridge,Franklin,Tillie Fowler,64.4,seq=15.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
"Alfred Lawson, Jr","Alfred Lawson, Jr., Highway",Gadsden,Bill Hudson (photographer),64.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
"Martin Luther King, Jr","Dr. Martin Luther King, Jr., Memorial Highway",Gadsden,Martin Luther King Jr.,47.0,seq=19.1; human:+40; fl-miss:-10; county-miss:-8; us:+5
Cecil G. Costin,"Cecil G. Costin, Sr., Boulevard",Gulf,Jason Shoaf,63.0,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Elgin Bayless,Elgin Bayless Bridge,Gulf,Jimmy Butler,29.0,seq=8.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
George L. Dickenson,George L. Dickenson Bridge,Holmes,Ronald Reagan,43.0,seq=3.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
James Riley Paul,James Riley Paul Bridge,Holmes,Ken Riley,52.2,seq=11.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Lonnie Weeks,Lonnie Weeks Memorial Highway,Holmes,Lonnie Coleman,61.3,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
M. M. Andrews,M. M. Andrews Bridge,Holmes,Erin Andrews,63.8,seq=12.8; human:+40; fl:+10; county-miss:-8; us:+5
West Florida Fuller Warren,West Florida Fuller Warren Bridge,Holmes,Ernest Holmes,43.2,seq=6.2; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Buddy Williams,Buddy Williams Memorial Highway,Jackson,Jesse Williams (actor),59.9,seq=12.9; human:+40; fl-miss:-10; county:+8; us:+5
Hamilton Allan Smith,Hamilton Allan Smith Memorial Highway,Jackson,"Hargus ""Pig"" Robbins",43.0,seq=6.0; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5
Lester C. Lawrence,Lester C. Lawrence Highway,Jefferson,Lester Brickman,61.1,seq=12.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Richard H. Simpson,Richard H. Simpson Highway,Jefferson,Richard H. Simpson,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
S. D. Clarke,S. D. Clarke Highway,Jefferson,George J. F. Clarke,58.9,seq=12.9; human:+40; fl:+10; county-miss:-8
M. S. Thomas,M. S. Thomas Bridge,Leon,Azareye'h Thomas,61.0,seq=10.0; human:+40; fl:+10; county-miss:-8; us:+5
Doolittle Raiders,Doolittle Raiders Highway,Multiple Counties,Charles Hurwitz,47.0,seq=3.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
James Gadsden,James Gadsden Highway,Multiple Counties,James Gadsden,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Air Commando,Air Commando Boulevard,Okaloosa,Air Force Armament Museum,28.6,seq=8.6; last-mismatch:-4; fl:+10; county:+8
C. G. Meigs,C. G. Meigs Bridge,Okaloosa,John Rodgers Meigs,42.0,seq=11.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
Bud Day,Colonel Bud Day Boulevard,Okaloosa,Bud Hedinger,59.5,seq=10.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Danny Wuerffel,Danny Wuerffel Way,Okaloosa,Danny Wuerffel,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Skip York,Deputies Skip York and Burt Lopez Memorial Highway,Okaloosa,Skip Horack,65.0,seq=16.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Burt Lopez,Deputies Skip York and Burt Lopez Memorial Highway,Okaloosa,Kristen Anderson-Lopez,61.0,seq=10.0; human:+40; fl:+10; county-miss:-8; us:+5
James W. Lee,James W. Lee Boulevard,Okaloosa,Bob Sikes,63.0,seq=3.8; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Jim Franklin,Jim Franklin Highway,Okaloosa,Bob Sikes,63.0,seq=3.8; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Lewis E. Turner,Lewis E. Turner Boulevard,Okaloosa,Lewis Powell (conspirator),59.4,seq=10.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Purple Heart,Purple Heart Memorial Highway,Okaloosa,Plies (rapper),48.1,seq=7.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Roger J. Clary,Roger J. Clary Highway,Okaloosa,"Shalimar, Florida",23.0,seq=3.9; last-mismatch:-4; fl:+10; county:+8; us:+5
William Nathey,William Nathey Bridge,Okaloosa,,0.0,no-candidates
William T. Marler,William T. Marler Bridge,Okaloosa,Pete Hegseth,47.0,seq=2.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Army Sergeant Daniel L. McCall,Army Sergeant Daniel L. McCall Memorial Highway,Santa Rosa,Cory Mills,62.0,seq=6.0; last-mismatch:-4; human:+40; mil:+15; fl:+10; county-miss:-8; us:+5
Wendell Hall,Sheriff Wendell Hall Highway ,Santa Rosa,Jeff Van Camp Sr.,62.0,seq=5.5; last-mismatch:-4; human:+40; le:+15; fl:+10; county-miss:-8; us:+5
Whiting Field,Whiting Field Boulevard,Santa Rosa,Mikie Sherrill,47.0,seq=5.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Williard Norris,Williard Norris Highway,Santa Rosa,Kent City School District,0.0,seq=5.0; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5
Angus Morrison,Angus Morrison Memorial Highway,Wakulla,Steve Spurrier,47.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Arthur L. Andrews,Arthur L. Andrews Bridge,Wakulla,Martha Bayles,31.7,seq=10.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Gretchen Evans,Gretchen Evans Memorial Bridge,Wakulla,Gretchen Walsh,44.7,seq=15.7; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Clyde B. Wells,Clyde B. Wells Bridge,Walton,Graham Mertz,47.0,seq=1.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Olan Rex Ferguson,Olan Rex Ferguson Bridge,Walton,Choctawhatchee River,23.5,seq=6.5; last-mismatch:-4; fl:+10; county:+8; us:+5
The Beach,The Beach Highway,Walton,Walton Beach,35.3,seq=13.3; fl:+10; county:+8
Ben G. Watts,Ben G. Watts Highway,Washington,Marco Rubio,47.0,seq=1.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
David J. Cook,David J. Cook Memorial Highway,Washington,Dalvin Cook,66.0,seq=15.0; human:+40; fl:+10; county-miss:-8; us:+5
John Creel,John Creel Bridge,Washington,William Jackson Creel,57.6,seq=11.6; human:+40; fl:+10; county-miss:-8
Judge Perry Wells,Judge Perry Wells Highway,Washington,James E. C. Perry,50.4,seq=9.4; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Lonnie Weeks,Lonnie Weeks Memorial Bridge,Washington,Lonnie Coleman,61.3,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Dave Turner,Dave Turner Bridge,Broward,Skatune Network,66.2,seq=9.2; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Ryan Sequin,Deputy Ryan Sequin Memorial Highway,Broward,Eloise (Paul Ryan song),0.0,seq=4.7; last-mismatch:-4; le-missing:-50; fl-miss:-10; county-miss:-8
"E. Clay Shaw, Jr","E. Clay Shaw, Jr., Bridge",Broward,Joel K. Gustafson,63.1,seq=6.1; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Pembroke Park,Pembroke Park Boulevard,Broward,"Pembroke Park, Florida",39.9,seq=14.9; last-mismatch:-4; fl:+10; county:+8; us:+5
S. C. Fox,S. C. Fox Memorial Bridge,Broward,Huckleberry Fox,59.3,seq=8.3; human:+40; fl:+10; county-miss:-8; us:+5
The Barefoot Mailman,The Barefoot Mailman Memorial Bridge,Broward,Terry Moore (actress),27.5,seq=6.5; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Trooper Donald Earl Jennings,Trooper Donald Earl Jennings Highway,Broward,Indiana State Police,0.0,seq=4.2; last-mismatch:-4; le:+15; fl-miss:-10; county-miss:-8
Trooper Stephen G. Rouse,Trooper Stephen G. Rouse Memorial Highway,Broward,John Battersby Crompton Lamburn,37.0,seq=5.1; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8
West Park,West Park Boulevard,Broward,"West Park, Florida",38.3,seq=13.3; last-mismatch:-4; fl:+10; county:+8; us:+5
Alma Lee Loy,Alma Lee Loy Bridge,Indian River,Julia Tuttle,49.3,seq=8.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
James H. Pruitt,James H. Pruitt Memorial Bridge,Indian River,Gary B. Pruitt,64.8,seq=13.8; human:+40; fl:+10; county-miss:-8; us:+5
Richard Raczkoski,Richard Raczkoski Memorial Highway,Indian River,Florida State Road 60,0.0,seq=6.3; last-mismatch:-4; fl:+10; county-miss:-8; nonperson:-15
Robert C. Spillman,Robert C. Spillman Memorial Highway,Indian River,Robert Stone (novelist),41.0,seq=12.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Robert W. Graves,Robert W. Graves Bridge,Indian River,Ray Graves,63.3,seq=12.3; human:+40; fl:+10; county-miss:-8; us:+5
A. O. Kanner,A. O. Kanner Highway,Martin,Peter T. Fay,47.0,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Big John Monahan,Big John Monahan Bridge,Martin,Pat Monahan,42.9,seq=11.9; human:+40; fl-miss:-10; county-miss:-8; us:+5
Ernest F. Lyons,Ernest F. Lyons Bridge,Martin,Ernest Hemingway,59.3,seq=10.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
"Evans Crary, Sr","Evans Crary, Sr., Bridge",Martin,Daniel Webster (Florida politician),47.0,seq=5.5; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Frank A. Wacha,Frank A. Wacha Bridge,Martin,F. P. Santangelo,27.0,seq=5.3; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5
Palm City,Palm City Bridge,Martin,"Palm City, Florida",38.3,seq=13.3; last-mismatch:-4; fl:+10; county:+8; us:+5
Dan McCarty,Dan McCarty Memorial Highway,Multiple Counties,Daniel T. McCarty,66.7,seq=15.7; human:+40; fl:+10; county-miss:-8; us:+5
Stan Mayfield,Stan Mayfield Memorial Highway,Multiple Counties,Stan Mayfield,67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
Thomas E. Will,Thomas E. Will Memorial Highway,Multiple Counties,Thomas E. Dewey,64.2,seq=15.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Ben Sunday,Ben Sunday Memorial Highway,Palm Beach,Rob Hiaasen,63.0,seq=5.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Carlin White,Carlin White Bridge,Palm Beach,Barbara Bush,47.7,seq=6.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Glynn Mayo,Glynn Mayo Highway,Palm Beach,Phillip Fulmer,47.0,seq=5.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Haven M. Ashe,Haven M. Ashe Bridge,Palm Beach,John Ashley (bandit),68.7,seq=11.7; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Jack L. Saunders,Jack L. Saunders Bridge,Palm Beach,Jeffrey Epstein,63.0,seq=5.2; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Jerry Thomas,Jerry Thomas Memorial Bridge,Palm Beach,Jerry Thomas (Florida politician),67.0,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5
L. E. Buie,L. E. Buie Memorial Bridge,Palm Beach,Dougal M. Buie,39.3,seq=13.3; human:+40; fl:+10; county-miss:-8; us:+5; roman:-25
North Ocean,North Ocean Boulevard,Palm Beach,"North Palm Beach, Florida",33.9,seq=8.9; last-mismatch:-4; fl:+10; county:+8; us:+5
Purple Heart,Purple Heart Highway,Palm Beach,Brian Mast,64.3,seq=7.3; last-mismatch:-4; human:+40; fl:+10; county:+8; us:+5
Richard Jason Randolph,Richard Jason Randolph Memorial Bridge,Palm Beach,Randolph Bracy,49.9,seq=8.9; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
Robert A. Harris,Robert A. Harris Bridge,Palm Beach,Katherine Harris,62.2,seq=11.2; human:+40; fl:+10; county-miss:-8; us:+5
Peter P. Cobb,Peter P. Cobb Bridge,St. Lucie,Peter Camejo,61.8,seq=12.8; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5
C. Sweet Smith,C. Sweet Smith Memorial Highway,Brevard,Emmitt Smith,63.3,seq=12.3; human:+40; fl:+10; county-miss:-8; us:+5
W. J. Creel,Dr. W. J. Creel Bridge,Brevard,William Jackson Creel,57.2,seq=11.2; human:+40; fl:+10; county-miss:-8
Ernest Kouwen‐Hoven,Ernest Kouwen‐Hoven Bridge,Brevard,Ernest Kouwen-Hoven,67.0,seq=18.9; human:+40; fl:+10; county-miss:-8; us:+5
Hubert Humphrey,Hubert Humphrey Bridge,Brevard,Hubert Humphrey,47.0,seq=20.0; human:+40; fl-miss:-10; county-miss:-8; us:+5
