Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link
Kennedy Space Center,,,,,,https://en.wikipedia.org/wiki/Kennedy_Space_Center
Martin Andersen Beachline,,,,,,
Perkins,,,,,,https://en.wikipedia.org/wiki/Perkins
Rosa Parks,,,,,,https://commons.wikimedia.org/wiki/Category:Rosa_Parks_(tramway_d%27%C3%8Ele-de-France)
Sanlando Springs,,,,,,"https://en.wikipedia.org/wiki/Sanlando_Springs,_Florida"
Semoran,,,male organism,1993-01-01,,
SevilleBunnell,,,,,,
Space Coast,,,,,,https://en.wikipedia.org/wiki/Space_Coast
Anelie Cadet,,,,,,
Arnold Palmer,golfer,,male,1929-09-10,2016-09-25,https://en.wikipedia.org/wiki/Arnold_Palmer
Edna S HargrettThrower,,,,,,
Edward Daniel Davis Sr,,,,,,
Fred N Dunn Sr,,,,,,
James B Green,,,male,,,
John Young,naval officer,,male,1930-09-24,2018-01-05,https://en.wikipedia.org/wiki/John_Young_(astronaut)
Martin L King Jr,,,,,,
Old Apopka Road,,,,,,
Senator Richard H Langley,,,,,,
Spessard L Holland,,,,,,
William B McGee,,,,,,
Kings,,,,,,"https://en.wikipedia.org/wiki/Kingston,_Jamaica"
Officer Matthew Baxter and Sergeant Richard Sam Howard III,,,,,,
Robert Guevara,,,,,,
Senator N Ray Carroll,,,,,,
Hamilton Disston,businessperson,,male,1844-08-23,1896-04-30,https://en.wikipedia.org/wiki/Hamilton_Disston
C A Bill Benedict,,,,,,
George C Means,,,,,,
Korean War Veterans,,,,,,https://en.wikipedia.org/wiki/Korean_War_Veterans_Parkway
Sidney O Chase Jr,,,,,,
William A Kratzert Sr,,,,,,
Florida Veterans,,,,,,
John M Hammer,,,,,,
W H Boswell,,,,,,
Amos Walter Atchley,,,,,,
Charles W Cherry Sr,,,,,,
Clyde Hart,pianist,,male,1910-02-24,1945-03-19,https://en.wikipedia.org/wiki/Clyde_Hart_(pianist)
Congressman Williamm V Chappell Jr,,,,,,
David Hinson,,,,,,
Douglas Stenstrom,lawyer,,male,1921-09-05,2010-06-23,https://en.wikipedia.org/wiki/Douglas_Stenstrom
George Musson,,,,,,
Harris M Saxon,,,,,,
International Speedway,,,,,,https://it.wikipedia.org/wiki/International_Speedway
Kevin John Fischer,,,,,,
Leonard B Knox,,,,,,
POWMIA Rose Bay Bridges,,,,,,
Robert F Grim Sr,,,,,,
St Johns River Veterans,,,,,,
Trooper Darryl Haywood,,,,,,
24th of February,,,,,,https://en.wikipedia.org/wiki/February_24
AB Martin,researcher,,female,,,
African Caribbean Cultural Arts,,,,,,
Aleida Leal,,,,,,
Alexandre Petion,politician,,male,1770-04-02,1818-03-29,https://en.wikipedia.org/wiki/Alexandre_P%C3%A9tion
All America,,,,,,https://en.wikipedia.org/wiki/All_American_Girls
Allapattah,,,,,,https://en.wikipedia.org/wiki/Allapattah
Ambassador Armando Valladares,,,,,,
American Bankers,,,,,,https://en.wikipedia.org/wiki/American_Bankers_Association
Andrew J Capeletti Memorial Ramp,,,,,,
Angel Manuel De La Portilla,,,,,,
Angel Pio de la Portilla,,,,,,
Anne Ackerman,activist,,female,1914-00-00,1989-03-01,https://en.wikipedia.org/wiki/Annie_Ackerman
Anthony J Perez,,,,,,
Armando Perez Yambo,,,,,,
Arnold M Velazquez,,,,,,
Arthur Mays,,,male,1912-01-01,1992-01-01,
Athalie Range,,,,,,
Aventura,,,,,,"https://en.wikipedia.org/wiki/Aventura,_Florida"
Avenue of the Americas,,,,,,https://en.wikipedia.org/wiki/Sixth_Avenue
Benjamin Leon,,,male,1654-09-05,1724-12-21,
Benjamin Leon Jr,,,,,,
Bill Seidle,,,,,,
Billy Kemp,musician,,male,,,
Bird Road State,,,,,,
Biscayne Park,,,,,,"https://en.wikipedia.org/wiki/Biscayne_Park,_Florida"
Bishop Victor Tyrone Curry,,,,,,
Bob Arbetters,,,,,,
Boringuen,,,,,,
Brickell Avenue State,,,,,,
BRIGADA 2506 STREET Carlos Rodriquez Santana,,,,,,
Brownsville Commercial District,,,,,,
Calle Ocho State,,,,,,
CapoisLaMort,,,,,,
Captains Padron Perez and Sosa,,,,,,
Carlos Arboleya,rugby union player,,male,1985-07-23,,https://en.wikipedia.org/wiki/Carlos_Arboleya
Carlos C LopezAguiar,,,,,,
Carrie P Meek,,,,,,
Cesar Calas,,,,,,
Charles Summer,,,male,1911-00-00,,
Chelsie J Senerchia,,,,,,
Coral Way Historic Canopied,,,,,,
Coral Way State,,,,,,
Crandon Boulevard State,,,,,,
CubanAmerican Association of Civil Engineers,,,,,,
Cutler Bay,,,,,,"https://en.wikipedia.org/wiki/Cutler_Bay,_Florida"
Daniel D Diefenbach,,,,,,
Daniel J Mahoney,,,,,,
Dewey Knight Jr,,,,,,
Dolphin,,,,,,https://en.wikipedia.org/wiki/Dolphin_(surname)
Don Shula,American football player,,male,1930-01-04,2020-05-04,https://en.wikipedia.org/wiki/Don_Shula
Dr Armando Bucelo Sr,,,,,,
Dr Jose A Marques,,,,,,
Dr Leonard Cherdack,,,,,,
Dr Oscar Elias Biscet,,,,,,
Dr T Stewart Greer,,,,,,
Dr Vicente GrauImperatori,,,,,,
Elaine Gordon,politician,,female,1931-00-00,2000-02-25,https://en.wikipedia.org/wiki/Elaine_Gordon
Emilio Ochoa,politician,,male,1907-07-04,2007-06-21,https://en.wikipedia.org/wiki/Emilio_Ochoa
Ernesto Montaner,,,,,,
Essie Silva,,,,,,
Estrella Rubio,researcher,,,,,
Ethel Beckford,,,,,,
Father Gerard JeanJuste,,,,,,
Felipe Valls,restaurateur,,male,1933-03-08,2022-11-26,https://en.wikipedia.org/wiki/Felipe_Valls_Sr.
Florencio Kiko Pernas,,,,,,
Frank Pasquarella,,,,,,
Frederick Douglass,journalist,African Americans,male,1817-02-00,1895-02-20,https://en.wikipedia.org/wiki/Frederick_Douglass
George Gill,baseball player,,male,,,https://en.wikipedia.org/wiki/George_Gill_(first_baseman)
Golden Glades,,,,,,"https://en.wikipedia.org/wiki/Golden_Glades,_Florida"
Gwen Cherry,teacher,,female,1923-08-27,1979-02-07,https://en.wikipedia.org/wiki/Gwen_Cherry
Henri Levy,rabbi,,male,1883-06-07,1942-08-13,https://de.wikipedia.org/wiki/Henri_L%C3%A9vy_(Rabbiner)
Herbert Lee Simon,,,,,,
Historic Biscayne Boulevard Gateway to Miami,,,,,,
Honorable Robert B Ingram PhD,,,,,,
Hugh Anderson,,,,,,
Interama,,,,,,https://en.wikipedia.org/wiki/Parque_de_la_Ciudad
JeanJacques Dessalines,,,,,,
Jean Baptiste Point du Sable,merchant,,male,1745-01-01,1818-08-28,https://en.wikipedia.org/wiki/Jean_Baptiste_Point_du_Sable
Jefferson Reaves Sr,,,,,,
Jerry Underwood,saxophonist,,male,1956-08-14,2002-08-03,https://de.wikipedia.org/wiki/Jerry_Underwood
Jim Mandich,American football player,,male,1948-07-30,2011-04-26,https://en.wikipedia.org/wiki/Jim_Mandich
John F Cosgrove,,,,,,
John F Kennedy,politician,Irish Americans,male,1917-05-29,1963-11-22,https://en.wikipedia.org/wiki/John_F._Kennedy
John H Levi,,,,,,
John I Smith,engraver,,male,1652-01-01,1742-01-01,https://en.wikipedia.org/wiki/John_Smith_(engraver)
John J Brunettie Sr,,,,,,
John Torrese Family,,,,,,
Jorge L Cabrera,,,,,,
Jorge Mas Canosa,businessperson,,male,1939-09-21,1997-11-23,https://en.wikipedia.org/wiki/Jorge_Mas_Canosa
Jose Regueiro,researcher,,male,1901-00-00,,
Joseph Emmanuel Manno Charlemagne,,,,,,
Judge Steve Levine,,,,,,
Judge Wilkie D Ferguson Jr,,,,,,
Judy Drucker,,,,,,
Julia Tuttle,businessperson,,female,1849-01-22,1898-09-14,https://en.wikipedia.org/wiki/Julia_Tuttle
Killian Drive State,,,,,,
Le Jeune State,,,,,,
LincolnMarti,,,,,,
Lolo Villalobos,,,male,1913-08-27,1997-01-14,https://en.wikipedia.org/wiki/Lolo_Villalobos
Loring P Evans,,,,,,
Lourdes P Aguila,,,,,,
Lt Colonel Charles Brown,,,,,,
Luis Conte Aguero,historian,,male,1924-07-06,2025-07-12,https://ar.wikipedia.org/wiki/%D9%84%D9%88%D9%8A%D8%B3_%D9%83%D9%88%D9%86%D8%AA%D9%8A_%D8%A3%D8%BA%D9%88%D9%8A%D8%B1%D9%88
Maestro Luis Casas Romero,,,,,,
Manny Añon,,,,,,
Manolo Reyes,journalist,,male,1924-07-29,2008-01-03,https://en.wikipedia.org/wiki/Manolo_Reyes
Manuel Capo,,,,,,
Marilyn Culp,,,,,,
Marjory Stoneman Douglas Sunset,,,,,,
Marlins,,,,,,https://en.wikipedia.org/wiki/Miami_Marlins
Martha Flores,announcer,,female,1928-12-28,2020-07-18,https://es.wikipedia.org/wiki/Martha_Flores
Mary Ellen Miller,scholar of English,,female,1935-00-00,,
Maurice Rosen,,,male,1919-01-01,1995-01-01,
Mayor General Ignacio Agramonte y Loynaz,,,,,,
Miami Medical Team,,,,,,
Milton Littman,,,,,,
Miss Lillie Williams,,,,,,
Monsignor Emilio Vallina,,,,,,
Mrs Ann Carlton,,,,,,
MSgt Benjamin Strickland,,,,,,
Natan R Rok,,,,,,
Norman Giller,producer,,,,,
North Miami Beach,,,,,,"https://en.wikipedia.org/wiki/North_Miami_Beach,_Florida"
Ofelia PerezRoura,,,,,,
Olga Guillot,actor,,female,1922-10-09,2010-07-12,https://en.wikipedia.org/wiki/Olga_Guillot
Orange Bowl,,,,,,https://en.wikipedia.org/wiki/Orange_Bowl
Osuns Village,,,,,,
Palmetto Bay,,,,,,"https://en.wikipedia.org/wiki/Palmetto_Bay,_Florida"
Pastors Dr Randall  Sharlene Holts,,,,,,
Phicol Williams,,,,,,
Pinecrest,,,,,,"https://en.wikipedia.org/wiki/Pinecrest,_Florida"
Rafael DiazBalart,,,,,,
Ramon Puig,dub actor,,male,1910-00-00,2007-00-00,
Raquel Regalado,,,,,,
Raul L MartinezJose Abreu Pass,,,,,,
Red Road State,,,,,,
Rev Jorge Comesanas,,,,,,
Reverend Dr CP Preston Jr,,,,,,
Reverend Max Salvador,,,,,,
Reverend Samuel Atchison,,,,,,
Ricardo Karakadze,,,,,,
Rick Ricciardelli,,,,,,
Rickenbaker,,,,,,
Robert Frost,poet,,male,1874-03-26,1963-01-29,https://en.wikipedia.org/wiki/Robert_Frost
Robert L Blum,researcher,,male,,,
Rodolfo Garcia,lawyer,,male,1873-05-25,1949-11-14,https://pt.wikipedia.org/wiki/Rodolfo_Garcia
Roi Henri Christophe,,,,,,
Rolando Encinosa,,,,,,
Rosendo Rosell,,,,,,
Roy F Kenzie,,,,,,
SW 62nd Avenue,,,,,,
Saint Marcellin Champagnat,Catholic priest,,male,1789-05-20,1840-06-06,https://en.wikipedia.org/wiki/Marcellin_Champagnat
Senator Ruben Mendiola,,,,,,
Senator Sherman Winn,,,,,,
Shawn ODare,,,,,,
Shepard Broad,banker,,male,1906-07-08,2001-11-06,https://en.wikipedia.org/wiki/Shepard_Broad
Sidney Alterman,,,,,,
Sigmund Zilber,,,,,,
Singer,,,,,,https://en.wikipedia.org/wiki/Singer_(surname)
South Bayshore Drive,,,,,,
South Miami Avenue,,,,,,https://en.wikipedia.org/wiki/Miami_Avenue
Steve Mainster,,,,,,
Steven Cranman,,,,,,
Sunny Isles,,,,,,"https://en.wikipedia.org/wiki/Sunny_Isles_Beach,_Florida"
Sunset Drive State,,,,,,
Tanya Martin Oubre Pekel,,,,,,
Toussaint LOuverture Blvd,,,,,,
Trooper Robert G Smith,,,,,,
Victor Hernandez Sr,,,,,,
Will James Johnson,,,,,,
William H Turner,,,,,,
William Lehman,politician,,male,1913-10-05,2005-03-16,https://en.wikipedia.org/wiki/William_Lehman_(Florida_politician)
Willy Chirino,singer,,male,1947-04-05,,https://en.wikipedia.org/wiki/Willy_Chirino
Yitzhak Rabin,diplomat,Jewish people,male,1922-03-01,1995-11-04,https://en.wikipedia.org/wiki/Yitzhak_Rabin
Zuly Reyes,,,,,,
Dante B Fascell,,,,,,
Representative Bernie C Papy,,,,,,
Whale Harbor Joe Roth Jr,,,,,,
Harry S Truman Overseas,,,,,,
Gale Lemerand,,,,,,
Kermit Sigmon,,,,,,
Patricia Angella Barrett Lewis and Charlton Pernell Lewis,,,,,,
Marge Pearlson,,,,,,
Reverend Wilner Maxy,,,,,,
Brittan Alexander,,,,,,
Burton R Quinn,,,,,,
Franklin Hair,,,,,,
Trooper Ronald Gordon Smith,,,,,,
Deputy Lonnie Coburn,,,,,,
Andrew J Aviles,,,,,,
Art Pepin,,,,,,
August A Busch Jr,,,,,,
Blue Star,,,,,,https://pl.wikipedia.org/wiki/Blue_Star
Brandon,,,,,,https://en.wikipedia.org/wiki/Brandon_(given_name)
Corporal Michael Joseph Roberts,,,,,,
Fortune Taylor,,,,,,
Gonzmart,,,,,,
Ivey Edward Cannon,,,,,,
James L Redman,,,,,,
Jim Holmes,association football player,,male,1955-12-08,,https://en.wikipedia.org/wiki/Jim_Holmes_(footballer)
Lee Roy Selmon,American football player,,male,1954-10-20,2011-09-04,https://en.wikipedia.org/wiki/Lee_Roy_Selmon
Licata,,,,,,https://en.wikipedia.org/wiki/Licata
"Officer Jeffery A Kocab and Officer
David L Curtis",,,,,,
Pepin,,,,,,https://commons.wikimedia.org/wiki/Category:Pepin_(surname)
Stevie LaDue Giving Hope,,,,,,
Sun City Center,,,,,,"https://en.wikipedia.org/wiki/Sun_City_Center,_Florida"
Trooper Kenneth E Flynt,,,,,,
W Howard Frankland,,,,,,
W T Williams,,,,,,
Deputy John C Mecklenburg Memorial Highway,,,,,,
Nature Coast,,,,,,https://en.wikipedia.org/wiki/Nature_Coast
Paul S Buchman,,,,,,
Agent John Van Waters,,,,,,
Captain Charles Bo Harrison,,,,,,
Constable Arthur Fleece Crenshaw,,,,,,
Darce Taylor Crist,,,,,,
Father Felix Ullrich,,,,,,
John Van Waters,economist,,male,1920-01-19,2000-12-09,https://nl.wikipedia.org/wiki/John_van_Waterschoot
Schrader,,,,,,https://en.wikipedia.org/wiki/Schrader
State Trooper James Crooks,,,,,,
Bob GrahamSunshine Skyway,,,,,,
Command Sergeant Major Gary Lee Littrell Medal of Honor Causeway and,,,,,,
Corey,,,,,,https://commons.wikimedia.org/wiki/Category:Corey_(given_name)
Dr Edward Cole,,,,,,
Eisenhower,,,,,,https://en.wikipedia.org/wiki/Eisenhower_(surname)
Madeira Beach Causeway and Madeira Beach,,,,,,
Officer Charles Charlie K Kondek Jr,,,,,,
PE Gene Carpenter,,,,,,
Sgt Thomas J Baitinger Officer Jeffrey A Yaslowitz and Officer David S Crawford,,,,,,
St PetersburgWilliam C Cramer,,,,,,
Tom Stuart,actor,,male,,,
William Ennels Dean Jr,,,,,,
Barkett,,,,,,https://commons.wikimedia.org/wiki/Category:Barkett_(surname)
Nick Capitano,,,,,,
Officer Jesse Madsen,,,,,,
Sergeant Brian LaVigne,,,,,,
Deputy Michael J Magli,,,,,,
Sgt George Lee Taylor Sr,,,,,,
Pio Ieraci,,,,,,
Veterans Honor,,,,,,
Warren Alvarez,,,,,,
Pensacola Police Fallen Heroes,,,,,,
Staff Sergeant Keon Clyde Sands,,,,,,
Maximino Capdevila,,,,,,
Virginia Creighton,,,,,,
Sergeant First Class Michael C Aten,,,,,,
Coach Guy Thomas,,,,,,
98 Points of Light,,,,,,
Anthony Reznik,,,,,,
Arturo Diaz Artiles Plaza,,,,,,
Bellas Artes,,,,,,https://en.wikipedia.org/wiki/Bellas_Artes_metro_station_(Mexico_City)
Oswaldo Payá,politician,,male,1952-02-29,2012-07-22,https://en.wikipedia.org/wiki/Oswaldo_Pay%C3%A1
Soul of Miami,,,,,,
Cheryl H Cates,,,,,,
Austin D Gayne,,,,,,
Deputy Sheriff Donta Manuel and Deputy Sheriff Jonathan Wallace,,,,,,
Ira Mae WellsBruce,,,,,,
Reverend Murray Hamilton Sr,,,,,,
Private Tillman R Clark,,,,,,
Deputy William Gentry Jr,,,,,,
Michael Moskowitz,,,male,,,
United Spanish War Veterans,,,,,,https://en.wikipedia.org/wiki/United_Spanish_War_Veterans
General Bill Lundy,,,,,,
P J Langford,,,,,,
Nott Circle Roundabout,,,,,,
First Coast,,,,,,https://gl.wikipedia.org/wiki/Northeast_Florida
GeorgiaFlorida Military,,,,,,
Hays Lewis,,,,,,
Backwood,,,,,,https://en.wikipedia.org/wiki/Backwoods_Barbie
Buccaneer,,,,,,https://en.wikipedia.org/wiki/Buccaneer_(video_game)
Pierce Snowden,,,,,,
Marjorie Merriweather Post,socialite,,female,1887-03-15,1973-09-12,https://en.wikipedia.org/wiki/Marjorie_Merriweather_Post
Old Cutler Road State,,,,,,
Atlantic Beach,,,,,,"https://en.wikipedia.org/wiki/Atlantic_Beach,_Florida"
Kenneth C Mock,,,,,,
Peninsular Key,,,,,,
George Crady,politician,,male,1931-06-14,,https://en.wikipedia.org/wiki/George_Crady
Chase Coyner and Matthew Powers Memorial Roundabout,,,,,,
Deputy Sheriff Morris Fish,,,,,,
Christa McAuliffe,astronaut,,female,1948-09-02,1986-01-28,https://en.wikipedia.org/wiki/Christa_McAuliffe
Deputy Sheriff Barbara Ann Pill,,,,,,
Kyle Lee Patterson,,,,,,
Archbishop Edward A McCarthy High School,,,,,,
Coach Gwendolyn Maxwell Bridge to Ribault,,,,,,
Officer Christopher Michael Kane,,,,,,
Officer Scott Eric Bell,,,,,,
Lewis Bear Jr,,,,,,
Senior Inspector Rita Jane Hall,,,,,,
Mama Elsa,,,,,,
Deputy Sheriff Eugene Stetson Gregory,,,,,,
SSgt Carl Philippe Enis,,,,,,
Corporal James McWhorter,,,,,,
Officer Kevin Valencia,,,,,,
Lois D Martin,,,,,,
Deputy Sheriff Michael Hartwick,,,,,,
SPC Zachary L Shannon,,,,,,
Sgt Maj Thomas Richard Ric Landreth,,,,,,
Michael Scott Williams,,,,,,
Rush Limbaugh,radio personality,,male,1951-01-12,2021-02-17,https://en.wikipedia.org/wiki/Rush_Limbaugh
Dr Sally Ride,,,,,,
Jimmy Buffett,singer,,male,1946-12-25,2023-09-01,https://en.wikipedia.org/wiki/Jimmy_Buffett
Heroes,,,,,,https://en.wikipedia.org/wiki/Heroes_of_the_Storm
Sergeant Elio Diaz,,,,,,
PBSO Motorman,,,,,,
Staff Sergeant Matthew Sitton,,,,,,
Sheriff Gary S Borders,,,,,,
Master Deputy Bradley Link,,,,,,
Sergeant Karl Strohsal,,,,,,
SPC Daniel J Agami,,,,,,
Deputy William May,,,,,,
Master Patrol Officer Jesse Madsen,,,,,,
Geraldine Thompson,socialite,,female,1902-10-06,1949-01-01,https://commons.wikimedia.org/wiki/Category:Geraldine_Thompson
Harris Rosen,investor,,male,1939-09-09,2024-11-25,https://en.wikipedia.org/wiki/Harris_Rosen
Harry Frisch,,,,,,
Senator James A Sebesta,,,,,,
Congressman Lincoln DiazBalart,,,,,,
Jose Wejebe,,,,,,
Celia Cruz,singer,,female,1925-10-21,2003-07-16,https://en.wikipedia.org/wiki/Celia_Cruz
President Donald J Trump,business magnate,White Americans,male,1946-06-14,,https://en.wikipedia.org/wiki/Donald_Trump
Sonia Castro,politician,,female,,,
