OBJECTID,COUNTY,COUNTY_ID,DESIGNATIO,DESCRIPTIO,HWY_NAME,BILL,DEDICATED,EFFECTIVE_,District,Local_Name,BILL_URL,CreationDa,Creator,EditDate,Editor,MemId,Shape_Leng,LOCAL_RES,GlobalID,Shape__Length,BILL_DESCRIPTION,BILL_YEAR,wikipedia_url_sam,Does_Sam_Think_is_real,dob_sam,status,match_confidence,validated,validation_notes,summary,education,dod_sam,place_of_birth,place_of_death,gender_sam,involved_in_sports,involved_in_politics,involved_in_military,involved_in_music,Matched Name,dept_url,url,name,age,tour,badge,cause,weapon,incident_description,bio_section_raw,incident_details_raw,Clean_Name,Primary Occupation,Race,Sex,Birth Date,Death Date,Wikipedia Link,Noah_Thinks_is_Real
98,Martin,89.0,Trooper Joseph Bullock Memorial Highway,That portion of I-95 between mile markers 105 and 110 in Martin County is designated as the “Trooper Joseph Bullock Memorial Highway.”,I-95,CS/CS/SB 78,2020/07/01 05:00:00+00,2020.0,4.0,, ,, ,, ,98.0,8019.20863537,0.0,a40aba28-2144-4699-8e1a-665b11cc8e9a,9020.68115198057,,,https://en.wikipedia.org/wiki/Bill_Clinton,no,1946-08-19,Found,42.0,True,seq=4.7; last-mismatch:-4; human:+40; le:+15; fl-miss:-10; county-miss:-8; us:+5,"William Jefferson Clinton, born August 19, 1946, is an American politician who served as the 42nd President of the United States from 1993 to 2001. Prior to his presidency, he was the Governor of Arkansas for five terms and the state's Attorney General. Clinton is known for overseeing economic prosperity, signing the North American Free Trade Agreement (NAFTA), and implementing welfare reform during his tenure. He remains a prominent figure in global politics and public service post-presidency through humanitarian work and advocacy.","['Georgetown University, Bachelor of Science in Foreign Service (BSFS)', 'University of Oxford, Rhodes Scholar (attended, no degree)', 'Yale Law School, Juris Doctor (JD)']",,"Hope, Arkansas, United States",not found,male,no,yes,no,yes,Trooper Joseph Bullock,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/24396-trooper-joseph-jon-bullock,Trooper Joseph Jon Bullock,42.0,19 years,595,Gunfire,Handgun,"JOSEPH JON BULLOCK Trooper Joseph Bullock was shot and killed at approximately 10:15 while assisting a disabled vehicle on I-95 just north of the interstate rest area in Martin County. He stopped to assist the motorist whose vehicle had become stuck on a swale. He had positioned his patrol car behind the vehicle and completed paperwork for approximately one hour while the motorist waited for a tow truck to remove the vehicle. During this time Trooper Bullock had several normal interactions with the motorist. Once the tow truck driver arrived the man became upset with the cost of having the vehicle towed. He calmly walked back to Trooper Bullock’s vehicle and, without warning, drew a handgun and fatally shot him in the head. The man then attempted to shoot the tow truck driver, but his gun jammed, allowing the tow truck driver to run to safety. The tow truck driver was able to get the attention of an off-duty Riviera Beach detective who was driving into work. The detective fatally shot the subject after the man confronted him and pointed the gun at him. Trooper Bullock was a U.S. Air Force veteran and had served with the Florida Highway Patrol for 19 years. He is survived by his parents and two sisters. In December 2020, the Port Salerno post office was renamed the Trooper Joseph Bullock Building and I-95, where he was shot, was also renamed Trooper Joseph Bullock Memorial Highway.","BIO Age 42 Tour 19 years Badge 595 Military Veteran INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed Disabled Motorist, Ambush Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Shot and killed,,,,,,,,
99,Suwannee,37.0,Wesley L. Silas Memorial Highway,That portion of I-10 between the Madison County line and mile marker 275 in Suwannee County is designated as “Wesley L. Silas Memorial Highway.”,I-10,CS/CS/SB 78,2020/07/01 05:00:00+00,2020.0,2.0,, ,, ,, ,99.0,10902.1056169,0.0,a3acc583-cb24-456b-8319-04223f53067b,12627.2454348379,,,https://en.wikipedia.org/wiki/Diplo,no,1978-11-10,Found,27.0,True,seq=2.0; last-mismatch:-4; human:+40; fl-miss:-10; county-miss:-8; us:+5,"Diplo (born Thomas Wesley Pentz on November 10, 1978) is an American DJ, record producer, and songwriter known for pioneering electronic dance music (EDM) and global bass genres. He co-founded the influential record label Mad Decent and achieved worldwide fame as part of the electronic music projects Major Lazer and Jack Ü (with Skrillex). His collaborations with artists like M.I.A., Beyoncé, and Justin Bieber have earned him multiple Grammy nominations and awards, including a win for Best Dance Recording in 2016. Diplo’s work has significantly shaped modern pop and electronic music, blending global sounds with mainstream appeal.","['Temple University', ""Bachelor's Degree in Film and Media Studies"", 'University of Central Florida']",,"Tupelo, Mississippi, United States",not found,male,no,no,no,yes,Wesley L. Silas,https://www.odmp.org/agency/1275-florida-department-of-agriculture-and-consumer-services-office-of-agricultural-law-enforcement-florida,https://www.odmp.org/officer/986-officer-wesley-l-silas,Officer Wesley L. Silas,42.0,12 years,Not available,Struck by vehicle,,"WESLEY L. SILAS Officer Wesley Silas was killed after being struck by a tractor-trailer at the Agricultural Inspection Station on I-10 near Live Oak, Florida. He had stopped the truck for inspection and had just completed his paperwork, noting several suspicious items on the truck's registration. After returning the registration to the driver he walked in front of the truck to return to the inspection station when the driver began to drive forward, striking Officer Silas. The driver claimed he did not see Officer Silas walk in front of the truck. Due to a lack of evidence, no charges were ever filed against the trucker, and Officer Silas' death was ruled accidental. Officer Silas had served with the Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement for 12 years. He was survived by his mother, sister, and brother.",BIO Age 42 Tour 12 years Badge Not available INCIDENT DETAILS Cause Struck by vehicle Inspection Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Struck by vehicle,,,,,,,,
102,Hillsborough,10.0,Olympian Theresa Manuel Way,"That portion of N. Garcia Avenue between W. Palm Avenue and W. Ross Avenue in Hillsborough County is designated as ""Olympian Theresa Manuel Way.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,7.0,N. Garcia Avenue,,,,,,102.0,,0.0,6ed93e62-84dc-4b8f-a5d3-a223449aaa4c,122.751749530253,,,https://en.wikipedia.org/wiki/Michelle_Freeman,no,1969-01-01,Found,45.2,True,seq=9.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Michelle Freeman is a Jamaican former track and field athlete known for her achievements in hurdling. Born in 1969, she competed in the 100 meters hurdles, winning a gold medal at the 1997 World Championships in Athletics. Freeman also represented Jamaica in multiple Olympic Games, including the 1996 Atlanta Olympics. Her career marked her as one of Jamaica's most prominent female athletes in track and field during the 1990s.",,,Jamaica,not found,female,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
109,Lee,12.0,Coach Jeff Sommer Memorial Highway,"That portion of U.S. 41/S.R. 45/Tamiami Trail between Corkscrew Road and Coconut Road in Lee County is designated as ""Coach Jeff Sommer Memorial Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,1.0,Tamiami Trail,,,,,,107.0,,0.0,bee783d9-649c-42ad-b2fc-13c05ec38b53,4145.90964679733,,,https://en.wikipedia.org/wiki/Coleen_Sommer,no,,Found,60.3,True,seq=13.3; human:+40; fl-miss:-10; county:+8; us:+5,"Coleen Sommer is a former competitive swimmer from the United States. She gained recognition primarily for her achievements in synchronized swimming during the 1970s and 1980s. Sommer competed in national and international events, contributing to the sport's development during her career. Her exact birth and death dates, as well as broader biographical details, remain publicly undocumented in the provided content.",,,not found,not found,female,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
110,Lee,12.0,Corporal Joseph R. Bertrand Memorial Highway,"That portion of S.R. 80 between Hickey Creek Road and Carter Lane in Lee County is designated as ""Corporal Joseph R. Bertrand Memorial Highway.""",SR-80,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,1.0,Palm Beach Boulevard,,,,,,108.0,,0.0,02b200ce-429d-4cc9-9c85-d0ad89370c56,461.552580335221,W. 24th Avenue and S.W. 27th Avenue in Miami-Dade County is designated as “Manuel Capo Boulevard. W. 24th Avenue and S.W. 27th Avenue in Miami-Dade County is desinged as “Manuel Capo Boulevard.,2010.0,https://en.wikipedia.org/wiki/Ludwig_Wittgenstein,no,1889-04-26,Found,38.0,True,seq=4.3; last-mismatch:-4; human:+40; fl-miss:-10; county:+8,"Ludwig Wittgenstein was an Austrian-British philosopher born on April 26, 1889, in Vienna, Austria-Hungary. He is widely regarded as one of the most influential philosophers of the 20th century, known for his groundbreaking works in logic, language, and the philosophy of mind, including Tractatus Logico-Philosophicus and Philosophical Investigations. Wittgenstein studied engineering and later shifted to philosophy, becoming a key figure in analytic philosophy and the Vienna Circle. He died on April 29, 1951, in Cambridge, England, leaving a lasting legacy in modern philosophical thought.","['Technische Hochschule Berlin (now Technical University of Berlin), Engineering', 'University of Manchester, Aeronautical Engineering', 'University of Cambridge, Philosophy (under Bertrand Russell)']",1951-04-29,"Vienna, Austria-Hungary","Cambridge, England, United Kingdom",male,no,no,yes,no,Corporal Joseph R. Bertrand,https://www.odmp.org/agency/1281-florida-highway-patrol-florida,https://www.odmp.org/officer/1814-corporal-joseph-paul-bertrand,Corporal Joseph Paul Bertrand,46.0,16 years,Not available,Gunfire,Gun; Unknown type,"JOSEPH PAUL BERTRAND Corporal Bertrand was shot and killed on State Road 80 near Ft. Myers when he stopped a driver he suspected was under the influence. The suspect was captured in a nearby wooded area. The suspect was convicted of first degree murder and sentenced to death May 17, 1968. His conviction and sentence were later reduced to second degree murder with a life sentence. He died in prison on May 12, 2000. Trooper Bertrand had served with the Florida Highway Patrol for 16 years.",BIO Age 46 Tour 16 years Badge Not available INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs,INCIDENT DETAILS Cause Gunfire Weapon Gun; Unknown type Offender Died in prison,,,,,,,,
111,Sarasota,17.0,KMI Kentucky Military Institute Bridge,"Bascule Bridges, numbers 170169 and 170170, on U.S. Business 41/S.R. 45/Tamiami Trail in Sarasota County are designated as ""KMI Kentucky Military Instituted Bridge.""",US-41,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,1.0,Tamiami Trail,,,,,,109.0,,1.0,c45d584c-7a1c-4bb6-8344-3a6f6f0c9ba1,384.833510585147,,,https://en.wikipedia.org/wiki/Nellie_Showalter,no,1870-01-01,Found,42.0,True,seq=5.1; last-mismatch:-4; human:+40; mil:+15; fl-miss:-10; county-miss:-8; us:+5,"Nellie Showalter was an American educator and administrator born in 1870. She served as the first dean of women at the University of Arizona from 1914 to 1921, playing a pivotal role in shaping women's education. Showalter was known for her advocacy of women's rights and academic opportunities during a time of limited access. She passed away in 1955, leaving a legacy in higher education administration.","['University of Arizona', 'University of California, Berkeley']",1955-01-01,not found,not found,female,no,no,no,no,,,,,,,,,,,,,,,,,,,,
114,Levy,34.0,David W. Moss Memorial Highway,"That portion of U.S. 27A/U.S. 41/S.R. 45/S.R. 121/S.R. 500/ W. Noble Avenue between U.S. 27/U.S. 41/S.R. 45/S.R. 121/N. Main Street and U.S. 41/S.R. 45/S.R. 121/S.W. 7th Street in Levy County is designated as ""David W. Moss Memorial Highway.""",,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,2.0,W. Noble Avenue,,,,,,112.0,,1.0,a5fb6c91-8c72-42b4-b6f5-3f76d7aece27,1076.61119012892,,,Not Found,no,,Not Found,7.0,False,seq=2.5; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Madison,35.0,Joe C. Peavy Highway,"S.R. 53 between U.S. 90/S.R. 10 and the Georgia state line in Madison County is designated as ""Joe C. Peavy Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,2.0,,,,,,,113.0,,1.0,9feafbca-fbb5-4784-9469-b6d99dbf03bf,23227.0596269735,,,https://en.wikipedia.org/wiki/Madison_Bumgarner,no,1989-08-01,Found,43.0,True,seq=2.8; last-mismatch:-4; human:+40; fl-miss:-10; county:+8; us:+5,"Madison Bumgarner is an American professional baseball pitcher born August 1, 1989, in Hickory, North Carolina. He is best known for his dominant performances with the San Francisco Giants, helping the team win three World Series titles (2010, 2012, 2014). Bumgarner earned World Series MVP honors in 2014 after delivering historic postseason pitching, including a record-low 0.25 ERA. His career spans over a decade, marked by four All-Star selections and a reputation as one of MLB's most clutch postseason pitchers.",['South Caldwell High School'],,"Hickory, North Carolina, United States",not found,male,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
118,Nassau,74.0,Francis Gibbs Memorial Highway,"That portion of S.R. A1A/S.R. 105/S. Fletcher Avenue between S.R. A1A/S.R. 200/Atlantic Avenue and C.R. 105B/Simmons Road in Nassau County is designated as ""Francis Gibbs Memorial Highway.""",,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,2.0,S. Fletcher Avenue,,,,,,116.0,,1.0,356f1faf-59d2-4c7f-abcb-d45b5e14250d,5726.5802118873,,,Not Found,no,,Not Found,18.0,False,seq=3.3; last-mismatch:-4; fl:+10; county:+8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,St. Johns,78.0,Ponce de Leon Bridge,"Bridge number 780129 on U.S. 1/S.R. 5/Ponce de Leon Boulevard over San Sebastian River in St. Johns County is designated as ""Ponce de Leon Bridge.""",US-1,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,2.0,Ponce de Leon Boulevard,,,,,,119.0,,1.0,3f5784e3-e421-4ebf-9d5c-5f1ce8fc04e4,288.628837889705,Johns County is designated as “Ponce de Leon Bridge.,2014.0,,,,,,,,,,,,,,,,,,Ponce de Leon,https://www.odmp.org/agency/3780-tallahassee-police-department-florida,https://www.odmp.org/officer/10747-police-officer-ernest-kearns-ponce-de-leon,Police Officer Ernest Kearns Ponce de Leon,40.0,Not available,647,Gunfire,Handgun,"ERNEST KEARNS PONCE DE LEON Police Officer Ernest Ponce de Leon was shot and killed while assisting another officer during a suspicious vehicle call at the intersection of Levy Avenue and Lake Bradford Road. The occupants of the vehicle had claimed that their identification was packed in luggage in the trunk. One of the occupants was accompanied by the other officer to the trunk while Officer Ponce de Leon covered them. Suddenly two of the men pulled out handguns and opened fire, striking Officer Ponce de Leon, who was not wearing a vest, in the chest. One of the suspects was shot and wounded by the other officer. All of the suspects were apprehended as backup officers arrived on the scene. It was learned that the suspects had escaped from the Maryland Department of Corrections several days prior. The 33-year-old suspect who shot Officer Ponce de Leon was sentenced to death and the others were sentenced to lengthy prison terms. The suspect sentenced to death died in prison on October 27th, 2015, of natural causes. Officer Ponce de Leon was survived by his son and daughter.","BIO Age 40 Tour Not available Badge 647 INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison Escapee, Suspicious Vehicle Powered by Esri Zoom In Zoom Out Expand LODD Mapping FAQs",INCIDENT DETAILS Cause Gunfire Weapon Handgun Offender Died in prison,Ponce de Leon,,,,,,https://commons.wikimedia.org/wiki/Category:Ponce_de_Le%C3%B3n_(surname),False
126,Okaloosa,57.0,Brigadier General Thomas 'Mark' Stogsdill Memorial Overpass,"Bridge number 570175 on 77th Special Forces Way over S.R. 85 in Okaloosa County is designated as ""Brigadier General Thomas 'Mark' Stogsdill Memorial Overpass.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,3.0,77th Special Forces Way,,,,,,124.0,,0.0,880102db-0dc9-4a15-8aa1-4f9668d74621,89.9000352050907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Okaloosa,57.0,C. Wayne Ansley Highway,"That portion of S.R. 85/N. Ferdon Boulevard between S.R. 10/U.S. 90 and C.R. 188/Airport Road/Old Bethel Road in Okaloosa County is designated as ""C. Wayne Ansley Highway.""",SR-85,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,3.0,N. Ferdon Boulevard,,,,,,128.0,,1.0,7f752553-1746-4f81-9067-b7bbd4edc276,4555.82500760978,E. 105th Street in Miami Shores Village in Miami-Dade County is designated as “Hugh Anderson Boulevard.,2012.0,https://en.wikipedia.org/wiki/Jim_DeBerry,no,1926-01-01,Found,47.0,True,seq=3.1; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Jim DeBerry was an American politician and educator born in 1926. He served as a member of the North Carolina General Assembly, representing the 21st House district from 1975 to 1992. DeBerry was known for his advocacy in education reform and civil rights during his tenure. He passed away in 2007, leaving a legacy in North Carolina's political and educational landscape.","[""North Carolina Central University, Bachelor's degree"", ""North Carolina Central University, Master's degree""]",2007-01-01,"Durham, North Carolina, United States","Durham, North Carolina, United States",male,no,yes,no,no,,,,,,,,,,,,,,,,,,,,
132,Santa Rosa,58.0,Sheriff Wendell Hall Highway ,"That portion of U.S. 90 from Chumuckla Highway to Woodbine Road in Santa Rosa County is designated as ""Sheriff Wendell Hall Highway.""",SR-90,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,3.0,Caroline Street,,,,,,130.0,,0.0,58efc7dc-c347-46f1-9b40-a86565ab7cb9,1852.4405518201,W. 27th Avenue and N.W. 25th Avenue in Miami-Dade County is designated as “Margaret Haines Street.,2012.0,Not Found,no,,Not Found,17.0,False,seq=1.7; last-mismatch:-4; le:+15; fl:+10; county-miss:-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Walton,60.0,"Dr. Martin Lutther King, Jr., Avenue","That portion of U.S. 90/S.R. 10 between N. 5th Street and N. Norwood Road in Walton County is designated as ""Dr. Martin Luther King, Jr., Avenue.""",US-90,"CS/CS/SB 
820",2014/07/01 05:00:00+00,2014.0,3.0,,,,,,,132.0,,1.0,8695c99d-fa26-41cd-8b41-bb0bd5af4207,2700.53314016659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Orange,75.0,First Class Deputy Norman Lewis Memorial Highway,"That portion of C.R. 431/Pine Hills Road between Silver Star Road and S.R. 50 in Orange County is designated as ""First Class Deputy Norman Lewis Memorial Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,5.0,Pine Hills Road,,,,,,134.0,,1.0,2a75b546-d5fd-4c89-b19c-0469fb3cad6f,3316.63020812778,,,https://en.wikipedia.org/wiki/Markeith_Loyd,no,1985-01-01,Found,33.0,True,seq=3.6; last-mismatch:-4; le:+15; fl:+10; county:+8,"Markeith Loyd is an American man known for his involvement in high-profile criminal cases in Florida. Born in 1985, he gained notoriety for the 2016 killing of Orlando Police Lieutenant Debra Clayton and the 2017 death of his pregnant ex-girlfriend, Sade Dixon. Loyd was the subject of a massive manhunt before being captured in January 2017 after a nine-day search. His case drew national attention due to its violent nature and the extensive law enforcement response it provoked.",,,not found,not found,male,no,no,no,no,,,,,,,,,,,,,,,,,,,,
140,Orange,75.0,Bessie Coleman Street,"That portion of S.R. 526/Washington Street/Robinson Street between S.R. 423/John Young Parkway and C.R. 526/Crystal Lake Drive in Orange County is designated as ""Bessie Coleman Street.""",SR-526,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,5.0,Washington Street,,,,,,138.0,,1.0,94693c33-c0bb-4441-bdc8-886f319d89d5,7931.55464937302,,,Not Found,no,,Not Found,7.0,False,seq=3.3; last-mismatch:-4; fl:+10; county-miss:-8; us:+5,,,,,,,,,,,,,,,,,,,,,,,Bessie Coleman,aircraft pilot,African Americans,female,1892-01-26,1926-04-30,https://en.wikipedia.org/wiki/Bessie_Coleman,True
143,Miami‐Dade,87.0,Carmelau Monestime Street,"That portion of N.W. 2nd Avenue between N.W. 103rd Street and N.W. 111th Street in Miami-Dade County is designated as ""Carmelau Monestime Street.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,N.W. 2nd Avenue,,,,,,141.0,,1.0,828a723c-7ea7-4e27-aaf0-32bfeb9ae229,918.774374282805,,,https://en.wikipedia.org/wiki/Carmelau_Monestime,yes,,Found,67.0,True,seq=20.0; human:+40; fl:+10; county-miss:-8; us:+5,"Carmelau Monestime was a notable figure whose biographical details are not fully documented in the provided content. No specific birth or death dates, profession, or notable achievements are mentioned in the available information. The Wikipedia page lacks substantial content, making it difficult to ascertain his historical significance. Further details would be required to provide a comprehensive summary of his life and contributions.",,,not found,not found,not found,no,no,no,no,,,,,,,,,,,,,Carmelau Monestime,radio personality,,male,1931-04-06,2016-01-16,https://en.wikipedia.org/wiki/Carmelau_Monestime,True
144,Miami‐Dade,87.0,Dr. Clifford Garfield O’Connor Street,"That portion of N.W. 32nd Avenue between N.W. 87th Street and N.W. 83rd Street in Miami-Dade County is designated as ""Dr. Clifford Garfield O'Connor Street.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,N.W. 32nd Avenue,,,,,,142.0,,0.0,c9ce3f4e-b43f-4739-b7eb-aad35abdca62,459.099457452131,,,https://en.wikipedia.org/wiki/Robin_Williams,no,1951-07-21,Found,42.0,True,seq=3.0; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Robin Williams was an American actor and comedian born on July 21, 1951, in Chicago, Illinois. He rose to fame in the late 1970s with his role as Mork in the TV series Mork & Mindy and became a global icon for his improvisational skills and energetic performances. Known for films like Good Will Hunting, Dead Poets Society, and Mrs. Doubtfire, he won an Academy Award, five Grammys, and numerous other accolades. Williams died by suicide on August 11, 2014, in Paradise Cay, California, leaving behind a legacy as one of the most beloved entertainers of his generation.","['Redwood High School', 'Claremont McKenna College (dropped out)', 'College of Marin', 'Juilliard School, Drama Division (BFA, 1973)']",2014-08-11,"Chicago, Illinois, United States","Paradise Cay, California, United States",male,no,no,no,yes,,,,,,,,,,,,,,,,,,,,
145,Miami‐Dade,87.0,Jessie Trice Way,"That portion of 27th Avenue between 54th Street and 215th Street in Miami-Dade County is designated as ""Jessie Trice Way.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,N.W. 27th Avenue,,,,,,143.0,,1.0,ee70d846-9376-404b-8892-bbb88316ad5a,18309.963448062,,,https://en.wikipedia.org/wiki/Lee_Roy_Selmon,no,1954-10-20,Found,48.7,True,seq=7.7; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Lee Roy Selmon was born on October 20, 1954, in Eufaula, Oklahoma, and died on September 4, 2011, in Tampa, Florida. He was a Hall of Fame defensive end who played for the Tampa Bay Buccaneers (1976–1984) and Oklahoma Sooners, earning six Pro Bowl selections and three First-Team All-Pro honors. Selmon became the first Buccaneer inducted into the Pro Football Hall of Fame (1995) and later served as athletic director at the University of South Florida. His legacy endures as a pioneer in Tampa Bay sports and a revered figure in college football history.","['University of Oklahoma', ""Bachelor's degree in Education"", 'University of South Florida (honorary doctorate)']",2011-09-04,"Eufaula, Oklahoma, USA","Tampa, Florida, USA",male,yes,no,no,no,,,,,,,,,,,,,,,,,,,,
146,Miami‐Dade,87.0,Luis Fernando Brande Street,"That portion of S.W. 22nd Street between S.R. 933/S.W. 12th Avenue and S.W. 13th Avenue in Miami-Dade County is designated as ""Luis Fernando Brande Street.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,S.W. 22nd Street,,,,,,144.0,,0.0,debe9a71-ee44-4ef1-9c06-258aef3534bf,194.518956951927,,,Not Found,no,,Not Found,0.0,False,seq=4.7; last-mismatch:-4; fl-miss:-10; county-miss:-8; us:+5; nobility:-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Miami‐Dade,87.0,Ralph Sanchez Way,"That portion of U.S. 1/U.S. 41/S.R. 5/Biscayne Boulevard between U.S. 1/U.S. 41/S.R. 5/S.E. 2nd Street and N.E. 3rd Street in Miami-Dade County is designated as ""Ralph Sanchez Way.""",,CS/CS/SB 820,2014/07/01 05:00:00+00,2014.0,6.0,Biscayne Boulevard,,,,,,145.0,,0.0,4fc0c317-d42e-4e63-8f71-cea2792280e5,575.3965546865,E. 3rd Street in Miami-Dade County is designated as “Historic Biscayne Boulevard.,2010.0,https://en.wikipedia.org/wiki/Jaime_S%C3%A1nchez_%28actor%29,no,1938-02-26,Found,48.3,True,seq=12.3; last-mismatch:-4; human:+40; fl:+10; county-miss:-8,"Jaime Sánchez was a Mexican-American actor born on February 26, 1938, best known for his role as Detective Joe Santos in the 1970s television series The Rockford Files. He began his career in the 1960s, appearing in films like The Wild Bunch (1969) and The Magnificent Seven Ride! (1972), often portraying tough, authoritative characters. Sánchez was a prominent figure in Hollywood for over three decades, contributing to both film and television with a strong presence in Westerns and crime dramas. He passed away on January 18, 2023, leaving behind a legacy as one of the first Mexican-American actors to achieve mainstream success in American media.",,2023-01-18,"Brooklyn, New York, United States","Los Angeles, California, United States",male,no,no,no,no,,,,,,,,,,,,,Ralph Sanchez,businessperson,,male,1948-01-01,2013-01-01,https://en.wikipedia.org/wiki/Ralph_Sanchez,True
148,Miami‐Dade,87.0,"Robert ‘Bobby’ L. Parker, Sr., Memorial Highway","That portion of U.S. 441/S.R. 7 between N.W. 155th Lane and N.W. 151st Street in Miami-Dade County is designated as ""Robert 'Bobby' L. Parker, Sr., Memorial Highway.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,,,,,,,146.0,,0.0,a3b33bea-0cef-45d9-8a59-377422256543,541.444054168377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Miami‐Dade,87.0,Robert L. Shevin Memorial Boulevard,"That portion of Miami Avenue between N.E. 5th Street and U.S. 41/S.R. 90/S.E. 7th Street in Miami-Dade County is designated as ""Robert L. Shevin Memorial Boulevard.""",,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,Miami Avenue,,,,,,147.0,,0.0,e3849743-e3d4-4423-9ca8-719836437c8a,2029.73115078084,,,https://en.wikipedia.org/wiki/Bob_Graham,no,1936-11-09,Found,55.2,True,seq=6.2; last-mismatch:-4; human:+40; fl:+10; county-miss:-8; us:+5,"Daniel Robert 'Bob' Graham was born on November 9, 1936, and is an American politician who served as the 38th Governor of Florida from 1979 to 1987. He later represented Florida in the U.S. Senate from 1987 to 2005, becoming known for his bipartisan approach and focus on education and environmental issues. Graham also chaired the Senate Select Committee on Intelligence and was a key figure in national security discussions post-9/11. His political career spanned over four decades, leaving a lasting impact on Florida's and the nation's legislative landscape.","['University of Florida, B.S. in Political Science', 'Harvard Law School, J.D.']",,"Coral Gables, Florida, United States",not found,male,no,yes,yes,no,,,,,,,,,,,,,Robert L. Shevin,lawyer,,male,1934-01-19,2005-07-11,https://en.wikipedia.org/wiki/Robert_L._Shevin,True
150,Miami‐Dade,87.0,Senator Paul B. Steinberg Bridge,"Bridge number 870054 on S.R. 112/W. 41st Street/Arthur Godfrey Road in Miami Beach is designated as the ""Senator Paul B. Steinberg Bridge.""",SR-112,CS/CS/SB 368,2017/07/01 05:00:00+00,2017.0,6.0,W. 41st Street,,,,,,148.0,,0.0,2731f611-0c0b-4aff-96a7-8f5ed4b68617,52.1644830212396,S.W. 22nd Avenue between Kirk Street and Tigertail Avenue in Miami-Dade County as “Mama Elsa Street.,2023.0,https://en.wikipedia.org/wiki/Paul_B._Steinberg,yes,1924-01-01,Found,42.0,True,seq=16.2; pol:+15; fl:+10; county-miss:-8; us:+5,"Paul B. Steinberg was an American attorney and politician known for his service in the California State Assembly. Born in 1924, he served in the U.S. Army during World War II before pursuing a legal and political career. Steinberg was elected to the California State Assembly in 1958, representing the 57th district, and became a prominent figure in state politics. His contributions included advocacy for civil rights and education reform during his tenure in office.","[""University of California, Los Angeles (UCLA), Bachelor's degree"", 'Southwestern Law School, Juris Doctor (J.D.)']",,"Los Angeles, California, United States",not found,male,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,
