OBJECTID,MEMORIAL_N,DESCRIPTIO,YEAR,INCIDENT_YEAR,COUNTY,HIGHWAY,MAINTENANCE_DISTRICT,NAME,LOCATION,TITLE_69_STATUTE,LAW_COMMISSION_ITEM,HISTORICAL_NOTES,WORKING_DETAILS,NEVER_FORGOTTEN,MEMORIAL_CATEGORY,LAST_EDITED_USER,LAST_EDITED_DATE,HISTORICAL_NOTES_2,YORN,HISTORICAL_NOTES_3,HISTORICAL_NOTES_4,Shape__Length
141,Jim Thorpe Mem Hwy,A section of SH-51 between SH 18 west of Yale and US 64 near Keystone Dam.,1975,,Creek,SH 51,8,Jim Thorpe Memorial Highway,A section of SH-51 between SH 18 west of Yale and US 64 near Keystone Dam.,,"H. C. Res. 1028, Okla. Session Laws 1975, pg. 767; Commission Item 174, 9‐2‐75.","Mr. Thorpe was a Sac and Fox Indian who won gold medals in the 1912 Olympics.  He played pro football and professional baseball.  Born southwest of Prague, Indian Territory, on May 28, 1887, and died March 28, 1953.  He had lived in Yale, Oklahoma, from ",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,1917 to 1923.,1,,,0.68226939833462
142,Jimmy Harrel Highway,A section of SH 34 beginning at the Custer/Dewey County Line extending north to the Canadian River Bridge.,2012,,Dewey,SH 34,5,Jimmy Harrel Highway,A section of SH 34 beginning at the Custer/Dewey County line extending north to the Canadian River bridge.,1698.130.,"House Bill 3108, c. 305, § 14, Okla. Session Laws 2012; Commission Item 92(I, b, 10), 7‐2‐12.",Jimmy Harrel was appointed to serve a nine‐year term as a State Regent for Higher Education in May 1999 and was reappointed in 2008. He was the CEO and chairman of the Board of Directors of the Bank of Western Oklahoma in Elk City.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.208659603139921
143,Jodie S. Moad,The section of SH-47 beginning at Roll in Roger Mills County extending east to the Dewey County Line.,1963,,Roger Mills,SH-47,5,The Jodie S. Moad Highway,The section of SH-47 beginning at Roll in Roger Mills County  extending east to the Dewey County Line.,1609,"S. J. Res. 552, Okla. Session Laws 1963;  Commission Item 156, 7‐1‐63.","Served as an Oklahoma State Representative from 1951 to 1952, 1955 to 1962.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.351945515121242
144,Jody Latimer Memorial Highway,Between SH53 and Temple.,2004,,Cotton,SH-65,7,Jody Latimer Memorial Highway,Between SH 53 and Temple. ,1669,"Senate Bill 1480, c. 412, § 12, Okla. Session Laws 2004; Commission Item 125 (B, 12), 7‐6‐04.",A FBI agent who was killed in the line of duty.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0876402530333997
145,John C. Blaylock Memorial Highway,From the South Canadian River Bridge near Calvin and extending north 5.00 miles,2004,,Hughes,US 75,3,John C. Blaylock Memorial Highway,From South Canadian River Bridge near Calvin and extending five miles north.,1664,"Senate Bill 1480, c. 412, §6, Okla. Session Laws 2004;  Commission Item 125 (B, 6), 7‐6‐04.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.07234298983124
146,John Dahl Ave,The Pawhuska bypass on the east side of Pawhuska.,1985,,Osage,SH 99,8,John Dahl Avenue,The Pawhuska bypass on the east side of Pawhuska.,,"Commission Item 110‐A, 6‐3‐85",Served as an Oklahoma State Senator for District 10 from 1971 to 1990.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0581173891620374
147,"John Miskelly, Jr. Memorial Highway",The section beginning at Anderson Road extending to Harrah Road.,1992,,Oklahoma,US 62,4,"John Miskelly, Jr. Memorial Highway",The section beginning at Anderson Road extending to Harrah Road.,,"H. C. Res. 1059, Okla. Session Laws 1992;  Commission Item 121‐A, 7‐6‐93.","Served as an Oklahoma State Representative from 1965 until his death on June 9, 1977.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.162706468613579
148,John N. ""Happy"" Camp Mem. Hwy,The section within the borders of Garfield County.,1996,,Garfield,SH-74,4,John N. Happy Camp Memorial Highway,The section within the borders of Garfield County.,1627,"S. J. Res. 35, § 1, Okla. Session Laws 1996, pg. 1876;  Commission Item 139‐F, 8‐5‐96.","Served in the Oklahoma State House of Representatives
from 1943 to 1962 and in the United States House of Representatives from 1968 to 1974.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.429134129343357
149,Judy Davis Mem. Hgwy,Between Sunset Corner west of Spiro and the Poteau River Bridge,2006,,LeFlore,US 271 & SH 9,2,Judy Davis Memorial Highway,Between Sunset Corner west of Spiro and Poteau River Bridge. ,"1690, 1694","Senate Bill 1074, c. 152, § 7, Okla. Session Laws 2006;
House Res. 3019, c. 150, § 3, Okla. Session Laws 2006;
Okla. Statutes Title 69, § 1694; Commission Item 99 (B4), 6‐5‐06.  Commission Item 99 (A, 2), 6‐5‐06.","Served as the Director of the Spiro Chamber of Commerce from March, 1993 to August, 1999.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.183017937258112
151,Keith Leftwich Memorial Loop,Between I-35 and I-44 in Oklahoma City.,2004,,Oklahoma,I‐240 & SH 3,4,Keith Leftwich Memorial Loop,Between I‐35 and I‐44 in Oklahoma City.,1655,"Senate Bill 969, c. 481, § 1, Okla. Session Laws 2004; Commission Item 125 (A, 1), 7‐6‐04.","Served as an Oklahoma State Representative for District 91 from 1983 to 1988, and as an Oklahoma State Senator for District 44 from 1991 until he died in 2003.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0799274632233519
152,Kit Carson Hwy,Across Oklahoma.,1953,,Statewide,US-64,6,Kit Carson Highway,Across Oklahoma. ,,"Commission Item 151, 4‐6‐53.","Referred to Legislature for consideration; further action unknown.  American frontiersman, fur trapper, Indian agent, and Brigadier General in the New Mexico Volunteers.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,10.1262280690447
153,Korean War Veterans Memorial Highway Purple Heart Trail,Beginning at the I-35 and I-40 Interchange westbound to the Texas State Line. The addition of the Purple Heart Trail in 2003.,1998,,Western half of the state,I‐40,"4, 5, 7",Korean War Veterans Memorial Highway Purple Heart Trail ,Beginning at the I‐35 and I‐40 Interchange westbound to the Texas State Line. The addition of the Purple Heart Trail in 2003.,1629,"Senate Bill 380, c. 116, § 1, Okla. Session Laws 2003; Senate Bill 854, c. 337, § 1, Okla. Session Laws 1998, pg. 1435;  Commission Item 131‐A, 7‐6‐98.                                      Commission Item 91‐C, 6‐2‐03.",Such names shall serve as an expression of appreciation for the entire state of Oklahoma and to memorialize the men and women who served in the wars. The Department of Transportation shall cause suitable permanent markers to be placed and maintained,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,2.63715813267106
154,Lake Hefner Parkway,The section between NW 70th Street and Memorial Road (Kilpatrick Turnpike) in Oklahoma City.,1992,,Oklahoma,SH 74,4,Lake Hefner Parkway,The section between NW 70th Street and Memorial Road (Kilpatrick Turnpike) in Oklahoma City.,,"Commission Item 45, 4‐6‐92.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0705852519119803
155,Lakeshore Parkway,Across Oklahoma.,1989,,Statewide,US 69,2,Lakeshore Parkway,Across Oklahoma. ,,"Commission Item 37, 2‐6‐89; Commission Item 80, 4‐3‐89.",Promotional designation sponsored by the Department of Tourism.  ,Department of Tourism to pay cost of signs and ODOT to select location of signs in accordance with uniform signing code.,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,3.98599134433186
156,Lance Corporal Anthony Grundy Memorial Highway,Section of I 40 beginning at the west municipal limits of Henryetta extedning east approximately 3 miles to the Indian Nation Turnpike in Okmulgee County.,2016,,Okmulgee,I-40,1,Lance Corporal Anthony Grundy Memorial Highway,A section of I-40 beginning at the  west municipal limits of Henryetta extending east approximately 3 miles to the Indian Nation Turnpike.,1698.246.,"Laws 2016, HB 2268, c. 239, § 14, eff. November 1, 2016 Commission Item 159, 11-9-15",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0624288431356853
157,Larry Wade Memorial Highway,The section of SH 6 between I-40 and SH 152.,2011,,Beckham,SH 6,5,Larry Wade Memorial Highway,The section of SH 6 between I‐40 and SH 152.,1698.104.,"Senate Bill 195, c. 343, § 6, Okla. Session Laws 2011; Commission Item 92(d, 6), 7‐11‐11",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.371193107779463
158,LCDR Clarence O. Smokey Tolbert,From SH 99 to SH 1.,2004,,Johnston,SH 7,3,LCDR Clarence O. 'Smokey' Tolbert Memorial Highway,"From SH 99 to SH 1.
",,"H. C. Res. 1053, Okla. Session Laws 2004;  Commission Item 104‐A, 6‐7‐04.",Served as a Navy pilot who was killed in action during the Vietnam War and was classified as Missing In Action for sixteen years.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.182577477067987
159,LCpl Lamont N. Wilson Memorial Highway,The section between mile marker 42 and mile marker 44.,2014,,Comanche,I‐44,7,LCpl Lamont N. Wilson Memorial Highway,The section of I-44 between mile marker 42 and mile marker 44.,1698.205.,"Senate Bill 1524, c. 369, § 1, Okla. Session Laws 2014; 
Commission Item 146 (II, e), 11‐3‐2014.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0298103080268117
160,Master Sergeant Houston K. Blackburn Memorial Highway,"In Atoka County, from the Atoka City Limits to the Johnston County Line.",2010,1945,"Atoka, Johnston",SH 7,"2, 3",Master Sergeant Houston K. Blackburn Memorial Highway,"In Atoka County, from the Atoka City Limits to the Johnston County Line.",1698.76.,"House Bill 2696, c. 232, § 1, Okla. Session Laws 2010; Commission Item 73(c, 1), 6‐7‐10.","Master Sergeant Blackburn was a World War II veteran. He died January 23, 1945, in action on Luzon, Philippine Islands.",The bronze plaques have been stolen.,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.25916257470213
161,Matthew Evans/Jeffery Rominger Mem. Highway,From I-44 EB to junction of I-35 & I-40 in Oklahoma City,2004,,Oklahoma,I‐40,4,Matthew Evans/Jeffery Rominger Memorial Parkway,From I‐44 eastbound to junction of I‐35 & I‐40 in Oklahoma City. ,1659,"Senate Bill 1480, c. 412, § 1, Okla. Session Laws 2004; Commission Item 125 (B, 1), 7‐6‐04.",Trooper Evans and Officer Rominger lost their lives in the line of duty while protecting and serving the people of Oklahoma. ,Trooper Matthew Evans was an outstanding Oklahoma Highway Patrol Trooper who was killed in the line of duty. Officer Jeffery Rominger was an Oklahoma City Police Officer who was killed in the line of duty.,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0845054518951454
162,Mazzebeth Turner Memorial Highway,The section between I-35 at exit 51 and exit 47.,2009,,Murray,US 77,7,Mazzebeth Turner Memorial Highway,The section between I‐35 at exit 51 and exit 47.,1698.50.,"House Bill 1769, c. 150, § 8, Okla. Session Laws 2009;
 Commission Item 94(a, 8), 6‐22‐09.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0678803350400199
163,McIntosh County Korean Veterans Mem. Hwy.,Beginning south of I-40 to the South Canadian River in McIntosh County.,2002,,McIntosh,US 69,1,McIntosh County Korean Veterans Memorial Highway,Beginning south of I‐40 extending to the South Canadian River.,1646,"Senate Bill 1623, c. 205, § 25, Okla. Session Laws 2002; Commission Item 95‐A‐5, 6‐3‐02.",Dedicated to Korean Veterans from McIntosh County.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.25157967843575
166,Merle D. Swineford Highway,A section of US 283 beginning in Laverne and extending south to US 412.,2012,,Harper,US-283,6,Merle D. Swineford Highway,A section of US 283 beginning in Laverne From Laverne and extending south to US 412.,1698.145.,"Senate Bill 1320, c. 309, § 7, Okla. Session Laws 2012; Commission Item 92(I, c, 9),7‐2‐12.",Served on the Red Carpet Country Board of Directors.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0737001917916724
168,Mickey Mantle Mem. Highway,Between the junction of SH 82 & SH 20 N. of Spavinaw and Indian Srings Rd. S. of Spavinaw,2004,,Mayes,"SH 82 &
SH 20",8,Mickey Mantle Memorial Highway,Between junction of SH 82 & SH 20 north of Spavinaw and Indian Springs Road south of Spavinaw.,,"S. C. Res. 60, Okla. Session Laws 2004; Commission Item 104‐B, 6‐7‐04.","One of the greatest major league baseball players of all time, and was inducted into the Baseball Hall of Fame in 1974.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0414985833824213
169,Monte John Tucker Memorial Highway,Seciton of SH 58 beginning 1 mile east of SH 11 extending east to Byron in Alfalfa County.,2016,,Alfalfa,SH 58,6,Monte John Tucker Memorial Highway,The section of SH 58 beginning 1 mile east of SH 11 extending east to Byron.,1698.233,"Laws 2016, SB 1490, c. 380, § 4, emerg. eff. July 1, 2016 Commission Item 92, 7-11-16",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.043618263424955
172,Nancy Randolph Davis Memorial Highway,Section of I-35 beginning one mile south of SH-51 extending north for two miles in Payne County.,2018,,Payne,I-35,4,Nancy Randolph Davis Memorial Highway,A section of I-35 beginning one mile south of SH 51 and extending north for two miles.,1698.286.,"Laws 2018, SB 1490, c. 56, § 5, eff. November 1, 2018.       Commission Item 112, 9-10-2018.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0298535666516181
173,Nathan Boone Hwy,From Fort Gibson north to the Fort Gibson Dam.,1955,,Muskogee,SH-80,1,Nathan Boone Highway,From Fort Gibson north to the Fort Gibson Dam.,,"Commission Item 485, 7‐13‐55.",Captain in the Army who led the 1843 Exploratory Expedition of Western Prairies.  Son of the frontiersman Daniel Boone.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0691392499681303
174,"Navy Petty Officer Third Class Doyle W. Bollinger, Jr., Overpass",Over US 59 Business over US 59 in Poteau.,2005,,LeFlore,US 59 Bus.,2,"Navy Petty Officer Third Class Doyle W. Bollinger, Jr., Overpass",On US 59 Business over US 59 in Poteau. ,1686,"House Res. 1310, c. 157, § 7, Okla. Session Laws 2005; Commission Item 103 (B, 7), 6‐6‐05.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,,,,0.0650419131070268
175,Norman A. Lamb Mem. Hwy,"Beginning from I-35 to SH 74 in Noble and Garfield Counties,",2002,,"Noble, Garfield",US-412,4,Norman A. Lamb Highway,Beginning from I‐35 to SH 74 in Noble and Garfield Counties.,,"H. C. Res. 1080, Okla. Session Laws 2002;  Commission Item 165‐B, 10‐7‐02.",Served as an Oklahoma State Senator for District 19 from 1970 to 1988.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.259582997014562
176,Northwest Passage Historical Heritage Hwy,Governor George Nigh's Northwest Passage Signs 2002 Between the State Capitol at Oklahoma City and Colorado State line north of Boise City.,1981,,Northwestern Oklahoma,SH 3,,Northwest Passage,"Governor George Nigh's Northwest Passage Signs
Between the State Capitol at Oklahoma City and the Colorado State Line north of Boise City.",,"H. C. Res. 1067, Okla. Session Laws 2002;  Commission Item 18 (e), 2‐2‐81;  Commission Item 165‐A, 10‐7‐02.","In 2002, signs were placed on the existing Northwest Passage signs indicating Governor George Nigh's contributions to the funding, construction, and dedication of the Northwest Passage. George Nigh served as an Oklahoma State Representative from 1951",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,"to 1958 and introduced a bill that changed the Oklahoma State Song to what it is today.  He became the youngest Lieutenant Governor in the State's history in 1958 and was elected again in 1966, 1970, and 1974.  Served for nine days in 1963 as the 17th ",1,"Governor of Oklahoma.  Served as the 22nd Governor of Oklahoma from January 3, 1979, to 1986.",,5.71653823573957
177,Officer Danny Martinez Memorial Highway,From US 271/US270 Junction at Wister west to US 271/US 270 Junction at Caston,2007,,LeFlore,US 271 & US 270,2,Danny Martinez Memorial Highway,From US 271/US 270 Junction at Wister west to US 271/US 270 Junction at Caston.,1698.9.,"Senate Bill 533, c. 150, § 3, Okla. Session Laws 2007; Commission Item 106 (4, c), 7‐16‐07.","A Fort Smith Police Official was killed in the line of duty on March 23, 2007, in Fort Smith, Arkansas.  He had served as Police Chief in Wister, Oklahoma, and on the police force at Panama and Heavener, Oklahoma.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.109937750543609
178,Officer Justin Terney Memorial Highway,Section of US 177 beginning at Benson Park Road extending south to Tucker Road near Tecumseh in Pottawatomie County.,2017,,Pottawatomie,SH 177,3,Officer Justin Terney Memorial Highway,A section of US 177 beginning at Benson Park Road extending south to Tucker Road near Tecumseh.,1698.265.,"Laws 2017, SB 166, c. 311, § 2, eff. November 1, 2017 Commission Item 129, 10-2-2017.           ",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0649873815244393
179,Officer Larry W. Cantrell and Mr. Charles L. Cantrell Memorial Highway,A section of SH 66 beginning at 96th Street (Hilton Rd.) in Sapulpa extending south to 100th Street.,2010,,Creek,SH 66,8,Officer Larry W. Cantrell and Mr. Charles L. Cantrell Memorial Highway,A section of SH 66 beginning at 96th Street (Hilton Rd.) in Sapulpa extending south to 100th Street. ,1698.64.,"Senate Bill 1785, c. 158, § 1, Okla. Session Laws 2010; Commission Item 73(i), 6‐7‐10.","Officer Cantrell of the Sapulpa, Oklahoma Police Force, and his father, Charles Cantrell, were killed in an automobile accident on July 31, 2005.  Both were riding in Officer Cantrell's patrol car.   His father was participating in a ride‐along.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0072257078732558
180,Officer Nathan B Graves Memorial Highway,Section of SH 99 beginning at the Payne/Lincon county line extending south to SH 66 in Stroud in Lincoln County.,2017,,Lincoln,SH 99,3,Officer Nathan B. Graves Memorial Highway,A section of SH 99 beginning at the Payne/Lincoln county line extending south to SH 66 in Stroud.,1698.258.,,,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.193592786692801
181,OHP Captain Pete Norwood Memorial Highway,Section between Anadarko and Verden.,2013,,Caddo,US-62,7,OHP Captain Pete Norwood Memorial Highway,The section between Anadarko and Verden. ,1698.193.,"Senate Bill 418, c. 372, § 11, Okla. Session Laws 2013; Commission Item 154 (I, d), 11‐5‐2013.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.125443218413951
182,OHP Lt. J. C. Burris Memorial Highway,Between I-35 and the Lincoln County Line,2008,2006,Lincoln,SH 105,3,OHP Lt. J.C. Burris Memorial Highway,Between I‐35 and the Lincoln County Line.,1698.38.,"Senate Bill 1155, c. 157, § 7, Okla. Session Laws 2008; Commission Item 87 (2, g), 6‐2‐08.","An Oklahoma Highway Patrol Trooper, who promoted traffic safety with such campaign as the ""Click It or Ticket"" seatbelt program of which he appeared in commercials and on posters.  Has received the National Trooper of the Year Award in 1995 and the",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.250964103174943
183,LCPL Trevor A Roberts Memorial Highway,Section of I 44 beginning at Southwest 149th Street extending north to Southwest 119th Street in Oklahoma City in Cleveland County.,2017,,Oklahoma,I-44,3,LCPL Trevor A. Roberts Memorial Highway,A section of I-44 beginning at Southwest 149th Street extending north to Southwest 119th Street in Oklahoma City.,1698.261.,"Laws 2017, SB 642, c. 301, § 1, eff. November 1, 2017 Commission Item 129, 10-2-2017.           ",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0309362927586407
184,Leon Sherrer Highway,From Waldon Drive in Durant extending north to Alabama Street.,2009,,Bryan,US-69 BUS.,2,Leon Sherrer Highway,From Waldon Drive in Durant extending north to Alabama Street. ,1698.54.,"Senate Res. 54, Okla. Session Laws 2009;
House Bill 1769, c. 150, § 12, Okla. Session Laws 2009; Commission Item 94(a, 12), 6‐22‐09.","Owned Sherrer's Restaurant in Durant since 1948.  Served as Assistant Secretary of the Oklahoma School Land Commission, Deputy Director, and then Director of Training and Education for the Oklahoma Civil Defense Agency.  Served on the Durant City Council ",,,,OKDOT_GIS,12/10/2025 2:36:50 PM, and as Mayor of Durant.  Served on the Oklahoma State Small Business Council and the Board of the Substate Planning District Southern Oklahoma Development Association.  Director of the Oklahoma Restaurant Association for 39 years.  He passed away on ,1,"March 28, 2014.",,0.0493398412473266
185,Lt. Col. Ernest Childers Mem. Hwy,Beginning from the junction with SH 51B in Coweta and extending south 1.8 miles.,2002,,Wagoner,SH 72,1,Lt. Col. Ernest Childers Highway,Beginning from the junction with SH 51B in Coweta and extending south 1.8 miles.,,"S. C. Res. 87, Okla. Session Laws 2002; Commission Item 114‐H, 7‐1‐02.","Military hero in World War II. Recipient of the Congressional Medal of Honor, April 8, 1944.  He died March 17, 2005.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0267718593555454
186,Lt. Lowry Douglas Durington Memorial Highway,"Section of US 377 north of Tishomingo beginning at Golf Course Road extending south 4,000 feet in Johnston County.",2017,,Johnston,US 377,3,Lt. Lowry Douglas Durington Memorial Highway,"A section of  US 377 north of Tishomingo beginning at Golf Course Road extending south 4,000 feet.",1698.256.,"Laws 2017, HB 1149, c. 216, § 8, eff. November 1, 2017 Commission Item 129, 10-2-2017.           ",,Plaque: Who has unselfishly devoted his time and effort to the improvement of State Highway 74 and other highways and civic projects.,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0117666989845769
187,Lyle Rymer Highway,"In Roland, between Paw Paw Road and Cottonwood Road.",2005,,Sequoyah,US 64,1,Lyle Rymer Highway,"In Roland, between Paw  Road and Cottonwood Road. ",1683,"House Res. 1310, c. 157, § 4, Okla. Session Laws 2005; Commission Item 103 (B, 4), 6‐6‐05.","SPC Rymer was a part of the 239th Engineer Company, 39th Infantry Brigade, Arkansas Army National Guard. He was killed in the line of duty while serving his country in Baghdad.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0178226331890275
188,Lyndon Baines Johnson Mem. Hwy,The section of roadway between US 69 and the Mid-America Industrial Complex south of Pryor in Mayes County.,1974,,Mayes,SH 69A,8,The Lyndon Baines Johnson Memorial Highway,The section of roadway between US 69 and the Mid‐America Industrial Complex south of Pryor in Mayes County.,1616,"S. J. Res. 9, § 1, Okla. Session Laws 1974, pg. 715; ","The 36th President of the United States from 1963 to 1969. Plaque:  Dedicated in Honor of the August 26, 1966, visit of Lyndon Baines Johnson, 38th President of the United States.",The Department of Transportation shall cause suitable permanent markers to be placed and maintained on the highways bearing such names. Any portion of a highway in this state currently designated as a ""Veterans Memorial Highway"" shall not be renamed ,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.0468306456781601
189,Mabelle Kennedy Hwy,A section of US 60 between Pawhuska and the Arkansas River.,1975,,Osage,US 60,8,Mabelle Kennedy Highway,A section of US 60 between Pawhushka and the Arkansas River. ,,"Commission Item 152‐A, 8‐4‐75.","Avid supporter of improving US 60 in Northeastern Oklahoma, particularly in Osage County.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.763680093384114
190,Major Brice Clayton Coleman Memorial Highway,A section of SH 48 beginning at West 251st South extending south to East 950 Road.,2012,,Creek,SH 48,8,Major Brice Clayton Coleman Memorial Highway,A section of SH 48 beginning at West 251st South extending south to East 950 Road.,1698.127.,"House Bill 3108, c. 305, § 11, Okla. Session Laws 2012; Commission Item 92(I, b, 18), 7‐2‐12.","Served as Creek County Sheriff from 1968 to 1980.  He was a Master Aviator, had the Combat Infantry Badge with star, and was the Aviation Commandant of Ft Hood, Texas, before retiring from active military in 1967.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.159976729635371
191,Major General Clarence L. Tinker Mem Hwy,The section beginning at SH 11 east of Skiatook west to SH 18 east of Ralston.,1989,,Osage,SH 20,8,Major General Clarence L. Tinker Memorial Highway,The section beginning at SH 11 east of Skiatook extending west to SH 18 east of Ralston.,,"S. C. Res. 1, Okla. Session Laws 1989, pg. 1671;  Commission Item 194‐C, 9‐5‐89.",Military hero in World War II who served in the United States Air Corps.  He is the namesake of Tinker Air Force Base.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.77365251693912
192,Major Scott Hagerty USAR Memorial Highway,A section of US 177 beginning at the intersection of  SH 33 in Perkins extending north to the Stillwater municipal limits. (Approximatley 8 miles.),2011,,Payne,US 177,4,Major Scott Hagerty USAR Memorial Highway ,A section of US 177 beginning at the intersection of SH 33 in Perkins extending north to the Stillwater municipal limits. (Approximately 8 miles.) ,1698.107.,"Senate Bill 11, c. 246, § 1, Okla. Session Laws 2011; Commission Item 92(a, 2), 7‐11‐11.","Major Scott Hagerty was killed on June 3, 2008, while serving his country in Afghanistan.  He was a Civil Affairs Officer assigned to the 451st Civil Affairs Battalion.  He was a graduate of OSU.",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.1160500273686
193,Mannford Expressway,From one mile east of junction SH 151 west to junction SH 48.,2005,,"Tulsa, Creek",SH 51,8,Mannford Expressway,From one mile east of junction SH 151 west to junction SH 48. ,1674,"Senate Bill 698, c. 474, § 1, Okla. Session Laws 2005; Commission Item 117 (A, 1), 7‐6‐05.",,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.147173209863519
194,Marjorie & Maria Tallchief Hwy,From Fairfax northbound to US 60 in Osage County.,2000,,Osage,SH 18,8,Marjorie and Maria Tallchief Highway,From Fairfax northbound to US 60 in Osage County. ,1640,"Senate Bill 1106, c. 67, § 1, Okla. Session Laws 2000; Commission Item 97‐F, 6‐5‐00",The Tallchief sisters were prima ballerinas whose skill and artistry were recognized worldwide.  Both were born in Osage County and were proud of their Osage Tribal heritage.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.113446210454548
195,Marques Haynes Hwy,The section between Sand Springs and Sapulpa.,1994,,"Creek, Tulsa",SH 97,8,Marques Haynes Highway,The section between Sand Springs and Sapulpa.,,"S. C. Res. 48, Okla. Session Laws 1994, pg. 2093; Commission Item 186‐C, 10‐3‐94.",A famous basketball athlete who has played with the Harlem Globetrotters.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.090659331263565
196,Martin Garber Memorial Highway,Across Garfield County.,1990,,Garfield,US-81,4,Martin Garber Memorial Highway,Across Garfield County.,,"S. C. Res. 110, Okla. Session Laws 1990, pg. 1952; Commission Item 157‐C, 7‐9‐90.",Served as an Oklahoma State Representative from 1944 to 1946 and a member of the Highway Commission from 1963 to 1969.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.437871591587794
197,Martin Luther King Jr. Mem Expressway,Between I-44 Junction west sde of Tulsa and I-44 Junction east side of Tulsa.,1984,,Tulsa,I‐244,8,"Martin Luther King, Jr. Memorial Expressway",Between I‐44 Junction west side of Tulsa and I‐44 Junction east side of Tulsa.,,"Commission Item 30, 2‐6‐84.", An American clergyman and civil rights leader.,,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.27527502241537
198,Martin Luther King Jr. Mem Freeway,A toll free portion of I-44 traveling through the incorporated limits of Lawton.,1990,,Comanche,I‐44,7,"Martin Luther King, Jr. Freeway",A toll free portion of I-44 traveling through the incorporated limits Lawton.  (Previously named the Pioneer Expressway.),,"City Resolution No. 90-81 (Approved by the Lawton City Council on 7/10/1990                                                                          Commission Item 224, 10‐1‐90.","""American clergyman and civil rights leader.
Pioneer Expressway was renamed within the City of Lawton to Martin Luther King, Jr. Freeway (See the City of Lawton Resolution #90‐81).
""",,,,OKDOT_GIS,12/10/2025 2:36:50 PM,,1,,,0.179838228037371
